"Text","Year","Gender","Event","Mark","Class","State","Event.raw"
"AAAAA Alex Bustos Carlsbad  10.78   ","2006","Boys","100m","10.78   ","AAAAA ","New Mexico","100 M Dash"
"AAAA  Steffan CareyAztec 11.38   ","2006","Boys","100m","11.38   ","AAAA ","New Mexico","100 M Dash"
"AAA Johnny Quintana Raton 11.55   ","2006","Boys","100m","11.55   ","AAA ","New Mexico","100 M Dash"
"AA Tacorey Singleton Mountain View 11.37   ","2006","Boys","100m","11.37   ","AA ","New Mexico","100 M Dash"
"A Ryan Pena Springer 11.66   ","2006","Boys","100m","11.66   ","A ","New Mexico","100 M Dash"
"AAAAA Jerrell Miller Highland 22.04   ","2006","Boys","200m","22.04   ","AAAAA ","New Mexico","200 M Dash"
"AAAA  Danny Fajardo  Albuquerque Academy 22.15   ","2006","Boys","200m","22.15   ","AAAA ","New Mexico","200 M Dash"
"AAA Johnny Quintana Raton 22.71   ","2006","Boys","200m","22.71   ","AAA ","New Mexico","200 M Dash"
"AA Tacorey Singleton Mountain View 23.21   ","2006","Boys","200m","23.21   ","AA ","New Mexico","200 M Dash"
"A Cedar Rush Melrose 23.13   ","2006","Boys","200m","23.13   ","A ","New Mexico","200 M Dash"
"AAAAA Derek Skinner  La Cueva 50.05   ","2006","Boys","400m","50.05   ","AAAAA ","New Mexico","400 M Dash"
"AAAA  Chenti Quinonez Silver 48.35   ","2006","Boys","400m","48.35   ","AAAA ","New Mexico","400 M Dash"
"AAA Daniel Rueda Cobre 50.27   ","2006","Boys","400m","50.27   ","AAA ","New Mexico","400 M Dash"
"AA Rafael Martinez Hatch Valley 50.76   ","2006","Boys","400m","50.76   ","AA ","New Mexico","400 M Dash"
"A Brain Norris Hagerman 50.47   ","2006","Boys","400m","50.47   ","A ","New Mexico","400 M Dash"
"AAAAA Nicholas Arguelles Highland 1:58.89   ","2006","Boys","800m","1:58.89   ","AAAAA ","New Mexico","800 M Dash"
"AAAA  Ryan Steadman  St.Pius  1:59.47   ","2006","Boys","800m","1:59.47   ","AAAA ","New Mexico","800 M Dash"
"AAA Steven Johnson Santa Fe Indian School 2:04.81   ","2006","Boys","800m","2:04.81   ","AAA ","New Mexico","800 M Dash"
"AA Ryan Nez Navajo Pine 2:02.39   ","2006","Boys","800m","2:02.39   ","AA ","New Mexico","800 M Dash"
"A Cedar Rush Melrose 1:58.53   ","2006","Boys","800m","1:58.53   ","A ","New Mexico","800 M Dash"
"AAAAA Matt Tebo Eldorado  4:18.29   ","2006","Boys","1600m","4:18.29   ","AAAAA ","New Mexico","1600 M Run"
"AAAA  Ryan McNiff Los Alamos  4:20.96   ","2006","Boys","1600m","4:20.96   ","AAAA ","New Mexico","1600 M Run"
"AAA Steven Johnson Santa Fe Indian School 4:43.93   ","2006","Boys","1600m","4:43.93   ","AAA ","New Mexico","1600 M Run"
"AA Taylor Roholt  Sandia Prep 4:37.41   ","2006","Boys","1600m","4:37.41   ","AA ","New Mexico","1600 M Run"
"A Stephen Jochem Gallup Catholic 4:33.82   ","2006","Boys","1600m","4:33.82   ","A ","New Mexico","1600 M Run"
"AAAAA Matt Tebo Eldorado 09:07.4 ","2006","Boys","3200m","09:07.4 ","AAAAA ","New Mexico","3200 M Run"
"AAAA  Ben Johnson Albuquerque Academy 09:26.4 ","2006","Boys","3200m","09:26.4 ","AAAA ","New Mexico","3200 M Run"
"AAA Steven Johnson Santa Fe Indian School 10.05.58 ","2006","Boys","3200m","10.05.58 ","AAA ","New Mexico","3200 M Run"
"AA Taylor Roholt Sandia Prep 10.09.08 ","2006","Boys","3200m","10.09.08 ","AA ","New Mexico","3200 M Run"
"A Chris Weaver Gallup Catholic 10.58.06 ","2006","Boys","3200m","10.58.06 ","A ","New Mexico","3200 M Run"
"AAAAA James Hansen Alamogordo 14.67 ","2006","Boys","110m H","14.67 ","AAAAA ","New Mexico","110 M H"
"AAAA  Curtis Beach Albuquerque Academy 15.31 ","2006","Boys","110m H","15.31 ","AAAA ","New Mexico","110 M H"
"AAA Alonzo Evans Lovington 15.49 ","2006","Boys","110m H","15.49 ","AAA ","New Mexico","110 M H"
"AA Jaken Shirley Zuni 15.8 ","2006","Boys","110m H","15.8 ","AA ","New Mexico","110 M H"
"A Jeremy Gauna Fort Sumner 15.32 ","2006","Boys","110m H","15.32 ","A ","New Mexico","110 M H"
"AAAAA Kyle Henry Cibola 38.64 ","2006","Boys","300m Hurdles","38.64 ","AAAAA ","New Mexico","300 M Hurdles"
"AAAA  Curtis Beach Albuquerque Academy 38.85 ","2006","Boys","300m Hurdles","38.85 ","AAAA ","New Mexico","300 M Hurdles"
"AAA Adam Martinez Robertson 40.62 ","2006","Boys","300m Hurdles","40.62 ","AAA ","New Mexico","300 M Hurdles"
"AA Brian Wilson Estancia 40.66 ","2006","Boys","300m Hurdles","40.66 ","AA ","New Mexico","300 M Hurdles"
"A Jeremy Gauna Fort Sumner 42.08 ","2006","Boys","300m Hurdles","42.08 ","A ","New Mexico","300 M Hurdles"
"AAAAA Alamogordo 42.22 ","2006","Boys","400m Relay","42.22 ","AAAAA ","New Mexico","400 M Relay"
"AAAA Albuquerque Academy 43.22 ","2006","Boys","400m Relay","43.22 ","AAAA ","New Mexico","400 M Relay"
"AAA Lovington 44.11 ","2006","Boys","400m Relay","44.11 ","AAA ","New Mexico","400 M Relay"
"AA Hatch Valley 44.6 ","2006","Boys","400m Relay","44.6 ","AA ","New Mexico","400 M Relay"
"A Hagerman 45.38 ","2006","Boys","400m Relay","45.38 ","A ","New Mexico","400 M Relay"
"AAAAA Carlsbad 01:28.8 ","2006","Boys","800m Relay","01:28.8 ","AAAAA ","New Mexico","800 M Relay"
"AAAA Aztec 01:30.5 ","2006","Boys","800m Relay","01:30.5 ","AAAA ","New Mexico","800 M Relay"
"AAA Lovington 01:32.3 ","2006","Boys","800m Relay","01:32.3 ","AAA ","New Mexico","800 M Relay"
"AA Estancia 1.33.12 ","2006","Boys","800m Relay","1.33.12 ","AA ","New Mexico","800 M Relay"
"A Hagerman 01:34.0 ","2006","Boys","800m Relay","01:34.0 ","A ","New Mexico","800 M Relay"
"AAAAA Alamogordo 03:38.5 ","2006","Boys","1600m Relay","03:38.5 ","AAAAA ","New Mexico","1600 M Relay"
"AAAA Los Alamos 03:36.0 ","2006","Boys","1600m Relay","03:36.0 ","AAAA ","New Mexico","1600 M Relay"
"AAA Ruidoso 03:42.0 ","2006","Boys","1600m Relay","03:42.0 ","AAA ","New Mexico","1600 M Relay"
"AA Tularosa 03:46.5 ","2006","Boys","1600m Relay","03:46.5 ","AA ","New Mexico","1600 M Relay"
"A Desert Academy 03:45.4 ","2006","Boys","1600m Relay","03:45.4 ","A ","New Mexico","1600 M Relay"
"AAAAA Eldorado 03:20.8 ","2006","Boys","1600m Relay","03:20.8 ","AAAAA ","New Mexico","1600 M Relay"
"AAAA St. Pius 03:23.9 ","2006","Boys","1600m Relay","03:23.9 ","AAAA ","New Mexico","1600 M Relay"
"AAA Cobre 03:28.2 ","2006","Boys","1600m Relay","03:28.2 ","AAA ","New Mexico","1600 M Relay"
"AA Sandia Prep 3.32.58 ","2006","Boys","1600m Relay","3.32.58 ","AA ","New Mexico","1600 M Relay"
"A Hagerman 03:34.0 ","2006","Boys","1600m Relay","03:34.0 ","A ","New Mexico","1600 M Relay"
"AAAAA Matt Nulk La Cueva 53’-10.00” ","2006","Boys","Shot Put","53’-10.00” ","AAAAA ","New Mexico","Shot Put"
"AAAA  Alex Umstead Los Alamos 57’-01.00” ","2006","Boys","Shot Put","57’-01.00” ","AAAA ","New Mexico","Shot Put"
"AAA Toby Jaramillo Grants 50’-07.00” ","2006","Boys","Shot Put","50’-07.00” ","AAA ","New Mexico","Shot Put"
"AA Joey Urban Santa Rosa 45’-09.00” ","2006","Boys","Shot Put","45’-09.00” ","AA ","New Mexico","Shot Put"
"A Wesley Munoz Hagerman 48’-09.25” ","2006","Boys","Shot Put","48’-09.25” ","A ","New Mexico","Shot Put"
"AAAAA Matthew Henry Albuquerque 155’-04.00” ","2006","Boys","Discus","155’-04.00” ","AAAAA ","New Mexico","Discus"
"AAAA  Alex Umstead Los Alamos 157’-02.00” ","2006","Boys","Discus","157’-02.00” ","AAAA ","New Mexico","Discus"
"AAA Justin Grider Grants 147’-09.00” ","2006","Boys","Discus","147’-09.00” ","AAA ","New Mexico","Discus"
"AA Michael Otero Estancia 148’-09.00” ","2006","Boys","Discus","148’-09.00” ","AA ","New Mexico","Discus"
"A Joey Snyder Reserve 140’-11.00” ","2006","Boys","Discus","140’-11.00” ","A ","New Mexico","Discus"
"AAAAA Colins Oakley Onate 21’-06.50” ","2006","Boys","Long Jump","21’-06.50” ","AAAAA ","New Mexico","Long Jump"
"AAAA  Curtis Beach Albuquerque Academy 21’-07.75” ","2006","Boys","Long Jump","21’-07.75” ","AAAA ","New Mexico","Long Jump"
"AAA Chris Hatcher Lovington 22’-04.50” ","2006","Boys","Long Jump","22’-04.50” ","AAA ","New Mexico","Long Jump"
"AA Josh Barrett Hatch Valley 21’-00.50” ","2006","Boys","Long Jump","21’-00.50” ","AA ","New Mexico","Long Jump"
"A Christopher Matson Vaughn 20’-07.75” ","2006","Boys","Long Jump","20’-07.75” ","A ","New Mexico","Long Jump"
"AAAAA Marcus Williams  Rio Rancho 6’-06.00”","2006","Boys","High Jump","6’-06.00”","AAAAA ","New Mexico","High Jump"
"AAAA  Marcus Jones  Belen 6’-08.00”","2006","Boys","High Jump","6’-08.00”","AAAA ","New Mexico","High Jump"
"AAA Matt Pledger  Grants 6’-04.00”","2006","Boys","High Jump","6’-04.00”","AAA ","New Mexico","High Jump"
"AA Jonathan Gaco  Laguna Acoma 6’-04.00”","2006","Boys","High Jump","6’-04.00”","AA ","New Mexico","High Jump"
"A Julian Lyons  Quemado 6’-02.00”","2006","Boys","High Jump","6’-02.00”","A ","New Mexico","High Jump"
"AAAAA Manuel Robles  Clovis 46’-07.00”","2006","Boys","Triple Jump","46’-07.00”","AAAAA ","New Mexico","Triple Jump"
"AAAA  Kenyatta Carter  Belen 44’-03.25”","2006","Boys","Triple Jump","44’-03.25”","AAAA ","New Mexico","Triple Jump"
"AAA Chris Hatcher  Lovington 43’-09.00”","2006","Boys","Triple Jump","43’-09.00”","AAA ","New Mexico","Triple Jump"
"AA Clay Scott  Cloudcroft 42’-08.25”","2006","Boys","Triple Jump","42’-08.25”","AA ","New Mexico","Triple Jump"
"A Allen Pilley  Hagerman 41’-04.25”","2006","Boys","Triple Jump","41’-04.25”","A ","New Mexico","Triple Jump"
"AAAAA Kyle Walker  Rio Rancho 14’-00.00”","2006","Boys","Pole Vault","14’-00.00”","AAAAA ","New Mexico","Pole Vault"
"AAAA  Jeff Zych  Albuquerque Academy 14’-00.00”","2006","Boys","Pole Vault","14’-00.00”","AAAA ","New Mexico","Pole Vault"
"AAA Nathan Moore  Lovington 13’-06.00”","2006","Boys","Pole Vault","13’-06.00”","AAA ","New Mexico","Pole Vault"
"AA Daniel Gooris  Rehoboth 14’-00.00”","2006","Boys","Pole Vault","14’-00.00”","AA ","New Mexico","Pole Vault"
"A Cody Dickerson  Cliff 13’-01.00”","2006","Boys","Pole Vault","13’-01.00”","A ","New Mexico","Pole Vault"
"AAAAA Steve Aragon  Los Lunas 181’-08.00”","2006","Boys","Javelin","181’-08.00”","AAAAA ","New Mexico","Javelin"
"AAAA  D.J. Draper  Moriarty 174’-05.00”","2006","Boys","Javelin","174’-05.00”","AAAA ","New Mexico","Javelin"
"AAA Robert Griego  Bloomfield 191’-07.00”","2006","Boys","Javelin","191’-07.00”","AAA ","New Mexico","Javelin"
"AA Matthew Morgan  Crownpoint 160’-01.00”","2006","Boys","Javelin","160’-01.00”","AA ","New Mexico","Javelin"
"A Allen Pilley  Hagerman 164’-08.00”","2006","Boys","Javelin","164’-08.00”","A ","New Mexico","Javelin"
"AAAAA Jerrell Miller Highland 11.19   ","2005","Boys","100m","11.19   ","AAAAA ","New Mexico","100 M Dash"
"AAAA Jonathan Ribeiro Albuq. Academy 11.03   ","2005","Boys","100m","11.03   ","AAAA ","New Mexico","100 M Dash"
"AAA George Morris Lovington 11.28   ","2005","Boys","100m","11.28   ","AAA ","New Mexico","100 M Dash"
"AA Akin Abosede Sandia Prep 11.45   ","2005","Boys","100m","11.45   ","AA ","New Mexico","100 M Dash"
"A Carlos Ruiz Melrose 11.60   ","2005","Boys","100m","11.60   ","A ","New Mexico","100 M Dash"
"AAAAA Chris Williams Rio Rancho 21.52   ","2005","Boys","200m","21.52   ","AAAAA ","New Mexico","200 M Dash"
"AAAA Marcus Williams Piedra Vista 22.21   ","2005","Boys","200m","22.21   ","AAAA ","New Mexico","200 M Dash"
"AAA George Morris Lovington 22.48   ","2005","Boys","200m","22.48   ","AAA ","New Mexico","200 M Dash"
"AA Chris McCasland Tucumcari 23.25   ","2005","Boys","200m","23.25   ","AA ","New Mexico","200 M Dash"
"A Carlos Ruiz Melrose 23.83   ","2005","Boys","200m","23.83   ","A ","New Mexico","200 M Dash"
"AAAAA Chris Williams Rio Rancho 48.61   ","2005","Boys","400m","48.61   ","AAAAA ","New Mexico","400 M Dash"
"AAAA Sean Garrett Albuq. Academy 49.06   ","2005","Boys","400m","49.06   ","AAAA ","New Mexico","400 M Dash"
"AAA George Morris Lovington 50.19   ","2005","Boys","400m","50.19   ","AAA ","New Mexico","400 M Dash"
"AA Aaron Gallinger East Mountain 50.67   ","2005","Boys","400m","50.67   ","AA ","New Mexico","400 M Dash"
"A Cedar Rush Melrose 51.17   ","2005","Boys","400m","51.17   ","A ","New Mexico","400 M Dash"
"AAAAA Nicholas Arguelles Highland 1:55.84   ","2005","Boys","800m","1:55.84   ","AAAAA ","New Mexico","800 M Run"
"AAAA Cody Harper Albuq. Academy 1:53.67   ","2005","Boys","800m","1:53.67   ","AAAA ","New Mexico","800 M Run"
"AAA Ruben Orosco Cobre  2:01.39   ","2005","Boys","800m","2:01.39   ","AAA ","New Mexico","800 M Run"
"AA Marvis Aragon Laguna Acoma 2:06.22   ","2005","Boys","800m","2:06.22   ","AA ","New Mexico","800 M Run"
"A Stephen Jochem Gallup Catholic 2:06.24   ","2005","Boys","800m","2:06.24   ","A ","New Mexico","800 M Run"
"AAAAA Nicholas Arguelles Highland 4:20.83   ","2005","Boys","1600m","4:20.83   ","AAAAA ","New Mexico","1600 M Run"
"AAAA Cody Harper Albuq. Academy 4:20.08   ","2005","Boys","1600m","4:20.08   ","AAAA ","New Mexico","1600 M Run"
"AAA Obed Hernandez Cobre 4:35.24   ","2005","Boys","1600m","4:35.24   ","AAA ","New Mexico","1600 M Run"
"AA Marvis Aragon Laguna Acoma 4:33.99   ","2005","Boys","1600m","4:33.99   ","AA ","New Mexico","1600 M Run"
"A Stephen Jochem Gallup Catholic 4:50.46   ","2005","Boys","1600m","4:50.46   ","A ","New Mexico","1600 M Run"
"AAAAA Matt Tebo Eldorado 09:30.4 ","2005","Boys","3200m","09:30.4 ","AAAAA ","New Mexico","3200 M Run"
"AAAA Mitch Bible Albuquerque Academy 09:41.8 ","2005","Boys","3200m","09:41.8 ","AAAA ","New Mexico","3200 M Run"
"AAA Jerome Tafoya Santa Fe Indian 09:59.1 ","2005","Boys","3200m","09:59.1 ","AAA ","New Mexico","3200 M Run"
"AA Marvis Aragon Laguna Acoma 10:02.9 ","2005","Boys","3200m","10:02.9 ","AA ","New Mexico","3200 M Run"
"A Derek Henio Pine Hill 10:46.0 ","2005","Boys","3200m","10:46.0 ","A ","New Mexico","3200 M Run"
"AAAAA Damian Robinson Clovis 14.77 ","2005","Boys","110m H","14.77 ","AAAAA ","New Mexico","110 M H"
"AAAA Spivey Vasquez Aztec 15.4 ","2005","Boys","110m H","15.4 ","AAAA ","New Mexico","110 M H"
"AAA Coby Reid Lovington 15.89 ","2005","Boys","110m H","15.89 ","AAA ","New Mexico","110 M H"
"AA Derek Chavez Loving 15.95 ","2005","Boys","110m H","15.95 ","AA ","New Mexico","110 M H"
"A Jeremy Gauna Ft. Sumner 15.51 ","2005","Boys","110m H","15.51 ","A ","New Mexico","110 M H"
"AAAAA Ian Clark Highland 38.52 ","2005","Boys","300m Hurdles","38.52 ","AAAAA ","New Mexico","300 M Hurdles"
"AAAA Spivey Vasquez Aztec 39.42 ","2005","Boys","300m Hurdles","39.42 ","AAAA ","New Mexico","300 M Hurdles"
"AAA Matt Miller Bloomfield 41.03 ","2005","Boys","300m Hurdles","41.03 ","AAA ","New Mexico","300 M Hurdles"
"AA Joaquin Gonzales Santa Rosa 41.51 ","2005","Boys","300m Hurdles","41.51 ","AA ","New Mexico","300 M Hurdles"
"A Jeremy Gauna Ft. Sumner 41.59 ","2005","Boys","300m Hurdles","41.59 ","A ","New Mexico","300 M Hurdles"
"AAAAA Rio Rancho High School  41.95 ","2005","Boys","400m Relay","41.95 ","AAAAA ","New Mexico","400 M Relay"
"AAAA Albuquerque Academy  42.23 ","2005","Boys","400m Relay","42.23 ","AAAA ","New Mexico","400 M Relay"
"AAA Cobre High School  44.41 ","2005","Boys","400m Relay","44.41 ","AAA ","New Mexico","400 M Relay"
"AA Sandia Prep  44.48 ","2005","Boys","400m Relay","44.48 ","AA ","New Mexico","400 M Relay"
"A Melrose High School  45.44 ","2005","Boys","400m Relay","45.44 ","A ","New Mexico","400 M Relay"
"AAAAA Highland High School  01:29.7 ","2005","Boys","800m Relay","01:29.7 ","AAAAA ","New Mexico","800 M Relay"
"AAAA Albuquerque Academy  01:31.0 ","2005","Boys","800m Relay","01:31.0 ","AAAA ","New Mexico","800 M Relay"
"AAA Lovington High School  01:31.8 ","2005","Boys","800m Relay","01:31.8 ","AAA ","New Mexico","800 M Relay"
"AA Clayton High School  01:33.3 ","2005","Boys","800m Relay","01:33.3 ","AA ","New Mexico","800 M Relay"
"A Jal High School  01:34.4 ","2005","Boys","800m Relay","01:34.4 ","A ","New Mexico","800 M Relay"
"AAAAA Rio Rancho High School  03:23.8 ","2005","Boys","1600m Relay","03:23.8 ","AAAAA ","New Mexico","1600 M Relay"
"AAAA Albuquerque Academy  03:21.5 ","2005","Boys","1600m Relay","03:21.5 ","AAAA ","New Mexico","1600 M Relay"
"AAA Lovington High School  03:27.3 ","2005","Boys","1600m Relay","03:27.3 ","AAA ","New Mexico","1600 M Relay"
"AA Loving High School  03:30.0 ","2005","Boys","1600m Relay","03:30.0 ","AA ","New Mexico","1600 M Relay"
"A Ft. Sumner High School  03:34.3 ","2005","Boys","1600m Relay","03:34.3 ","A ","New Mexico","1600 M Relay"
"AAAAA Alamogordo High School  03:48.8 ","2005","Boys","1600m Medley Relay","03:48.8 ","AAAAA ","New Mexico","1600 M Medley Relay"
"AAAA St. Pius X High School  03:41.5 ","2005","Boys","1600m Medley Relay","03:41.5 ","AAAA ","New Mexico","1600 M Medley Relay"
"AAA Ruidoso High School  03:46.4 ","2005","Boys","1600m Medley Relay","03:46.4 ","AAA ","New Mexico","1600 M Medley Relay"
"AA Newcomb High School  03:47.0 ","2005","Boys","1600m Medley Relay","03:47.0 ","AA ","New Mexico","1600 M Medley Relay"
"A Desert Academy  03:47.5 ","2005","Boys","1600m Medley Relay","03:47.5 ","A ","New Mexico","1600 M Medley Relay"
"AAAAA Aaron Lewis La Cueva 60’-04.00” ","2005","Boys","Shot Put","60’-04.00” ","AAAAA ","New Mexico","Shot Put"
"AAAA Jared Klassen Silver 53’-05.50” ","2005","Boys","Shot Put","53’-05.50” ","AAAA ","New Mexico","Shot Put"
"AAA Joseph With St. Michael’s 49’-04.00” ","2005","Boys","Shot Put","49’-04.00” ","AAA ","New Mexico","Shot Put"
"AA Jason Russell Eunice 52’-01.50” ","2005","Boys","Shot Put","52’-01.50” ","AA ","New Mexico","Shot Put"
"A Allen Pilley Hagerman 43’-01.00” ","2005","Boys","Shot Put","43’-01.00” ","A ","New Mexico","Shot Put"
"AAAAA Aaron Lewis La Cueva 179’-00” ","2005","Boys","Discus","179’-00” ","AAAAA ","New Mexico","Discus"
"AAAA Josh Garcia Española 152’-04” ","2005","Boys","Discus","152’-04” ","AAAA ","New Mexico","Discus"
"AAA Ron Garcia St. Michael’s 145’-01” ","2005","Boys","Discus","145’-01” ","AAA ","New Mexico","Discus"
"AA Michael Otero Estancia 142’-05” ","2005","Boys","Discus","142’-05” ","AA ","New Mexico","Discus"
"A Joey Snyder Reserve 130’-06” ","2005","Boys","Discus","130’-06” ","A ","New Mexico","Discus"
"AAAAA Jerrell Miller Highland 22’-02.00” ","2005","Boys","Long Jump","22’-02.00” ","AAAAA ","New Mexico","Long Jump"
"AAAA Marcus Williams Piedra Vista 22’-00.00” ","2005","Boys","Long Jump","22’-00.00” ","AAAA ","New Mexico","Long Jump"
"AAA Jassen Lopez Pojoaque 21’-09.50” ","2005","Boys","Long Jump","21’-09.50” ","AAA ","New Mexico","Long Jump"
"AA Nemie Salvador Tucumcari 20’-05.00” ","2005","Boys","Long Jump","20’-05.00” ","AA ","New Mexico","Long Jump"
"A Carlos Ruiz Melrose 20’-05.50” ","2005","Boys","Long Jump","20’-05.50” ","A ","New Mexico","Long Jump"
"AAAAA Chris Williams Rio Rancho 6’-08.00” ","2005","Boys","High Jump","6’-08.00” ","AAAAA ","New Mexico","High Jump"
"AAAA Roy Collins Los Alamos 6’-06.00” ","2005","Boys","High Jump","6’-06.00” ","AAAA ","New Mexico","High Jump"
"AAA Michael Hoodless Cuba 6’-04.00” ","2005","Boys","High Jump","6’-04.00” ","AAA ","New Mexico","High Jump"
"AA Chris McCasland Tucumcari 6’-04.00” ","2005","Boys","High Jump","6’-04.00” ","AA ","New Mexico","High Jump"
"A Grady Herrera Tatum 6’-00.00” ","2005","Boys","High Jump","6’-00.00” ","A ","New Mexico","High Jump"
"AAAAA Manuel Robles Clovis 45’-00.50” ","2005","Boys","Triple Jump","45’-00.50” ","AAAAA ","New Mexico","Triple Jump"
"AAAA Kenyatta Carter Belen 44’-00.75” ","2005","Boys","Triple Jump","44’-00.75” ","AAAA ","New Mexico","Triple Jump"
"AAA Jassen Lopez Pojoaque 41’-11.75” ","2005","Boys","Triple Jump","41’-11.75” ","AAA ","New Mexico","Triple Jump"
"AA Clay Scott Cloudcroft 43’-07.00” ","2005","Boys","Triple Jump","43’-07.00” ","AA ","New Mexico","Triple Jump"
"A Carlos Ruiz Melrose 42’-09.00” ","2005","Boys","Triple Jump","42’-09.00” ","A ","New Mexico","Triple Jump"
"AAAAA Caleb McKean Carlsbad 13’-06.00”","2005","Boys","Pole Vault","13’-06.00”","AAAAA ","New Mexico","Pole Vault"
"AAAA Tanner Edwards Belen 13’-06.00”","2005","Boys","Pole Vault","13’-06.00”","AAAA ","New Mexico","Pole Vault"
"AAA Stuart Sparks Hot Springs 13’-06.00”","2005","Boys","Pole Vault","13’-06.00”","AAA ","New Mexico","Pole Vault"
"AA Salomon Baca Tularosa 13’-06.00”","2005","Boys","Pole Vault","13’-06.00”","AA ","New Mexico","Pole Vault"
"A Kyle Young Jal 14’-00.00”","2005","Boys","Pole Vault","14’-00.00”","A ","New Mexico","Pole Vault"
"AAAAA Anthony Fairbanks Highland 207’-06.00”","2005","Boys","Javelin","207’-06.00”","AAAAA ","New Mexico","Javelin"
"AAAA Jared Klassen Silver 189’-10.00”","2005","Boys","Javelin","189’-10.00”","AAAA ","New Mexico","Javelin"
"AAA Robert Griego Bloomfield 179’-06.00”","2005","Boys","Javelin","179’-06.00”","AAA ","New Mexico","Javelin"
"AA Logan Capps Cloudcroft 175’-07.00”","2005","Boys","Javelin","175’-07.00”","AA ","New Mexico","Javelin"
"A Jarrod Lindsey Grady 160’-00.00”","2005","Boys","Javelin","160’-00.00”","A ","New Mexico","Javelin"
"AAAAA Sean Burns  Cibola  10.74   ","2004","Boys","100m","10.74   ","AAAAA ","New Mexico","100 M Dash"
"AAAA  Jonathan Ribeiro  Abq. Academy  11.15   ","2004","Boys","100m","11.15   ","AAAA ","New Mexico","100 M Dash"
"AAA Lawrence Paustain  NMMI  11.21   ","2004","Boys","100m","11.21   ","AAA ","New Mexico","100 M Dash"
"AA Jorge Aguillon Clayton  11.25   ","2004","Boys","100m","11.25   ","AA ","New Mexico","100 M Dash"
"A Marcus Taylor  Mountainair  11.62   ","2004","Boys","100m","11.62   ","A ","New Mexico","100 M Dash"
"AAAAA Chris Williams  Rio Rancho  22.44   ","2004","Boys","200m","22.44   ","AAAAA ","New Mexico","200 M Dash"
"AAAA  Grant Dismuke  St. Pius  22.92   ","2004","Boys","200m","22.92   ","AAAA ","New Mexico","200 M Dash"
"AAA Lawrence Paustain  NMMI  22.82   ","2004","Boys","200m","22.82   ","AAA ","New Mexico","200 M Dash"
"AA Chris McCasland  Tucumcari  22.65   ","2004","Boys","200m","22.65   ","AA ","New Mexico","200 M Dash"
"A Gerid Higgins  Ft. Sumner  23.71   ","2004","Boys","200m","23.71   ","A ","New Mexico","200 M Dash"
"AAAAA Gregory Young  Albuquerque  49.14   ","2004","Boys","400m","49.14   ","AAAAA ","New Mexico","400 M Dash"
"AAAA  Cody Harper  Abq. Academy  49.02   ","2004","Boys","400m","49.02   ","AAAA ","New Mexico","400 M Dash"
"AAA Lawrence Paustain  NMMI  50.30   ","2004","Boys","400m","50.30   ","AAA ","New Mexico","400 M Dash"
"AA Aaron Gallinger  East Mountain  51.00   ","2004","Boys","400m","51.00   ","AA ","New Mexico","400 M Dash"
"A Gerid Higgins  Ft. Sumner  52.43   ","2004","Boys","400m","52.43   ","A ","New Mexico","400 M Dash"
"AAAAA Shadrack Kiptoo  La Cueva  1:53.24   ","2004","Boys","800m","1:53.24   ","AAAAA ","New Mexico","800 M Dash"
"AAAA  Cody Harper Abq. Academy  1:56.54   ","2004","Boys","800m","1:56.54   ","AAAA ","New Mexico","800 M Dash"
"AAA  Darren Calvert  Pojoaque  2:00.74   ","2004","Boys","800m","2:00.74   ","AAA ","New Mexico","800 M Dash"
"AA Eric SandovalSanta Rosa  2:01.27   ","2004","Boys","800m","2:01.27   ","AA ","New Mexico","800 M Dash"
"A Roel Canales Ft.Sumner 2:03.93   ","2004","Boys","800m","2:03.93   ","A ","New Mexico","800 M Dash"
"AAAAA Shadrack Kiptoo  La Cueva  4:12.84   ","2004","Boys","1600m","4:12.84   ","AAAAA ","New Mexico","1600 M Run"
"AAAA  Andres Urbina  Abq. Academy 4:20.04   ","2004","Boys","1600m","4:20.04   ","AAAA ","New Mexico","1600 M Run"
"AAA Darren Calvert Pojoaque  4:38.14   ","2004","Boys","1600m","4:38.14   ","AAA ","New Mexico","1600 M Run"
"AA Marvis Aragon  Laguna Acoma  4:38.87   ","2004","Boys","1600m","4:38.87   ","AA ","New Mexico","1600 M Run"
"A Patrick Reagan  Ft. Sumner  4:46.00   ","2004","Boys","1600m","4:46.00   ","A ","New Mexico","1600 M Run"
"AAAAA Shadrack Kiptoo La Cueva 09:18.0 ","2004","Boys","3200m","09:18.0 ","AAAAA ","New Mexico","3200 M Run"
"AAAA  Andres Urbina Abq. Academy 09:46.1 ","2004","Boys","3200m","09:46.1 ","AAAA ","New Mexico","3200 M Run"
"AAA Darren Calvert Pojoaque 10:06.5 ","2004","Boys","3200m","10:06.5 ","AAA ","New Mexico","3200 M Run"
"AA Vernon Tosa Jemez Valley 10:05.5 ","2004","Boys","3200m","10:05.5 ","AA ","New Mexico","3200 M Run"
"A Patrick Reagan Ft. Sumner 10:55.3 ","2004","Boys","3200m","10:55.3 ","A ","New Mexico","3200 M Run"
"AAAAA Jay White Alamogordo 14.53 ","2004","Boys","110m H","14.53 ","AAAAA ","New Mexico","110 M H"
"AAAA  Will Bernitsky Abq. Academy 14.55 ","2004","Boys","110m H","14.55 ","AAAA ","New Mexico","110 M H"
