"Gender","Year","Name","Mark","Mark.Note","Event","State"
"Girls","1985","Sonya Blanton Edmonson County","5-3",NA,"High Jump","Kansas"
"Girls","1986","Terrell Tucker West Hopkins","5-00",NA,"High Jump","Kansas"
"Girls","1987","DeAnn Schroeder Bishop Brossart","5-2",NA,"High Jump","Kansas"
"Girls","1988","Michelle Throgmorton Heath","5-4",NA,"High Jump","Kansas"
"Girls","1989","Michelle Throgmorton Heath","5-4",NA,"High Jump","Kansas"
"Girls","1990","Kim Haubner Bishop Brossart","4-10",NA,"High Jump","Kansas"
"Girls","1991","Jennie Nicholson Williamsburg","5-2",NA,"High Jump","Kansas"
"Girls","1992","Jennie Nicholson Williamsburg","5-00",NA,"High Jump","Kansas"
"Girls","1993","Dana Diehl St. Henry","5-4",NA,"High Jump","Kansas"
"Girls","1994","Stacey Wikie Bellevue","5-4",NA,"High Jump","Kansas"
"Girls","1995","Amy Baker Dayton","5-2",NA,"High Jump","Kansas"
"Girls","1996","Amy Baker Dayton","5-00",NA,"High Jump","Kansas"
"Girls","1997","Amy Baker Dayton","4-10",NA,"High Jump","Kansas"
"Girls","1998","Kelley Bowman Berea","5-2",NA,"High Jump","Kansas"
"Girls","1999","Kelley Bowman Berea","5-3",NA,"High Jump","Kansas"
"Girls","2000","Kelley Bowman Berea","5-10.50",NA,"High Jump","Kansas"
"Girls","2001","Kelley Bowman Berea","5-6",NA,"High Jump","Kansas"
"Girls","2002","Megan Uebel Bishop Brossart","5-4",NA,"High Jump","Kansas"
"Girls","2003","Cassandra Hickman Bardstown","5-2",NA,"High Jump","Kansas"
"Girls","2004","Cassandra Hickman Bardstown","5-4",NA,"High Jump","Kansas"
"Girls","2005","Nicole Baker St. Henry","5-2",NA,"High Jump","Kansas"
"Girls","2006","Kaylyn Pratt Model","5-2",NA,"High Jump","Kansas"
"Girls","2007","Catherine Claywell Murray","5-2",NA,"High Jump","Kansas"
"Girls","2008","Catherine Claywell Murray","5-4",NA,"High Jump","Kansas"
"Girls","2009","Catherine Claywell Murray","5-6",NA,"High Jump","Kansas"
"Girls","2010","Catherine Claywell Murray","5-4",NA,"High Jump","Kansas"
"Girls","2011","Catherine Claywell Murray","5-4",NA,"High Jump","Kansas"
"Girls","2012","Kelsie Courtney Trimble County","5-9",NA,"High Jump","Kansas"
"Girls","2013","Kelsie Courtney Trimble County","5-6",NA,"High Jump","Kansas"
"Girls","2014","Grace Campbell Murray","5-4",NA,"High Jump","Kansas"
"Girls","2015","Grace Campbell Murray","5-8",NA,"High Jump","Kansas"
"Girls","2016","Grace Campbell Murray ","5-6",NA,"High Jump","Kansas"
"Girls","2017","Emma Bianchi Harlan ","5-6",NA,"High Jump","Kansas"
"Girls","2018","Emma Hacker Menifee County ","5-2",NA,"High Jump","Kansas"
"Girls","2019","Grace Turner Monroe County ","5-4",NA,"High Jump","Kansas"
"Girls","2021","Maddie Neary Lloyd Memorial ","5-2",NA,"High Jump","Kansas"
"Girls","2000","Jennifer Hartig Bishop Brossart","10-00",NA,"Pole Vault","Kansas"
"Girls","2001","Jennifer Hartig Bishop Brossart","10-6",NA,"Pole Vault","Kansas"
"Girls","2002","Katie Yeager Bishop Brossart","9-00",NA,"Pole Vault","Kansas"
"Girls","2003","Katie Yeager Bishop Brossart","9-00",NA,"Pole Vault","Kansas"
"Girls","2004","Allison Kremer Bishop Brossart","8-3",NA,"Pole Vault","Kansas"
"Girls","2005","Mandy Musick Fairview","8-6",NA,"Pole Vault","Kansas"
"Girls","2006","Lisa Ruth Bishop Brossart","9-00",NA,"Pole Vault","Kansas"
"Girls","2007","Samantha Sutkamp Newport Catholic","9-00",NA,"Pole Vault","Kansas"
"Girls","2008","Samantha Sutkamp Newport Catholic","9-00",NA,"Pole Vault","Kansas"
"Girls","2009","Kimber Schultz Newport Catholic","9-00",NA,"Pole Vault","Kansas"
"Girls","2010","Morgan McIntyre Fairview","9-00",NA,"Pole Vault","Kansas"
"Girls","2011","Morgan McIntyre Fairview","9-6",NA,"Pole Vault","Kansas"
"Girls","2012","Morgan McIntyre Fairview","9-6",NA,"Pole Vault","Kansas"
"Girls","2013","Morgan McIntyre Fairview","10-7",NA,"Pole Vault","Kansas"
"Girls","2014","Morgan McIntyre Fairview","12-00",NA,"Pole Vault","Kansas"
"Girls","2015","Abby Jones Raceland","11-00",NA,"Pole Vault","Kansas"
"Girls","2016","Kimberly Spritzky St. Henry","11-6",NA,"Pole Vault","Kansas"
"Girls","2017","Grace Turner Monroe County","9-6",NA,"Pole Vault","Kansas"
"Girls","2018","Grace Turner Monroe County","11-6",NA,"Pole Vault","Kansas"
"Girls","2019","Grace Turner Monroe County","12-1",NA,"Pole Vault","Kansas"
"Girls","1969","McManus Central","11.60   ",NA,"100y","Kansas"
"Girls","1971","Marcus Central","10.80   ",NA,"100y","Kansas"
"Girls","1972","Logan Central","11.10   ",NA,"100y","Kansas"
"Girls","1973","Cole Male","11.30   ",NA,"100y","Kansas"
"Girls","1974","Stewart Manual","11.60   ",NA,"100y","Kansas"
"Girls","1975","Stewart Manual","10.90   ",NA,"100y","Kansas"
"Girls","1976","Hightower Stuart","10.80   ",NA,"100y","Kansas"
"Girls","1978","McCoy Assumption","11.70   ",NA,"100y","Kansas"
"Boys","1990","Reggie Wilkins Eastern ","10.71",NA,"100m","Kansas"
"Boys","1991","Chris Jackson Woodford County ","10.79",NA,"100m","Kansas"
"Boys","1992","Brian Raspberry Male ","10.81",NA,"100m","Kansas"
"Boys","1993","Brian Raspberry Male ","10.84",NA,"100m","Kansas"
"Boys","1994","Brian Raspberry Male ","10.70",NA,"100m","Kansas"
"Boys","1995","Mark Miller Louisville Male ","10.97",NA,"100m","Kansas"
"Boys","1996","Tony Driver Louisville Male ","11.00",NA,"100m","Kansas"
"Boys","1997","Casey Combest Owensboro ","10.75",NA,"100m","Kansas"
"Boys","1998","Casey Combest Owensboro ","10.71",NA,"100m","Kansas"
"Boys","1999","Tyson Gay Lafayette ","10.81",NA,"100m","Kansas"
"Boys","2000","Tyson Gay Lafayette ","10.78",NA,"100m","Kansas"
"Boys","2001","Tyson Gay Lafayette ","10.46",NA,"100m","Kansas"
"Boys","2002","Todd Chisley Scott County ","10.96",NA,"100m","Kansas"
"Boys","2003","William Carter Apollo ","10.84",NA,"100m","Kansas"
"Boys","2004","Joe Petty Jeffersontown ","10.93",NA,"100m","Kansas"
"Boys","2005","Alfonso Smith Waggener ","10.89",NA,"100m","Kansas"
"Boys","2006","Steve Orndorff Louisville Trinity ","11.22",NA,"100m","Kansas"
"Boys","2007","Justin Green Male ","10.87",NA,"100m","Kansas"
"Boys","2008","Justin Green Male ","10.82",NA,"100m","Kansas"
"Boys","2009","Desmond Suter Bryan Station ","10.81",NA,"100m","Kansas"
"Boys","2010","Chisom Omenyinma Male ","10.94",NA,"100m","Kansas"
"Boys","2011","Ronnie Baker Ballard ","10.89",NA,"100m","Kansas"
"Boys","2012","Ronnie Baker Ballard ","10.65",NA,"100m","Kansas"
"Boys","2013","Willam Bush Ballard ","10.70",NA,"100m","Kansas"
"Boys","2014","Davonte Robinson Henry Clay ","10.85",NA,"100m","Kansas"
"Boys","2015","Austin Hayes South Laurel ","10.76",NA,"100m","Kansas"
"Boys","2016","William Allen Paul Laurence Dunbar ","10.42",NA,"100m","Kansas"
"Boys","2017","JP Vaught Southwestern ","10.81",NA,"100m","Kansas"
"Boys","2018","Langston Jackson Henry Clay ","10.56",NA,"100m","Kansas"
"Boys","2019","Langston Jackson Henry Clay ","10.23",NA,"100m","Kansas"
"Boys","2021","Bryce Chisley Scott County ","10.64",NA,"100m","Kansas"
"Boys","2004","Zachary Wilder Woodford County","4:17.88",NA,"1600m","Kansas"
"Boys","2005","Michael Eaton Greenwood","4:20.13",NA,"1600m","Kansas"
"Boys","2006","Thomas Davies St. Xavier","4:18.74",NA,"1600m","Kansas"
"Boys","2007","Brian Long St. Xavier","4:26.09",NA,"1600m","Kansas"
"Boys","2008","Ryan Eaton Greenwood","4:18.83",NA,"1600m","Kansas"
"Boys","2009","Ryan Eaton Greenwood","4:18.39",NA,"1600m","Kansas"
"Boys","2010","Ryan Eaton Greenwood","4:17.91",NA,"1600m","Kansas"
"Boys","2011","Andrew Stewart North Hardin","4:16.10",NA,"1600m","Kansas"
"Boys","2012","Luke Weishaar Oldham County","4:19.52",NA,"1600m","Kansas"
"Boys","2013","Patrick Gregory Butler","4:18.15",NA,"1600m","Kansas"
"Boys","2014","William Mulloy St. Xavier","4:18.38",NA,"1600m","Kansas"
"Boys","2015","Ben Young Tates Creek","4:10.15",NA,"1600m","Kansas"
"Boys","2016","Yared Nuguse DuPont Manual","4:12.10",NA,"1600m","Kansas"
"Boys","2017","Yared Nuguse DuPont Manual","4:17.94",NA,"1600m","Kansas"
"Boys","2018","Trevor Warren Trinity (Lou.)","4:16.95",NA,"1600m","Kansas"
"Boys","2019","Jacob Brizendine Oldham County","4:16.68",NA,"1600m","Kansas"
"Boys","1966","Kleier  Atherton","4:20.20 ",NA,"Mile","Kansas"
"Boys","1967","Pohl  Trinity","4:24.90 ",NA,"Mile","Kansas"
"Boys","1968","Boyd  Durrett","4:26.40 ",NA,"Mile","Kansas"
"Boys","1969","Harry  DeSales","4:20.40 ",NA,"Mile","Kansas"
"Boys","1970","Pontrich  DeSales","4:21.00 ",NA,"Mile","Kansas"
"Boys","1971","Riley  Atherton","4:20.00 ",NA,"Mile","Kansas"
"Boys","1972","Bullock  Ballard","4:18.60 ",NA,"Mile","Kansas"
"Boys","1973","Noe  Trinity","4:17.60 ",NA,"Mile","Kansas"
"Boys","1974","Buechler  St. Xavier","4:15.00 ",NA,"Mile","Kansas"
"Boys","1975","Kinny  St. Xavier","4:15.80 ",NA,"Mile","Kansas"
"Boys","1976","Cull  Atherton","4:23.20 ",NA,"Mile","Kansas"
"Boys","1977","McKay  Southern","4:26.30 ",NA,"Mile","Kansas"
"Boys","1978","McKay  Southern","4:25.30 ",NA,"Mile","Kansas"
"Boys","1979","James Jeter  North Hardin","4:19.20 ",NA,"1600m","Kansas"
"Boys","1980","James Jeter  North Hardin","4:13.80 ",NA,"1600m","Kansas"
"Boys","1981","James Jeter  North Hardin","4:14.91 ",NA,"1600m","Kansas"
"Boys","1982","Mark Berry  DuPont Manual","4:20.50 ",NA,"1600m","Kansas"
"Boys","1983","Clay Collier  Tates Creek","4:19.50 ",NA,"1600m","Kansas"
"Boys","1984","Chuck Harmon  Campbell County","4:27.39 ",NA,"1600m","Kansas"
"Boys","1985","Barry White  Southern","4:17.04 ",NA,"1600m","Kansas"
"Boys","1986","Paul Hamilton  Jessamine County","4:16.44 ",NA,"1600m","Kansas"
"Boys","1987","Paul Hamilton  Jessamine County","4:16.64 ",NA,"1600m","Kansas"
"Boys","1988","Damian Nally  Lafayette","4:20.98 ",NA,"1600m","Kansas"
"Boys","1989","Damian Nally  Lafayette","4:24.00 ",NA,"1600m","Kansas"
"Boys","1990","Aaron Payne  Pulaski County","4:25.30 ",NA,"1600m","Kansas"
"Boys","1991","Johnny Baum  Holy Cross (Louisville)","4:22.50 ",NA,"1600m","Kansas"
"Boys","1992","Jeremy Kazlauskas  Daviess County","4:21.35 ",NA,"1600m","Kansas"
"Boys","1993","Jeremy Kazlauskas  Daviess County","4:22.76 ",NA,"1600m","Kansas"
"Boys","1994","Ryan Knight  Male","4:19.83 ",NA,"1600m","Kansas"
"Boys","1995","Ryan Knight  Louisville Male","4:19.24 ",NA,"1600m","Kansas"
"Boys","1996","Josh Buffolino  Shelby County","4:18.30 ",NA,"1600m","Kansas"
"Boys","1997","David Christian  Daviess County","4:21.06 ",NA,"1600m","Kansas"
"Boys","1998","David Christian  Daviess County","4:17.82 ",NA,"1600m","Kansas"
"Boys","1999","David Christian  Daviess County","4:14.06 ",NA,"1600m","Kansas"
"Boys","2000","Bobby Curtis  St. Xavier","4:19.60 ",NA,"1600m","Kansas"
"Boys","2001","Bobby Curtis  St. Xavier","4:17.43 ",NA,"1600m","Kansas"
"Boys","2002","Bobby Curtis  St. Xavier","4:13.16 ",NA,"1600m","Kansas"
"Boys","2003","Bobby Curtis  St. Xavier","4:18.56 ",NA,"1600m","Kansas"
"Boys","1966","Brown  Male","9.7",NA,"100y","Kansas"
"Boys","1967","Dean  Male","10.2",NA,"100y","Kansas"
"Boys","1968","Brown  Male","10.0",NA,"100y","Kansas"
"Boys","1969","Bowens  Thomas Jefferson","9.8",NA,"100y","Kansas"
"Boys","1970","Pettway  Seneca","9.8",NA,"100y","Kansas"
"Boys","1971","Pettway  Seneca","21.80",NA,NA,"Kansas"
"Boys","1972","Raible  Trinity","9.80",NA,"100y","Kansas"
"Boys","1974","Perciful  St. Xavier","10.2",NA,"100y","Kansas"
"Boys","1975","Hill  Thomas Jefferson","9.60",NA,"100y","Kansas"
"Boys","1976","Agee  Valley","9.70",NA,"100y","Kansas"
"Boys","1977","Agee  Valley","9.60",NA,"100y","Kansas"
"Boys","1978","Gray  Durrett","10.00",NA,"100y","Kansas"
"Boys","1979","Snow  Bryan Station","11.20",NA,"100m","Kansas"
"Boys","1980","Jerome Harrison  Seneca","10.70",NA,"100m","Kansas"
"Boys","1981","Alvin Major  Ballard","10.94",NA,"100m","Kansas"
"Boys","1982","Franklin Allen  Henry Clay","10.94",NA,"100m","Kansas"
"Boys","1983","Franklin Allen  Henry Clay","10.65",NA,"100m","Kansas"
"Boys","1984","Derek Robinson  Lafayette","10.97",NA,"100m","Kansas"
"Boys","1985","Derek Robinson  Lafayette","10.68",NA,"100m","Kansas"
"Boys","1986","Randy Wyatt  Paducah Tilghman","10.84",NA,"100m","Kansas"
"Boys","1987","Randy Wyatt  Paducah Tilghman","10.75",NA,"100m","Kansas"
"Boys","1988","Aaron Payne  Holy Cross (Louisville)","10.58",NA,"100m","Kansas"
"Boys","1989","Aaron Payne  Holy Cross (Louisville)","10.82",NA,"100m","Kansas"
"Boys","1977","Edwards  Moore","1:55.30 ",NA,"880y","Kansas"
"Boys","1978","Skaggs  Valley","2:00.80 ",NA,"880y","Kansas"
"Boys","1979","Connell  Trinity (Louisville)","1:56.30 ",NA,"800m","Kansas"
"Boys","1980","James Jeter  North Hardin","1:54.30 ",NA,"800m","Kansas"
"Boys","1981","James Jeter  North Hardin","1:56.61 ",NA,"800m","Kansas"
"Boys","1982","Audley Gordon  Southern","1:56.23 ",NA,"800m","Kansas"
"Boys","1983","Darrin Hines  Pulaski County","1:57.79 ",NA,"800m","Kansas"
"Boys","1984","Scott Ebelhar  Apollo","1:54.68 ",NA,"800m","Kansas"
"Boys","1985","Derrick Saunders  Ballard","1:55.22 ",NA,"800m","Kansas"
"Boys","1986","Jeff Gillooly  Holy Cross","1:55.00 ",NA,"800m","Kansas"
"Boys","1987","Carl Dillard  Christian County","1:55.52 ",NA,"800m","Kansas"
"Boys","1988","John Rhodus  Bryan Station","1:58.44 ",NA,"800m","Kansas"
"Boys","1989","Wesley Reed  Pulaski County","1:59.41 ",NA,"800m","Kansas"
"Boys","1990","Johnny Baum  Holy Cross (Louisville)","1:59.15 ",NA,"800m","Kansas"
"Boys","1991","Johnny Baum  Holy Cross (Louisville)","1:56.34 ",NA,"800m","Kansas"
"Boys","1992","Johnny Baum  Holy Cross (Louisville)","1:57.61 ",NA,"800m","Kansas"
"Boys","1993","Andrew Lorenz  Trinity","1:57.72 ",NA,"800m","Kansas"
"Boys","1994","Jim Hahn  Meade County","1:58.20 ",NA,"800m","Kansas"
"Boys","1995","David Douglas  Meade County","1:54.80 ",NA,"800m","Kansas"
"Boys","1996","Josh Buffolino  Shelby County","1:53.16 ",NA,"800m","Kansas"
"Boys","1997","Stanley Tannyhill  Male","1:57.02 ",NA,"800m","Kansas"
"Boys","1998","Derrick Sears  Pulaski County","1:57.47 ",NA,"800m","Kansas"
"Boys","1999","James Doaty  Male","1:52.73 ",NA,"800m","Kansas"
"Boys","2000","James Doaty  Male","1:57.47 ",NA,"800m","Kansas"
"Boys","2001","Chris Hall  Meade County","1:58.90 ",NA,"800m","Kansas"
"Boys","2002","Bobby Curtis  St. Xavier","1:54.72 ",NA,"800m","Kansas"
"Boys","2003","Bobby Curtis  St. Xavier","1:54.93 ",NA,"800m","Kansas"
"Boys","2004","Chris Hall  Meade County","1:56.34 ",NA,"800m","Kansas"
"Boys","2005","Phillip Warsaw  John Hardin","1:55.13 ",NA,"800m","Kansas"
"Boys","2006","Kenny Minogue  Louisville Trinity","1:55.77 ",NA,"800m","Kansas"
"Boys","2007","Jon Erickson  DuPont Manual","1:55.55 ",NA,"800m","Kansas"
"Boys","2008","Trent Halasek  Scott County","1:55.04 ",NA,"800m","Kansas"
"Boys","2009","Robbie Scharold  Campbell County","1:54.54 ",NA,"800m","Kansas"
"Boys","2010","Robbie Scharold  Campbell County","1:52.19 ",NA,"800m","Kansas"
"Boys","2011","Tretez Kinnaird  Butler","1:54.27 ",NA,"800m","Kansas"
"Boys","2012","Tretez Kinnaird  Butler","1:49.96 ",NA,"800m","Kansas"
"Boys","2013","Jimmy Goldson  Pulaski County","1:55.14 ",NA,"800m","Kansas"
"Boys","2014","Kendall Muhammad  Paul Laurence Dunbar","1:54.10 ",NA,"800m","Kansas"
"Boys","2015","Christian Wright  Central Hardin","1:52.66 ",NA,"800m","Kansas"
"Boys","2016","Christian Wright  Central Hardin","1:52.31 ",NA,"800m","Kansas"
"Boys","2017","Yared Nuguse  DuPont Manual","1:54.13 ",NA,"800m","Kansas"
"Boys","2018","Jacob Burnam  Trinity (Lou.)","1:56.53 ",NA,"800m","Kansas"
"Boys","2019","Luke Spurrier  South Warren","1:52.25 ",NA,"800m","Kansas"
"Boys","1966","Price Trinity","1:56.90 ",NA,"880y","Kansas"
"Boys","1967","Baumer Durrett","1:56.80 ",NA,"880y","Kansas"
"Boys","1968","Baumer Durrett","1:54.80 ",NA,"880y","Kansas"
"Boys","1969","Robinson Flaget","1:58.00 ",NA,"880y","Kansas"
"Boys","1970","Spruill Jeffersontown","1:56.40 ",NA,"880y","Kansas"
"Boys","1971","Summitt Fairdale","1:54.70 ",NA,"880y","Kansas"
"Boys","1972","Jaggers Butler","1:53.00 ",NA,"880y","Kansas"
"Boys","1973","G. Hill Thomas Jefferson","1:55.00 ",NA,"880y","Kansas"
"Boys","1974","Buechler St. Xavier","1:56.30 ",NA,"880y","Kansas"
"Boys","1975","Kieler Southern","1:56.30 ",NA,"880y","Kansas"
"Boys","1976","Sirrine Ballard","1:5870 ",NA,"100y","Kansas"
"Boys","1976","Veech Doss","12-00",NA,"Pole Vault","Kansas"
"Boys","1977","Elam Moore","12-06",NA,"Pole Vault","Kansas"
"Boys","1978","Meyers St. Xavier","13-06",NA,"Pole Vault","Kansas"
"Boys","1979","Ray Stuart","13-06",NA,"Pole Vault","Kansas"
"Boys","1980","Jeff Davis Trinity (Louisville)","12-06",NA,"Pole Vault","Kansas"
"Boys","1981","Kevin Ferguson Henderson County","14-00",NA,"Pole Vault","Kansas"
"Boys","1982","Tom Munich St. Xavier","14-00",NA,"Pole Vault","Kansas"
"Boys","1983","Dan Castle Madison Central","13-06",NA,"Pole Vault","Kansas"
"Boys","1984","Danny Castle Madison Central","14-01",NA,"Pole Vault","Kansas"
"Boys","1985","Brian Kasitz Madison Central","12-06",NA,"Pole Vault","Kansas"
"Boys","1986","Tony Taylor Iroquois","13-00",NA,"Pole Vault","Kansas"
"Boys","1987","Dean McCoy Covington Catholic","12-06",NA,"Pole Vault","Kansas"
"Boys","1988","Adam Smith Daviess County","15-00",NA,"Pole Vault","Kansas"
"Boys","1989","Adam Smith Daviess County","15-06",NA,"Pole Vault","Kansas"
"Boys","1990","Mike Claycomb Daviess County","14-00",NA,"Pole Vault","Kansas"
"Boys","1991","Mike Claycomb Daviess County","15-00",NA,"Pole Vault","Kansas"
"Boys","1992","Andy Knight Apollo","13-00",NA,"Pole Vault","Kansas"
"Boys","1993","Andy Knight Apollo","14-08",NA,"Pole Vault","Kansas"
"Boys","1994","Andy Knight Apollo","14-06",NA,"Pole Vault","Kansas"
"Boys","1995","Dave Francis Lincoln County","13-06",NA,"Pole Vault","Kansas"
"Boys","1996","Lee Miles Grayson County","14-00",NA,"Pole Vault","Kansas"
"Boys","1997","Chris Daniel St. Xavier","15-00",NA,"Pole Vault","Kansas"
"Boys","1998","David Bowersox Daviess County","13-06",NA,"Pole Vault","Kansas"
"Boys","1999","Matt Moore Madisonville-NH","14-00",NA,"Pole Vault","Kansas"
"Boys","2000","David McKenzie St. Xavier","14-06",NA,"Pole Vault","Kansas"
"Boys","2001","Chip Heuser St. Xavier","14-00",NA,"Pole Vault","Kansas"
"Boys","2002","Chip Heuser St. Xavier","15-07",NA,"Pole Vault","Kansas"
"Boys","2003","Chip Heuser St. Xavier","16-00",NA,"Pole Vault","Kansas"
"Boys","2004","Brenden McKenzie Louisville Trinity","14-06",NA,"Pole Vault","Kansas"
"Boys","2005","Chad Smith Henderson County","14-00",NA,"Pole Vault","Kansas"
"Boys","2006","Josh Smith Grayson County","13-06",NA,"Pole Vault","Kansas"
"Boys","2007","Josh Smith Grayson County","14-03",NA,"Pole Vault","Kansas"
"Boys","2008","Adam Hobson Henderson County","13-00",NA,"Pole Vault","Kansas"
"Boys","2009","Evan Pitt Henderson County","14-00",NA,"Pole Vault","Kansas"
"Boys","2010","Ryan Ramsey St. Xavier","15-07",NA,"Pole Vault","Kansas"
"Boys","2011","Brad Zolke St. Xavier","13-06",NA,"Pole Vault","Kansas"
"Boys","2012","Cain Cooper Henderson County","13-06",NA,"Pole Vault","Kansas"
"Boys","2013","Cain Cooper Henderson County","15-01",NA,"Pole Vault","Kansas"
"Boys","2014","Cain Cooper Henderson County","15-04",NA,"Pole Vault","Kansas"
"Boys","2015","Antonio Parker North Hardin","14-06",NA,"Pole Vault","Kansas"
"Boys","2016","Ed Huzyak South Warren","13-06",NA,"Pole Vault","Kansas"
"Boys","2017","Sam Martin Woodford County","13-06",NA,"Pole Vault","Kansas"
"Boys","2018","Ryan Boyle Trinity (Lou.)","13-06",NA,"Pole Vault","Kansas"
"Boys","2019","Luke Levinson Eastern","14-06",NA,"Pole Vault","Kansas"
"Boys","1966","Hance Eastern ","6-05",NA,"High Jump","Kansas"
"Boys","1967","Worth Owensboro ","6-02",NA,"High Jump","Kansas"
"Boys","1968","Reed Flaget ","6-00",NA,"High Jump","Kansas"
"Boys","1969","Glass St. Xavier ","6-02",NA,"High Jump","Kansas"
"Boys","1970","Childer Male ","6-03",NA,"High Jump","Kansas"
"Boys","1971","Childer Male ","6-03",NA,"High Jump","Kansas"
"Boys","1972","Trowell Thomas Jefferson ","6-04",NA,"High Jump","Kansas"
"Boys","1973","Greenwell Waggener ","6-07",NA,"High Jump","Kansas"
"Boys","1974","Smith Central ","6-06",NA,"High Jump","Kansas"
"Boys","1975","Flanigan Ballard ","6-04",NA,"High Jump","Kansas"
"Boys","1976","Maupin St. Xavier ","6-04",NA,"High Jump","Kansas"
"Boys","1977","Logsdon Iroquois ","6-06",NA,"High Jump","Kansas"
"Boys","1978","Logsdon Iroquois ","6-04",NA,"High Jump","Kansas"
"Boys","1979","Steve Wham Henderson County ","6-08",NA,"High Jump","Kansas"
"Boys","1980","Steve Wham Henderson County ","6-08",NA,"High Jump","Kansas"
"Boys","1981","John Milburn Male ","6-09",NA,"High Jump","Kansas"
"Boys","1982","John Milburn Male ","6-06",NA,"High Jump","Kansas"
"Boys","1983","Gary Novontony Warren Central ","6-06",NA,"High Jump","Kansas"
"Boys","1984","Bill Jackson Eastern ","6-06",NA,"High Jump","Kansas"
"Boys","1985","Kevin Sidebottom St. Xavier ","6-09",NA,"High Jump","Kansas"
"Boys","1986","Kelly Floyd Henderson County ","6-08",NA,"High Jump","Kansas"
"Boys","1987","Paul Ray Christian County ","6-10.50",NA,"High Jump","Kansas"
"Boys","1988","Rodney Bottoms DuPont Manual ","6-06",NA,"High Jump","Kansas"
"Boys","1989","Paul Ray Christian County ","6-06",NA,"High Jump","Kansas"
"Boys","1990","George Higgins Woodford County ","6-07",NA,"High Jump","Kansas"
"Boys","1991","Jody Stiles Moore ","6-04",NA,"High Jump","Kansas"
"Boys","1992","Kio Sanford Bryan Station ","6-04",NA,"High Jump","Kansas"
"Boys","1993","Pat Farnan St. Xavier ","6-06",NA,"High Jump","Kansas"
"Boys","1994","Pat Farnan St. Xavier ","6-11",NA,"High Jump","Kansas"
"Boys","1995","Tony Jarman Holmes ","6-10",NA,"High Jump","Kansas"
"Boys","1996","Matt Reecer Trinity ","6-08",NA,"High Jump","Kansas"
"Boys","1997","Matt Reecer Trinity ","6-11.25",NA,"High Jump","Kansas"
"Boys","1998","Mike McDonald Pulaski County ","6-08",NA,"High Jump","Kansas"
"Boys","1999","Kurt Kreyling Covington Catholic ","6-04",NA,"High Jump","Kansas"
"Boys","2000","Larry O’Bannon Male ","6-08",NA,"High Jump","Kansas"
"Boys","2001","Matt Berrier Ballard ","6-06",NA,"High Jump","Kansas"
"Boys","2002","Markel Carr Owensboro ","6-08",NA,"High Jump","Kansas"
"Boys","2003","Graham Cole Henry Clay ","6-04",NA,"High Jump","Kansas"
"Boys","2004","Graham Cole Henry Clay ","6-04",NA,"High Jump","Kansas"
"Boys","2005","Steven Jenkins Louisville Trinity ","6-04",NA,"High Jump","Kansas"
"Boys","2006","Steven Jenkins Louisville Trinity ","6-06",NA,"High Jump","Kansas"
"Boys","2007","Brandon Walker Marshall County ","6-06",NA,"High Jump","Kansas"
"Boys","2008","Billy Thompson North Hardin ","6-07",NA,"High Jump","Kansas"
"Boys","2009","Jonathon Hood Madisonville-NH ","6-06",NA,"High Jump","Kansas"
"Boys","2010","Donovan Halsel Warren Central ","6-08",NA,"High Jump","Kansas"
"Boys","2011","Donovan Halsel Warren Central ","6-08",NA,"High Jump","Kansas"
"Boys","2012","Donovan Halsel Warren Central ","6-04",NA,"High Jump","Kansas"
"Boys","2013","Jocari Beattie Eastern ","6-08",NA,"High Jump","Kansas"
"Boys","2014","Tequan Claitt Bryan Station ","6-06",NA,"High Jump","Kansas"
"Boys","2015","Jaron Brooks Henry Clay ","6-10",NA,"High Jump","Kansas"
"Boys","2016","Jaron Brooks Henry Clay ","6-10",NA,"High Jump","Kansas"
"Boys","2017","Patrick Kelly Tates Creek ","6-08",NA,"High Jump","Kansas"
"Boys","2018","Robbie Springfi eld Trinity (Lou.) ","6-04",NA,"High Jump","Kansas"
"Boys","2019","Justin Lehmkuhler Woodford County ","6-06",NA,"High Jump","Kansas"
"Boys","2021","Donsten Brown McCracken County ","6-08",NA,"High Jump","Kansas"
"Boys","1966","Vogt Manuel","12-00",NA,"Pole Vault","Kansas"
"Boys","1967","Price Waggner","13-00.25",NA,"Pole Vault","Kansas"
"Boys","1968","Price Waggner","13-00",NA,"Pole Vault","Kansas"
"Boys","1969","Campbell Eastern","12-03",NA,"Pole Vault","Kansas"
"Boys","1970","Campbell Eastern","13-06",NA,"Pole Vault","Kansas"
"Boys","1971","Minter Stuart","13-06",NA,"Pole Vault","Kansas"
"Boys","1972","Daniels Fairdale","12-06",NA,"Pole Vault","Kansas"
"Boys","1973","Mitchell Fairdale","12-06",NA,"Pole Vault","Kansas"
"Boys","1974","Poling Ballard","12-06",NA,"Pole Vault","Kansas"
"Boys","1975","Coston Ballard","13-00",NA,"Pole Vault","Kansas"
"Boys","1990","Lewis Ridgeway Paducah Tilghman ","11.05",NA,"100m","Kansas"
"Boys","1991","Jamie Henderson Franklin County ","11.23",NA,"100m","Kansas"
"Boys","1992","Chris Jackson Woodford County ","10.89",NA,"100m","Kansas"
"Boys","1993","Chris Jackson Woodford County ","11.03",NA,"100m","Kansas"
"Boys","1994","Terrell English Paducah Tilghman ","11.23",NA,"100m","Kansas"
