2007,
"",3A,"Meghan Blood, Valley Catholic ......... 10:46.93"
"",2A,"Ashley Baldovino, Lakeview .............. 10:55.32"
"",1A,"Sarah Hanchett, McKenzie ............... 10:48.59"
100m H,6A,"Rebecca Rhodes, South Salem ............. 14.88"
"",5A,"Olivia Ferrara, Liberty ............................ 14.78"
"",4A,"Alisha Buss, Stayton .............................. 15.13"
"",3A,"Payton Hummell, Warrenton .................. 16.44"
"",2A,"Sarah McAfee, Portland Christian .......... 16.08"
"",1A,"Emily Funkhouser, Sherman .................. 16.01"
300m H,6A,"Alyssa Rife, Southridge ......................... 44.17"
"",5A,"Alison Worthen, Marshfield .................... 44.46"
"",4A,"Kate Wilkins, Marist ............................... 46.14"
"",3A,"Frauke Fuchs, Coquille .......................... 46.27"
"",2A,"Keli Hall, Lakeview ................................ 47.14"
"",1A,"Emily Funkhouser, Sherman ................. 45.65"
4x100m R,6A,ST. MARY’S ACADEMY ........................ 48.14
"",,"(Harrington, Mundy, Bergmann, Priest)"
"",5A,PENDLETON ........................................ 49.50
"",,"(Torres, O’Neill, Harwood, Zodrow)"
"",4A,COTTAGE GROVE ............................... 49.52
"",,"(Wilkinson, McClung, Hemenway, Lewis)"
"",3A,NYSSA .................................................. 50.19
"",,"(Tucker, Jones, Wagstaff, Booth)"
"",2A,SALEM ACADEMY................................ 51.20
"",,"(Freeberg, Weaver, Williams, Flores)"
"",1A,CRANE .................................................. 51.88
"",,"(Steeves, DeBoer, O’Toole, Borelli)"
4x400m R,6A,SOUTHRIDGE ................................... 3:54.46
"",,"(Rife, Hones, Nash, Steinbeck)"
"",5A,SUMMIT ............................................. 3:55.11
"",,"(Berg, Wilson, O’Connor, Schueler)"
"",4A,HENLEY ............................................. 3:56.83
"",,"(Poetsch, North, Waugh, Wallace)"
"",3A,CATLIN GABEL .................................. 4:02.90
"",,"(Hurst, E. Miller, Ney, I. Miller)"
"",2A,OAKRIDGE ........................................ 4:08.33
"",,"(Young, McLean, Skordahl, Boyd)"
"",1A,CRANE ............................................... 4:11.09
"",,"(Steeves, Borelli, Bentz, O’Crowley)"
Long Jump,6A,"Rebecca Rhodes, South Salem ............ 18-0.5"
"",5A,"Alison Worthen, Marshfield ................. 17-11.5"
"",4A,"Jessica Rodolf, Junction City ................ 18-0.5"
"",3A,"Beth Stam, Toledo ................................ 17-4.5"
"",2A,"Tricia O’Leary, Enterprise ........................ 16-2"
"",1A,"Katie Anderson, Hosanna Christian ...... 16-9.5"
Triple Jump,6A,"Kristen Colwell, Jesuit ........................ 38-0.75"
"",5A,"Brooke Bailey, Summit ....................... 37-2.75"
"",4A,"Charlene Harber, Astoria ......................... 37-0"
"",3A,"Beth Stam, Toledo ................................... 37-2"
"",2A,"Zoe Skordahl, Oakridge ........................ 34-6.5"
"",1A,"Kaitlyn Muller, Griswold ........................... 33-2"
Shot Put,6A,"Kelsey Strot, Gresham ....................... 42-2.25"
"",5A,"Alesha Trattner, Glencoe ....................... 41-11"
"",4A,"Laura Bobek, Astoria ............................... 42-8"
"",3A,"Sharrisa Thayer, Waldport .................. 4-10.25"
"",2A,"Alexis Arnold, Portland Christian ........ 37-10.5"
"",1A,"Paige Branstiter, Adrian ........................ 38-5.5"
Discus,6A,"Alyssa Hasslen, McMinnville ................. 134-1"
"",5A,"Kady Stafford, Crook County ................. 123-0"
"",4A,"Laura Bobek, Astoria ............................. 138-3"
"",3A,"Katy Lutjens, Vale ................................. 131-5"
"",2A,"Alexis Arnold, Portland Christian ........... 109-2"
"",1A,"Paige Branstiter, Adrian ......................... 126-4"
Javelin,6A,"Ali Super, West Linn .............................. 149-1"
"",5A,"Michelle Coombs, Hermiston ............... 155-11"
"",4A,"Nikki Ramsey, Gladstone ...................... 133-1"
"",3A,"Beth Stam, Toldedo ............................... 133-6"
"",2A,"Kelsea Hurliman, Nestucca ................. 124-11"
"",1A,"Teresa Tores, McKenzie ....................... 133-9"
High Jump,6A,"Kelly Millager, Tualatin .............................. 5-5"
"",5A,"Alison Worthen, Marshfield ........................ 5-6"
"",4A,"Chance Summers, Estacada ..................... 5-5"
"",3A,"Beth Stam, Toledo ..................................... 5-4"
"",2A,"Zoe Skordahl, Oakridge ............................. 5-2"
"",1A,"Bailey Nogle, Sherman .............................. 5-1"
Pole Vault,6A,"Lindsay Beard, South Eugene ................. 12-7"
"",5A,"Moriah Roberge, Marshfield .................... 11-9"
"",4A,"Brooke Davison, North Bend ................... 10-9"
"",3A,"Misty Corwin, Waldport ............................ 11-6"
"",2A,"Kelly Van Heerden, Nestucca .................... 8-0"
"",1A,"Julie Drescher, St. Paul ............................. 9-6"
"",,
2009,,
100m Dash,6A,"Kayla Smith, Benson ............................. 11.84"
"",5A,"Kellie Schueler, Summit ........................ 11.78"
"",4A,"Maria Kropf, Sweet Home ..................... 12.24"
"",3A,"Ashleigh Soltis, Cascade Christian ........ 12.78"
"",2A,"Erica Drake, Pilot Rock .......................... 12.73"
"",1A,"Karissa Mobley, Sherman ..................... 13.12"
"",,
200m Dash,6A,"Kayla Smith, Benson ............................. 24.01"
"",5A,"Kellie Schueler, Summit ........................ 23.94"
"",4A,"Robin Smith, Tillamook.......................... 25.71"
"",3A,"Emily Quatier, Westside Christian ......... 26.09"
"",2A,"Erin Price, Heppner ............................... 26.41"
"",1A,"Emily Funkhouser, Sherman ................. 26.74"
400m Dash,6A,"Ify Onyima, Gresham ............................ 57.01"
"",5A,"Kelli Schueler, Summit .......................... 54.60"
"",4A,"Laura Schmitt, La Salle ......................... 57.27"
