2007,,
Javelin,6A,"Michael Thompson, Southridge ............. 198-8"
"",5A,"Jesse Staub, Wilsonville ........................ 191-3"
"",4A,"Jordan Aldredge, Gladstone .................. 197-7"
"",3A,"Jimmy Cook, Grant Union ...................... 176-1"
"",2A,"Josh Heidegger, Cascade Christian ..... 174-10"
"",1A,"Ryan Standiford, Condon ....................... 166-1"
High Jump,6A,"Vernell Warren, Grant .............................. 6-10"
"",5A,"Billy Butler, Hillsboro ............................... 7-0.5"
"",4A,"Danny Staats, Henley ................................ 6-5"
"",3A,"Darren Hiatt, Bandon ................................. 6-2"
"",2A,"Nevin Lewis, Culver ................................... 6-7"
"",1A,"Nick Johnston, Mohawk ............................. 6-5"
Pole Vault,6A,"Adam Brink, Roseburg ............................. 15-7"
"",5A,"Andrew Simpson, Marshfield ................... 15-4"
"",4A,"Austin Ouderkirk, Newport ....................... 14-6"
"",3A,"Robby Fegels, Reedsport ........................ 14-9"
"",2A,"John Ellingson, Kennedy.......................... 15-6"
"",1A,"Shane Ugalde, Crane ........................... 13-6.5"
"",,
2008,,
100m Dash,6A,"Jordan Polk, Lincoln ............................... 10.63"
"",5A,"Mark Brooks, Klamath Union ................. 11.00"
"",4A,"Cory McCaffrey, Sisters ......................... 11.02"
"",3A,"Zack Hevner, Vale ................................. 11.38"
"",2A,"Coulter Mastenbroek, Scio ..................... 11.45"
"",1A,"Sean Lewis, Damascus Christian........... 11.40"
200m Dash,6A,"Nycole Griffin, Benson ........................... 21.79"
"",5A,"Mark Brooks, Klamath Union ................. 22.07"
"",4A,"Kevin Carpenter, Scappoose ................. 22.31"
"",3A,"Zack Hevner, Vale ................................. 22.31"
"",2A,"Coulter Mastenbroek, Scio ..................... 22.75"
"",1A,"Sean Lewis, Damascus Christian.........22.34A"
400m Dash,6A,"Nathan Lightner, Central Catholic .......... 49.05"
"",5A,"Shane O’Connell, Churchill .................... 49.21"
"",4A,"Danny Staats, Henley ............................ 49.01"
"",3A,"Zack Hevner, Vale ................................. 49.83"
"",2A,"Scott Nado, Corbett ............................... 51.39"
"",1A,"Maurus Hope, Adrian ............................. 49.86"
800m Run,6A,"Elijah Greer, Lake Oswego ................. 1:50.60"
"",5A,"Russell Drummond, Chuchill ............... 1:55.85"
"",4A,"Cole Watson, Rogue River .................. 1:54.71"
"",3A,"Cam Anthony, Vale ............................. 1:59.90"
"",2A,"Andrew Hair,"
"",,Faith Bible/Heritage Christian ............. 2:02.50
"",1A,"Shawn Elliott, Triad ............................. 1:58.57"
1500m Run,6A,"Nathan Mathabane, Lincoln ................ 3:53.28"
"",5A,"Matt Miner, Ashland ............................ 3:55.17"
"",4A,"Elliott Jantzer, Phoenix ....................... 3:58.53"
"",3A,"Brian Nelson, Nyssa ........................... 4:14.16"
"",2A,"Max Long, Oakridge ............................ 4:00.10"
"",1A,"Jacob Bowdoin, New Hope Christian .. 4:05.80"
3000m Run,6A,"Bryce Burgess, Franklin ...................... 8:36.83"
"",5A,"Mat Miner, Ashland ............................. 8:42.39"
"",4A,"Elliott Jantzer, Phoenix ....................... 8:40.47"
"",3A,"Daniel Friesen, Westside Christian ..... 9:16.76"
"",2A,"Max Long, Oakridge ............................ 8:55.30"
"",1A,"Jacob Bowdoin, New Hope Christian .. 9:06.54"
110m H,6A,"Eric Capelle, Barlow ............................... 14.51"
"",5A,"Mark Flegel, Crook County .................... 15.20"
"",4A,"Dom Walker, Seaside ............................ 14.91"
"",3A,"Jeremy Kreutzbender, Amity .................. 15.34"
"",2A,"Stephen Dickinson, Bonanza ................. 15.20"
"",1A,"Sean Lewis, Damascus Christian........... 15.00"
300m H,"6A Eric Capelle, Barlow .............................. 38.89"
"","5A Wayne Forthan, Jefferson ..................... 39.06"
"","4A Larry Ragsdale, Illinois Valley ................ 38.49"
"","3A Jeremy Kreutzbender, Amity ................. 40.88"
"","2A Stephen Dickinson, Bonanza ................. 41.14"
"","1A Sean Lewis, Damascus Christian .......... 39.27"
4x100m R,6A BARLOW ............................................... 41.92
"","(Dufala, Johnson, Cook, Capelle)"
"",5A WEST ALBANY ..................................... 43.23
"","(Warren, Pigg, Manifesto, LaCoste)"
"",4A CENTRAL.............................................. 43.65
"","(Cedillo, T. Phillips, Pond, E. Phillips)"
"",3A WESTSIDE CHRISTIAN ....................... 43.57
"","(Colby, Curtis, Parker, Barton)"
"",2A CENTRAL LINN .................................... 44.56
"","(Scott LaCoste, Mendoza, Miller, Sean LaCoste)"
"",1A ECHO .................................................... 44.59
"(Fritz, Dustin Christensen, Devin Christensen, Madison)",
4x400m R,6A GRANT ............................................... 3:18.35
"","(Karl Acker, Ken Acker, McCoy, Shimada)"
"",5A JEFFERSON ...................................... 3:24.41
"","(Guyuta, Miles, Tuffa, Strickland)"
"",4A SISTERS ............................................ 3:24.31
"","(Gruettner, Elder, Henderson, McCaffrey)"
"",3A VALE .................................................. 3:26.87
"","(Skerjanec, Tucker, Anthony, Hevner)"
"",2A EAST LINN CHRISTIAN ..................... 3:32.45
"","(Glender, Engwall, Koos, Goins)"
"",1A ADRIAN .............................................. 3:32.13
"","(Meyer, Osborn, Rogers, Hope)"
Long Jump,"6A Jordan Bishop, West Salem ............... 23-5.75"
"","5A Derek Newsom, Silverton ................... 23-8.75"
"","4A Dakota Keys, Sweet Home ................. 23-4.50"
"","3A Zack Burton, Bervais ............................ 20-8.5"
"","2A Zecharaih NcLaurin,"
"",De La Salle North Catholic ................. 21-2.75
"","1A Ethan Moore, Sherman ...................... 21-9.75"
Triple Jump,"6A Garrett Sim, Sunset ............................ 47-7.75"
"","5A Curtis Fisher, Sherwood ..................... 45-11.5"
"","4A Brian Schaudt, Philomath ........................ 48-9"
"","3A Kaden Andrews, Dayton ..................... 44-4.25"
"","2A Preston Dace, Portland Christian ....... 44-2.75"
"","1A Ethan Moore, Sherman .................... 44-11.25"
Shot Put,"6A Ryan Crouser, Barlow ............................. 60-2"
"","5A Robert Atoe, The Dalles Wahtonka ....... 59-10"
"","4A Elliot Adams, North Bend ................... 51-9.75"
"","3A Levi Case, Nyssa .................................... 51-8"
"","2A Bryson Barney, Chiloquin ........................ 48-7"
"","1A Kasey McCullough, Dufur ..................... 54-2.5"
Discus,"6A Ryan Crouser, Barlow ........................... 178-9"
"","5A Kyle Westerman, Bend .......................... 164-2"
"","4A Eric Whalen, La Salle ............................ 159-5"
"","3A Bo Johnson, Toledo............................... 167-4"
"","2A Wyatt Briggs, Scio ................................. 140-2"
"","1A Willy Johnson, Days Creek .................... 160-8"
Javelin,"6A Sam Crouser, Gresham ......................... 199-6"
"","5A Sean MacKelvie, Wilsonville .................. 200-8"
"","4A Eric Whalen, La Salle ............................ 192-8"
"","3A Jimmy Cook, Grant Union ..................... 178-2"
"","2A Nathan Rowlett, Portland Christian ........ 180-1"
"","1A Loren Meeker, Triad .............................. 165-2"
High Jump,"6A Spencer Patterson, Tigard ....................... 6-10"
"","5A Billy Butler, Hillsboro .................................. 6-8"
"","4A Danny Staats, Henley ................................ 6-9"
"","3A Jordan Buhler, Harrisburg ......................... 6-4"
"","2A Stephen Dickinson, Bonanza ..................... 6-6"
"","1A Asa Miller, Spray ....................................... 6-4"
Pole Vault,"6A Jack Hippler, Oregon City ........................ 15-3"
"","5A Greg Eckes, Marshfield ........................... 15-5"
"","4A Lane Davison, North Bend ...................... 16-0"
"","3A Casey Cagley, Myrtle Point ..................... 14-0"
"","2A David Nuttelman, Portland Christian ........ 13-6"
"","1A Ransom Smith, Gilchrist .......................... 14-0"
"",
2009,
100m Dash,"6A Arthur Delaney, Barlow .......................... 10.75"
"","5A Logan Kotzian, Century ......................... 10.90"
"","4A Matt Anthony, Ontario ............................ 10.88"
"","3A Seth Wenger, Sheridan ......................... 11.14"
"","2A Nevin Lewis, Culver ............................... 10.93"
"","1A Sean Lewis, Damascus Christian .......... 11.03"
200m Dash,"6A Anthony Yakovich, Sheldon ................... 21.79"
"","5A Logan Kotzian, Century ......................... 22.04"
"","4A Matt Anthony, Ontario ........................... 22.08"
"","3A Andrew Curtis, Westside Christian ........ 22.53"
"","2A Nevin Lewis, Culver ............................... 21.84"
"","1A Sean Lewis, Damascus Christian .......... 22.50"
400m Dash,"6A Anthony Yakovich, Sheldon ................... 49.30"
"","5A Kelley Beck, Crater ................................ 50.18"
"","4A Tyler Thomas, Philomath ....................... 50.49"
"","3A Cole Watson, Rogue River .................... 50.57"
"","2A Nevin Lewis, Culver ............................... 49.34"
"","1A Nick Richardson, Portland Lutheran ...... 51.09"
800m Run,"6A Elijah Greer, Lake Oswego ................. 1:59.51"
"","5A Boru Guyuta, Jefferson....................... 1:56.27"
"","4A Jared Christian, Marist........................ 1:57.05"
"","3A Cole Watson, Rogue River ................. 1:56.85"
"","2A Alex Palmer, Union ............................. 2:00.92"
"","1A Ben Bogert, Southwest Christian ........ 2:00.50"
1500m Run,"6A Elijah Greer, Lake Oswego ................. 3:50.56"
"","5A Wilder Schaaf, Ashland ...................... 4:02.64"
"","4A Elliott Jantzer, Phoenix ....................... 3:57.14"
"","3A Cole Watson, Rogue River ................. 4:06.32"
"","2A Chris Fasel, Union .............................. 4:11.90"
"","1A Jacob Bowdoin, New Hope Christian . 4:10.39"
3000m Run,"6A Nathan Mathabane, Lincoln ................ 8:33.31"
"","5A Wilder Schaaf, Ashland ...................... 8:42.17"
"","4A Elliott Jantzer, Phoenix ....................... 8:43.40"
"","3A Corbin Helt, Creswell .......................... 9:14.20"
"","2A Tom Sheehy, Union ............................ 9:05.59"
"","1A Abel Araya, Portland Lutheran............ 8:56.80"
110m H,"6A Micah Hatfield, Lake Oswego ................ 14.68"
"","5A Caleb Kruse, Marshfield ........................ 14.60"
"","4A Dakotah Keys, Sweet Home .................. 14.67"
"","3A Garrett Presley, Creswell ....................... 15.34"
"","2A Stephen Dickinson, Bonanza ................ 14.70"
"","1A Sean Lewis, Damascus Christian .......... 14.52"
300m H,"6A Taylor Abdie, Sunset ............................. 38.58"
"","5A Mark Flegel, Crook County .................... 39.16"
"","4A Justin Lundgren, Gladstone ................... 40.30"
"","3A Andrew Curtis, Westside Christian ........ 39.94"
"","2A Coulter Mastenbroek, Scio .................... 39.00"
"","1A Sean Lewis, Damascus Christian .......... 39.01"
4x100m R,6A JESUIT .................................................. 41.88
"","(Dillon, Blake, Fry, Lowe)"
"",5A WEST ALBANY ..................................... 42.89
"","(Davis, Johnson, Manifesto,"
"",4A ONTARIO .............................................. 43.46
"","(Turner, Keyes, Anzaldua, Anthony)"
"",3A WESTSIDE CHRISTIAN ....................... 43.63
"","(Colby, Meusch, Hansen, Curtis)"
"",2A SCIO ..................................................... 43.96
"","(Reiger, Briggs, Guest, Mastenbroek)"
"",1A CRANE .................................................. 45.51
"","(Davies, Steeves, Thompson, Conaway)"
4x400m R,6A BARLOW ............................................ 3:21.84
"","(Johnson, Krieger, Franks, Delaney)"
"",5A CRATER ............................................ 3:26.14
"","(Ziegler, Massey, Sanders, Beck)"
"",4A SWEET HOME ................................... 3:25.53
"","(Callagan, Hall, Macklin, McDowell)"
"",3A WESTSIDE CHRISTIAN .................... 3:30.00
"","(Harris, Meusch, Kingsley, Smith)"
"",2A SCIO .................................................. 3:28.60
"","(Hunt-Barghini, Novac, Guest, Mastenbroek)"
"",1A NEW HOPE CHRISTIAN .................... 3:29.88
"","(E. Cunningham, N. Cunningham, Garcia, Bowdoin)"
Long Jump,"6A Lamont Moran, North Salem .............. 22-8.75"
"","5A Anthony LaCoste, West Albany .......... 22-10.5"
"","4A Dakotah Keys, Sweet Home ................. 23-8.5"
"","3A Zack Burton, Gervais ............................ 21-7.5"
"","2A Nevin Lewis, Culver .......................... 21-11.75"
"","1A Tavin Hurley, Joseph .......................... 21-1.50"
Triple Jump,"6A Buck Tufty, Sunset .................................. 48-2"
"","5A Matson Hardie, Summit ........................ 47-7.5"
"","4A Jake Hyde, Estacada .............................. 44-2"
"","3A Zack Burton, Gervais .......................... 42-0.75"
"","2A Stephen Dickinson, Bonanza ............... 45-1.5"
"","1A Stephen Larless,"
"",South Wasco County .......................... 43-10.5
Shot Put,6A,"Ryan Crouser, Barlow ......................... 66-1.25"
"",5A,"Michael VanDoren, South Albany ......... 56-2.5"
"",4A,"Paul Gutzman, North Valley .................. 54-3.5"
"",3A,"Ismael Osoria, Reedsport ..................... 48-0.5"
"",2A,"Bryson Barney, Chiloquin .................... 47-11.5"
"",1A,"Casey Johnson, South Wasco County .. 45-5.5"
Discus,6A,"Ryan Crouser, Barlow ............................ 183-2"
"",5A,"Josh Peck, Mazama ............................. 159-11"
"",4A,"Oshay Dunmore, Newort ........................ 151-3"
"",3A,"Ismael Osoria, Reedsport ...................... 147-5"
"",2A,"Wyatt Briggs, Scio .................................. 152-3"
"",1A,"Garrett LoVerde, Hosanna Christian ...... 144-1"
Javelin,6A,"Sam Crouser, Gresham ......................... 231-1"
"",5A,"Cory Miller, Churchill ............................ 190-10"
"",4A,"Ethan Powell, Douglas ........................... 201-1"
"",3A,"Cole Scherer, Bandon .......................... 189-11"
"",2A,"Nathan Rowlett, Portland Christian ........ 187-7"
"",1A,"Kyle Blanton, Powers ............................. 174-1"
High Jump,6A,"Lamont Moran, North Salem ...................... 6-8"
"",5A,"Brady Brent, Mountain View ....................... 6-7"
"",4A,"Walker Kaseberg, Baker ............................ 6-5"
"",3A,"Nick O’Connell, Creswell ............................ 6-4"
"",2A,"Stephen Dickinson, Bonanza ..................... 6-6"
"",1A,"Trenton Dixon, Powder Valley .................... 6-3"
Pole Vault,6A,"Jared Hippler, Oregon City ....................... 16-3"
"",5A,"Kyle Lincicome, Bend .............................. 14-0"
"",4A,"Dakotah Keys, Sweet Home .................... 15-6"
"",3A,"Kevin Beck, Nyssa ................................... 13-6"
"",2A,"Sean Igelman, St. Mary’s ....................... 14-10"
"",1A,"Kamren Demarce, Lowell ......................... 12-3"
"",,
2010,,
100m Dash,6A,"Arthur Delaney, Barlow .......................... 10.42"
"",5A,"Donovan Mcfadden, Madison ................ 10.93"
"",4A,"Matt Anthony, Ontario ............................ 10.72"
"",3A,"Seth Wenger, Sheridan .......................... 11.33"
"",2A,"Coulter Mastenbroek, Scio ..................... 11.18"
"",1A,"Wesley Burgess, Imbler ......................... 11.35"
200m Dash,6A,"Arthur Delaney, Barlow .......................... 21.28"
"",5A,"Jack Galpin, Crater ................................ 21.87"
"",4A,"Matt Anthony, Ontario ............................ 21.90"
"",3A,"Joseph Harris, Coquille .......................... 23.13"
"",2A,"Coulter Mastenbroek, Scio ..................... 22.81"
"",1A,"Greg Puhl, Pacific .................................. 22.99"
400m Dash,6A,"Seth Monson, Westview......................... 48.47"
"",5A,"Jack Galpin, Crater ................................ 21.87"
"",4A,"Linus Norgren, Banks ............................ 49.66"
"",3A,"Jon Pennington, Amity ........................... 50.27"
"",2A,"Coulter Mastenbroek, Scio ..................... 49.22"
"",1A,"Eli Cunningham, New Hope Christian .... 50.48"
800m Run,6A,"Badane Sultessa, Centennial .............. 1:57.04"
"",5A,"Sam Jackson, Ashland ....................... 1:57.16"
"",4A,"Jeff Schreiner-McGraw, Philomath ...... 1:56.37"
"",3A,"Austin Collins, Colton .......................... 1:56.86"
"",2A,"Eric Holmberg, Scio ............................ 2:01.33"
"",1A,"Braden Reed, Arlington ....................... 2:16.38"
1500m Run,6A,"Drew Jordan, North Medford ............... 3:58.72"
"",5A,"Daniel Winn, Cleveland ....................... 4:01.39"
"",4A,"Jed Tolbert, Henley ............................  4:05.31"
"",3A,"Cole Watlson, Rogue River ................. 3:55.76"
"",2A,"Tom Sheehy, Union ............................ 4:13.11"
"",1A,"David Madison,"
"",,North Clackamas Christian ................ 4:13.06
3000m Run,6A,"Drew Jordan, North Medford ............... 8:40.37"
"",5A,"Daniel Winn, Cleveland ....................... 9:03.35"
"",4A,"Jed Tolbert, Henley ............................. 8:44.13"
"",3A,"Cole Watsonk, Rogue River ................ 8:47.55"
"",2A,"Tom Sheehy, Union ............................ 9:06.66"
"",1A,"Alex Dillard, Dufur ............................... 9:02.73"
110m H,6A,"Luke Leddige, Southridge ...................... 14.41"
"",5A,"Howard Lao, Cleveland .......................... 14.32"
"",4A,"Dakotah Keys, Sweet Home .................  14.54"
"",3A,"Tony Dubenko, Horizon Christian .......... 15.68"
"",2A,"Preston Dace, Portland Christian ........... 15.86"
"",1A,"Ryan Pierson, St. Paul ........................... 15.68"
300m H,6A,"Seth Monson, Westview......................... 37.72"
"",5A,"Blake Kemp, Marshfield ......................... 39.43"
"",4A,"Joe Delgado, Ontario ............................  39.47"
"",3A,"Cory Christoffersen, Reedsport .............. 41.45"
"",2A,"Coulter Mastenbroek, Scio ..................... 38.45"
"",1A,"Eli Cunningham, New Hope Christian .... 40.33"
4x100m R,6A,JESUIT .................................................. 41.92
"",,"(Lewis, Echevarria, Talley, Lowe)"
"",5A,CRATER ............................................... 42.77
"",,"(Baker, Galpin, Ziegler, Beck)"
"",4A,BANKS .................................................. 42.73
"",,"(Cutone, Turner, Seyferth, Norgren)"
"",3A,WESTSIDE CHRISTIAN ....................... 44.79
"",,"(Kingsley, Consolo, Harris, Curtis)"
"",2A,SALEM ACADEMY................................ 44.68
"",,"(Thede, Sato, Ahn, Kafoa)"
"",1A,DAMASCUS CHRISTIAN ...................... 45.64
"",,"(Waldie, Roach, Young, Coe)"
4x400m R,6A,TIGARD .............................................. 3:22.39
"",,"(Fekete, McGetrick, Schlachter, Latt)"
"",5A,CRATER ............................................ 3:22.72
"",,"(Ziegler, Elliott, Galpin, Beck)"
"",4A,SEASIDE ............................................ 3:26.53
"",,"(Willyard, Rice, Broderick, Smith)"
"",3A,WESTSIDE CHRISTIAN .................... 3:28.79
"",,"(Povolny, Freeman, Kingsley, Harris)"
"",2A,ST. MARY’S ....................................... 3:27.80
"",,"(Reeder, Kotler, Delgado, Leep)"
"",1A,NEW HOPE CHRISTIAN .................... 3:30.46
"",,"(Johnson, Rossiter, Garcia, Cunningham)"
Long Jump,6A,"Tyrell Jagelski, Sheldon .................... 22-11.25"
"",5A,"Deon McLaughlin, Klamath Union ........ 23-9.5"
"",4A,"Dakotah Keys, Sweet Home .................... 22-7"
"",3A,"Adam Ford, Horizon Christian ................. 21-5"
"",2A,"Derek Barth, Kennedy .......................... 20-7.5"
"",1A,"Tyson Schreiber, Alsea ...................... 20-7.25"
Triple Jump,6A,"Trevor Ferguson, Oregon City .............. 46-6.5"
"",5A,"Deon McLaughlin, Klamath Union ........ 46-2.5"
"",4A,"Brett Breding, Elmira ............................... 44-4"
"",3A,"C.J. Mitchell-Utton, Horizon Christian . 45-4.25"
"",2A,"Preston Dace, Portland Christian ....... 43-9.75"
"",1A,"Stephen Larlee, South Wasco County ..... 46-0"
Shot Put,6A,"Sam Crouser, Gresham ........................ 60-7.5"
"",5A,"James Atoe, The Dalles Wahtonka .... 54-3.75"
"",4A,"Jefferson Jarvis, Hidden Valley ............... 54-7"
"",3A,"Ismael Osorio, Reedsport ........................ 53-5"
"",2A,"Anthony Hammock, Oakridge ............... 47-9.5"
"",1A,"Jason Starr, Spray ................................... 48-5"
Discus,6A,"Sam Crouser, Gresham ......................... 194-3"
"",5A,"Josh Peck, Mazama .............................. 185-7"
"",4A,"Oshay Dunmore, Newport ..................... 166-7"
"",3A,"Carraig Colahan, Burns ......................... 168-6"
"",2A,"Jeff Ellingson, Kennedy ......................... 153-4"
"",1A,"Jason Starr, Spray ................................. 147-4"
Javelin,6A,"Sam Crouser, Gresham ......................... 224-9"
"",5A,"Hayden Plinke, Glencoe ........................ 183-4"
"",4A,"Tyler Callahan, Estacada ...................... 204-9"
"",3A,"Tre Hale-Edmerson, Sheridan ............. 170-10"
"",2A,"Mark Hanson, Portland Christian ........... 178-8"
"",1A,"Jered Witty, Cove .................................. 173-8"
High Jump,6A,"Nathanael Franks, Barlow ......................... 6-7"
"",5A,CJ Easterling ............................................. 6-6
"",4A,"Dakotah Keys, Sweet Home ...................... 6-3"
"",3A,"A.J. Hedgecok, Dayton .............................. 6-0"
"",2A,"Derek Barth, Kennedy ............................... 6-0"
"",1A,"Charlie Jensen, Pacific ............................ 5-10"
Pole Vault,6A,"JJ Juilfs, Sheldon ............................... 17-0.75"
"",5A,"Zach Cramblit, Thurston .......................... 14-6"
"",4A,"Dakotah Keys, Sweet Home .................... 15-0"
"",3A,"Chris Brooks, Rogue River ...................... 13-0"
"",2A,"Tyler Funk, Culver ................................... 13-6"
"",1A,"Kamren Demarce, Lowell ...................... 13-10"
"",,
2011,,
100m Dash,6A,"Thomas Tyner, Aloha ............................ 10.48"
"",5A,"Taylor Walcott, Marist ............................ 10.83"
"",4A,"Adonis Siscoe, Scappoose .................... 11.00"
"",3A,"Seth Wagner, Toledo ............................. 11.20"
"",2A,"Scott La Coste, Central Linn .................. 11.16"
"",1A,"Jake Ovgard, Triad ................................ 11.01"
200m Dash,6A,"Jack Galpin, Crater ................................ 21.25"
"",5A,"Christian Morris, Sherwood ................... 22.33"
"",4A,"Adonis Sicoie, Scappoose ..................... 22.19"
"",3A,"Harrison Leep, St. Mary’s ...................... 22.73"
"",2A,"Scott LaCoste, Central Linn ................... 22.63"
"",1A,"Jake Ovgard, Triad ................................ 22.35"
400m Dash,6A,"Jack Galpin, Crater ................................ 47.75"
"",5A,"Ian McNaughton, Hood River Valley ...... 49.41"
"",4A,"Linus Norgren, Banks ............................ 49.72"
"",3A,"Harrison Leep, St. Mary’s ...................... 50.21"
"",2A,"Marcus Lynn, Enterprise ........................ 51.25"
"",1A,"Richard Andreas, Camas Valley ............ 50.45"
800m Run,6A,"Stetson Smith, North Medford ............ 1:53.09"
"",5A,"Demetrius Rhodes, Benson ................ 1:56.51"
"",4A,"Jeff Schreiner-McGraw, Philomath ..... 1:56.28"
"",3A,"Austin Collins, Colton ......................... 1:59.68"
"",2A,"Austin Koos, East Linn Christian ........ 1:58.91"
"",1A,"Nick Martin, Southwest Christian ........ 2:01.34"
1500m Run,6A,"Andy Bennison, Central Catholic ........ 3:57.92"
"",5A,"Ian Burgess, Franklin ......................... 4:04.28"
"",4A,"Jeff Schreiner-McGraw, Philomath ..... 4:06.59"
