"State","Year","Gender","Schools","Participation","Event","Mark","Mark.Note","Students","df","Count","Participation.Thousands"
"Georgia",1978,"Boys",354,11500,"Pole Vault",3.81,NA,NA,19,384636,11.5
"Illinois",1978,"Boys",691,29640,"100m",10.7759,NA,NA,20,438919,29.64
"Illinois",1978,"Boys",691,29640,"100m",10.65556,NA,NA,20,438919,29.64
"Illinois",1978,"Boys",691,29640,"800m",113.53764,NA,NA,20,438919,29.64
"Illinois",1978,"Boys",691,29640,"800m",109.66026,NA,NA,20,438919,29.64
"Illinois",1978,"Boys",691,29640,"1600m",262.36938,NA,NA,20,438919,29.64
"Illinois",1978,"Boys",691,29640,"1600m",247.95348,NA,NA,20,438919,29.64
"Illinois",1978,"Boys",691,29640,"High Jump",NA,NA,NA,20,438919,29.64
"Illinois",1978,"Boys",691,29640,"High Jump",2.1844,NA,NA,20,438919,29.64
"Illinois",1978,"Boys",691,29640,"Pole Vault",4.2672,NA,NA,20,438919,29.64
"Illinois",1978,"Boys",691,29640,"Pole Vault",4.4958,NA,NA,20,438919,29.64
"Kansas",1978,"Boys",381,19050,"1600m",263.76126,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"100m",10.94,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"800m",120.09936,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"Pole Vault",4.1148,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"High Jump",1.9304,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"1600m",259.78446,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"100m",10.7212,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"800m",114.333,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"Pole Vault",4.0386,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"High Jump",2.032,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"1600m",265.9485,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"800m",120.7953,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"High Jump",1.9812,NA,NA,21,107335,19.05
"Kansas",1978,"Boys",381,19050,"Pole Vault",3.81,NA,NA,21,107335,19.05
"Maryland",1978,"Boys",130,5855,"100m",10.7212,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"100m",10.94,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"100m",10.94,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"100m",11.2682,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"800m",113.8359,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"800m",113.43822,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"800m",115.92372,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"800m",118.11096,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"High Jump",1.9812,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"High Jump",1.9558,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"High Jump",1.9812,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"High Jump",1.9304,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"1600m",249.44478,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"1600m",259.4862,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"1600m",261.77286,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"1600m",275.59224,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"Pole Vault",3.9624,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"Pole Vault",4.1148,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"Pole Vault",3.6576,NA,NA,4,203680,5.855
"Maryland",1978,"Boys",130,5855,"Pole Vault",3.8862,NA,NA,4,203680,5.855
"Massachusetts",1978,"Boys",NA,12221,"1600m",253.67013,NA,NA,5,227328,12.221
"Massachusetts",1978,"Boys",NA,12221,"High Jump",2.0066,NA,NA,5,227328,12.221
"Massachusetts",1978,"Boys",NA,12221,"Pole Vault",4.1148,NA,NA,5,227328,12.221
"Massachusetts",1978,"Boys",NA,12221,"800m",114.104334,NA,NA,5,227328,12.221
"Massachusetts",1978,"Boys",NA,12221,"100m",10.91812,NA,NA,5,227328,12.221
"Michigan",1978,"Boys",676,29744,"Pole Vault",4.2418,NA,NA,6,340878,29.744
"Michigan",1978,"Boys",676,29744,"1600m",252.0297,NA,NA,6,340878,29.744
"Michigan",1978,"Boys",676,29744,"High Jump",2.0955,NA,NA,6,340878,29.744
"Michigan",1978,"Boys",676,29744,"800m",113.04054,NA,NA,6,340878,29.744
"Michigan",1978,"Boys",676,29744,"100m",10.7212,NA,NA,6,340878,29.744
"Michigan",1978,"Boys",676,29744,"Pole Vault",4.2418,NA,NA,6,340878,29.744
"Michigan",1978,"Boys",676,29744,"1600m",259.9833,NA,NA,6,340878,29.744
"Michigan",1978,"Boys",676,29744,"High Jump",2.0193,NA,NA,6,340878,29.744
"Michigan",1978,"Boys",676,29744,"800m",112.44402,NA,NA,6,340878,29.744
"Michigan",1978,"Boys",676,29744,"100m",10.94,NA,NA,6,340878,29.744
"Michigan",1978,"Boys",676,29744,"Pole Vault",4.1148,NA,NA,6,340878,29.744
"Michigan",1978,"Boys",676,29744,"1600m",256.60302,NA,NA,6,340878,29.744
"Michigan",1978,"Boys",676,29744,"High Jump",2.0066,NA,NA,6,340878,29.744
"Michigan",1978,"Boys",676,29744,"800m",116.52024,NA,NA,6,340878,29.744
"Michigan",1978,"Boys",676,29744,"100m",11.1588,NA,NA,6,340878,29.744
"Michigan",1978,"Boys",676,29744,"Pole Vault",4.1402,NA,NA,6,340878,29.744
"Michigan",1978,"Boys",676,29744,"1600m",262.4688,NA,NA,6,340878,29.744
"Michigan",1978,"Boys",676,29744,"High Jump",1.9431,NA,NA,6,340878,29.744
"Michigan",1978,"Boys",676,29744,"800m",117.3156,NA,NA,6,340878,29.744
"Michigan",1978,"Boys",676,29744,"100m",11.0494,NA,NA,6,340878,29.744
"Nebraska",1978,"Boys",367,7937,"100m",10.8306,NA,NA,7,70765,7.937
"Nebraska",1978,"Boys",367,7937,"800m",116.3214,NA,NA,7,70765,7.937
"Nebraska",1978,"Boys",367,7937,"1600m",264.65604,NA,NA,7,70765,7.937
"Nebraska",1978,"Boys",367,7937,"High Jump",1.9812,NA,NA,7,70765,7.937
"Nebraska",1978,"Boys",367,7937,"Pole Vault",4.4196,NA,NA,7,70765,7.937
"Nebraska",1978,"Boys",367,7937,"100m",10.94,NA,NA,7,70765,7.937
"Nebraska",1978,"Boys",367,7937,"800m",117.91212,NA,NA,7,70765,7.937
"Nebraska",1978,"Boys",367,7937,"1600m",267.9369,NA,NA,7,70765,7.937
"Nebraska",1978,"Boys",367,7937,"High Jump",2.0574,NA,NA,7,70765,7.937
"Nebraska",1978,"Boys",367,7937,"Pole Vault",4.572,NA,NA,7,70765,7.937
"Nebraska",1978,"Boys",367,7937,"100m",11.0494,NA,NA,7,70765,7.937
"Nebraska",1978,"Boys",367,7937,"800m",118.01154,NA,NA,7,70765,7.937
"Nebraska",1978,"Boys",367,7937,"1600m",270.12414,NA,NA,7,70765,7.937
"Nebraska",1978,"Boys",367,7937,"High Jump",1.9304,NA,NA,7,70765,7.937
"Nebraska",1978,"Boys",367,7937,"Pole Vault",4.3434,NA,NA,7,70765,7.937
"Nebraska",1978,"Boys",367,7937,"100m",11.0494,NA,NA,7,70765,7.937
"Nebraska",1978,"Boys",367,7937,"800m",120.89472,NA,NA,7,70765,7.937
"Nebraska",1978,"Boys",367,7937,"1600m",274.29978,NA,NA,7,70765,7.937
"Nebraska",1978,"Boys",367,7937,"High Jump",1.8796,NA,NA,7,70765,7.937
"Nebraska",1978,"Boys",367,7937,"Pole Vault",3.9624,NA,NA,7,70765,7.937
"New Mexico",1978,"Boys",120,3720,"1600m",265.719834,NA,NA,NA,NA,3.72
"New Mexico",1978,"Boys",120,3720,"1600m",268.901274,NA,NA,NA,NA,3.72
"New Mexico",1978,"Boys",120,3720,"1600m",266.74386,NA,NA,NA,NA,3.72
"New Mexico",1978,"Boys",120,3720,"1600m",279.27078,NA,NA,NA,NA,3.72
"New Mexico",1978,"Boys",120,3720,"1600m",NA,NA,NA,NA,NA,3.72
"New Mexico",1978,"Boys",120,3720,"High Jump",1.9558,NA,NA,NA,NA,3.72
"New Mexico",1978,"Boys",120,3720,"High Jump",1.905,NA,NA,NA,NA,3.72
"New Mexico",1978,"Boys",120,3720,"High Jump",1.905,NA,NA,NA,NA,3.72
"New Mexico",1978,"Boys",120,3720,"High Jump",1.8542,NA,NA,NA,NA,3.72
"New Mexico",1978,"Boys",120,3720,"Pole Vault",4.191,NA,NA,NA,NA,3.72
"New Mexico",1978,"Boys",120,3720,"Pole Vault",3.9624,NA,NA,NA,NA,3.72
"New Mexico",1978,"Boys",120,3720,"Pole Vault",3.9624,NA,NA,NA,NA,3.72
"New Mexico",1978,"Boys",120,3720,"1600m",NA,NA,NA,NA,NA,3.72
"New York",1978,"Boys",637,19888,"100m",10.5,NA,NA,8,651067,19.888
"New York",1978,"Boys",637,19888,"800m",114.3,NA,NA,8,651067,19.888
