State,Year,Gender,Schools,Participation
Kentucky,1979,Girls,201,4650
Louisiana,1979,Girls,215,2580
Maine,1979,Girls,101,1717
Maryland,1979,Girls,119,3767
Massachusetts,1979,Girls,214,8414
Michigan,1979,Girls,633,26586
Minnesota,1979,Girls,464,15532
Mississippi,1979,Girls,232,3480
Missouri,1979,Girls,405,12305
Montana,1979,Girls,182,7500
Nebraska,1979,Girls,362,6426
Nevada,1979,Girls,53,1200
New Hampshire,1979,Girls,40,1203
New Jersey,1979,Girls,278,13900
New Mexico,1979,Girls,119,3331
New York,1979,Girls,448,13440
North Carolina,1979,Girls,210,5574
North Dakota,1979,Girls,124,2697
Ohio,1979,Girls,721,19449
Oklahoma,1979,Girls,315,3780
Oregon,1979,Girls,230,5750
Pennsylvania,1979,Girls,345,10296
Rhode Island,1979,Girls,24,951
South Carolina,1979,Girls,175,4500
South Dakota,1979,Girls,207,4916
Tennessee,1979,Girls,196,6076
Texas,1979,Girls,1019,69960
Utah,1979,Girls,89,1787
Vermont,1979,Girls,33,585
Virginia,1979,Girls,262,7850
Washington,1979,Girls,301,7871
West Virginia,1979,Girls,108,3789
Wisconsin,1979,Girls,394,11580
Wyoming,1979,Girls,73,1460
Zz_....Re......Aye,1980,Boys,NA,NA
Alabama,1980,Boys,315,3000
Alaska,1980,Boys,40,1100
Arizona,1980,Boys,143,5778
Arkansas,1980,Boys,302,4530
California,1980,Boys,866,47306
Colorado,1980,Boys,246,9840
Connecticut,1980,Boys,168,6695
Delaware,1980,Boys,31,1346
District Of Columbia,1980,Boys,15,450
Florida,1980,Boys,319,10089
Georgia,1980,Boys,329,9093
Hawaii,1980,Boys,87,1925
Idaho,1980,Boys,123,2871
Illinois,1980,Boys,689,30315
Indiana,1980,Boys,447,15300
Iowa,1980,Boys,485,19400
Kansas,1980,Boys,377,18850
Kentucky,1980,Boys,215,4953
Louisiana,1980,Boys,352,7735
Maine,1980,Boys,110,2310
Maryland,1980,Boys,134,4822
Massachusetts,1980,Boys,215,9689
Michigan,1980,Boys,660,29040
Minnesota,1980,Boys,462,12414
Mississippi,1980,Boys,247,5000
Missouri,1980,Boys,409,15711
Montana,1980,Boys,180,7500
Nebraska,1980,Boys,267,8278
Nevada,1980,Boys,53,2160
New Hampshire,1980,Boys,45,2000
New Jersey,1980,Boys,343,16905
New Mexico,1980,Boys,120,4086
New York,1980,Boys,637,19888
North Carolina,1980,Boys,288,10622
North Dakota,1980,Boys,203,3035
Ohio,1980,Boys,762,29803
Oklahoma,1980,Boys,330,7256
Oregon,1980,Boys,231,11550
Pennsylvania,1980,Boys,440,13194
Rhode Island,1980,Boys,42,1420
South Carolina,1980,Boys,210,8500
