"Year","State","Students"
1992,"Alaska",29556
1992,"Arizona",166311
1992,"Arkansas",122209
1992,"California",1354457
1992,"Colorado",156273
1992,"Connecticut",125575
1992,"Delaware",27641
1992,"District Of Columbia",17922
1992,"Florida",504518
1992,"Georgia",309439
1992,"Hawaii",43495
1992,"Idaho",63653
1992,"Illinois",486990
1992,"Indiana",274823
1992,"Iowa",135744
1992,"Kansas",117951
1992,"Kentucky",176459
1992,"Louisiana",194060
1992,"Maine",58898
1992,"Maryland",186084
1992,"Massachusetts",230165
1992,"Michigan",416654
1992,"Minnesota",216836
1992,"Mississippi",127704
1992,"Missouri",229211
1992,"Montana",42677
1992,"Nebraska",78185
1992,"Nevada",54076
1992,"New Hampshire",47313
1992,"New Jersey",291788
1992,"New Mexico",78366
1992,"New York",714244
1992,"North Carolina",302825
1992,"North Dakota",33435
1992,"Ohio",506364
1992,"Oklahoma",155510
1992,"Oregon",138431
1992,"Pennsylvania",476198
1992,"Rhode Island",37661
1992,"South Carolina",171431
1992,"South Dakota",34727
1992,"Tennessee",229080
1992,"Texas",889388
1992,"Utah",125578
1992,"Vermont",23844
1992,"Virginia",275100
1992,"Washington",236546
1992,"West Virginia",95457
1992,"Wisconsin",231732
1992,"Wyoming",28096
1993,"Alabama",196386
1993,"Alaska",30847
1993,"Arizona",175210
1993,"Arkansas",123113
1993,"California",1372011
1993,"Colorado",160299
1993,"Connecticut",126917
1993,"Delaware",28338
1993,"District Of Columbia",18173
1993,"Florida",511557
1993,"Georgia",315539
1993,"Hawaii",43882
1993,"Idaho",66541
1993,"Illinois",495562
1993,"Indiana",278161
1993,"Iowa",138907
1993,"Kansas",120960
1993,"Kentucky",181786
1993,"Louisiana",196891
1993,"Maine",59289
1993,"Maryland",189795
1993,"Massachusetts",230299
1993,"Michigan",419351
1993,"Minnesota",224426
1993,"Mississippi",129554
1993,"Missouri",235437
1993,"Montana",44449
1993,"Nebraska",79975
1993,"Nevada",57605
1993,"New Hampshire",47999
1993,"New Jersey",295337
1993,"New Mexico",80105
1993,"New York",727840
1993,"North Carolina",303507
1993,"North Dakota",34165
1993,"Ohio",511330
1993,"Oklahoma",157824
1993,"Oregon",144002
1993,"Pennsylvania",486354
1993,"Rhode Island",37931
1993,"South Carolina",173159
1993,"South Dakota",36326
1993,"Tennessee",233430
1993,"Texas",907423
1993,"Utah",130082
1993,"Vermont",24099
1993,"Virginia",273971
1993,"Washington",244732
1993,"West Virginia",96241
1993,"Wisconsin",239952
1993,"Wyoming",28515
1994,"Alabama",198651
1994,"Alaska",32347
1994,"Arizona",182737
1994,"Arkansas",125801
1994,"California",1393530
1994,"Colorado",164260
1994,"Connecticut",127655
1994,"Delaware",28930
1994,"District Of Columbia",17854
