"State","Year","Gender","Schools","Participation","Event","Mark","Participation.Thousands","Mark.Standard"
"Tennessee",1979,"Boys",208,7072,"High Jump",2.032,7.072,0.836268087868433
"Tennessee",1979,"Boys",208,7072,"Pole Vault",4.1148,7.072,-0.186615734034308
"Washington",1979,"Boys",300,10106,"100m",10.91812,10.106,0.64002669178131
"Washington",1979,"Boys",300,10106,"1600m",257.19954,10.106,0.87585435005138
"Washington",1979,"Boys",300,10106,"800m",114.333,10.106,0.911830796759619
"Washington",1979,"Boys",300,10106,"High Jump",2.13995,10.106,1.41641467483563
"Washington",1979,"Boys",300,10106,"Pole Vault",4.4196,10.106,0.363038742692813
"Wisconsin",1979,"Boys",392,13159,"100m",11.3229,13.159,0.0792036314465274
"Wisconsin",1979,"Boys",392,13159,"1600m",256.20534,13.159,0.918206002523699
"Wisconsin",1979,"Boys",392,13159,"800m",113.8359,13.159,0.959428805596742
"Wisconsin",1979,"Boys",392,13159,"High Jump",2.0828,13.159,1.10927824644123
"Wisconsin",1979,"Boys",392,13159,"Pole Vault",4.3434,13.159,0.225625123511033
"Wyoming",1979,"Boys",73,1850,"100m",10.94,1.85,0.609711931763215
"Wyoming",1979,"Boys",73,1850,"1600m",268.73226,1.85,0.384575181372493
"Wyoming",1979,"Boys",73,1850,"800m",120.59646,1.85,0.312095885411873
"Wyoming",1979,"Boys",73,1850,"High Jump",1.9812,1.85,0.563257929295635
"Wyoming",1979,"Boys",73,1850,"Pole Vault",4.1148,1.85,-0.186615734034308
"California",1979,"Girls",804,21055,"100m",11.8152,21.055,-0.60287846896064
"California",1979,"Girls",804,21055,"1600m",289.391736,21.055,-0.495492157002272
"California",1979,"Girls",804,21055,"800m",129.54426,21.055,-0.544668273656338
"California",1979,"Girls",804,21055,"High Jump",1.7526,21.055,-0.665287784281958
"Florida",1979,"Girls",295,6017,"100m",12.1434,6.017,-1.05759986923208
"Florida",1979,"Girls",295,6017,"1600m",296.47044,6.017,-0.797035922605176
"Florida",1979,"Girls",295,6017,"800m",133.91874,6.017,-0.963530751423018
"Florida",1979,"Girls",295,6017,"High Jump",1.6891,6.017,-1.00655048249795
"Georgia",1979,"Girls",325,9500,"100m",11.8152,9.5,-0.60287846896064
"Georgia",1979,"Girls",325,9500,"1600m",309.79272,9.5,-1.36454806573423
"Georgia",1979,"Girls",325,9500,"800m",136.90134,9.5,-1.24911880444575
"Georgia",1979,"Girls",325,9500,"High Jump",1.6764,9.5,-1.07480302214116
"Illinois",1979,"Girls",653,21549,"100m",11.9246,21.549,-0.754452269051121
"Illinois",1979,"Girls",653,21549,"1600m",298.55826,21.549,-0.885974392797044
"Illinois",1979,"Girls",653,21549,"800m",132.42744,21.549,-0.820736724911648
"Illinois",1979,"Girls",653,21549,"High Jump",1.7272,21.549,-0.801792863568356
"Kansas",1979,"Girls",380,19000,"100m",11.18,19,0.277191712186289
"Kansas",1979,"Girls",380,19000,"1600m",305.7,19,-1.19020341163395
"Kansas",1979,"Girls",380,19000,"800m",141.7,19,-1.70859710073694
"Kansas",1979,"Girls",380,19000,"High Jump",1.651,19,-1.21130810142755
"Maryland",1979,"Girls",119,3767,"100m",11.8152,3.767,-0.60287846896064
"Maryland",1979,"Girls",119,3767,"1600m",305,3.767,-1.16038430407951
"Maryland",1979,"Girls",119,3767,"800m",135.41004,3.767,-1.10632477793439
"Maryland",1979,"Girls",119,3767,"High Jump",1.6764,3.767,-1.07480302214116
"Massachusetts",1979,"Girls",214,8414,"100m",12.60288,8.414,-1.69420982961211
"Massachusetts",1979,"Girls",214,8414,"1600m",298.438956,8.414,-0.880892194500366
"Massachusetts",1979,"Girls",214,8414,"800m",133.501176,8.414,-0.923548423999833
"Massachusetts",1979,"Girls",214,8414,"High Jump",1.7018,8.414,-0.938297942854756
"Michigan",1979,"Girls",633,26586,"100m",12.1434,26.586,-1.05759986923208
"Michigan",1979,"Girls",633,26586,"1600m",295.67508,26.586,-0.763154600627321
"Michigan",1979,"Girls",633,26586,"800m",130.7373,26.586,-0.658903494865432
"Michigan",1979,"Girls",633,26586,"High Jump",1.7272,26.586,-0.801792863568356
"Nebraska",1979,"Girls",362,6426,"100m",12.3622,6.426,-1.36074746941305
"Nebraska",1979,"Girls",362,6426,"1600m",316.35444,6.426,-1.64406897205153
"Nebraska",1979,"Girls",362,6426,"800m",137.00076,6.426,-1.25863840621318
"Nebraska",1979,"Girls",362,6426,"High Jump",1.7526,6.426,-0.665287784281958
"New Mexico",1979,"Girls",119,3331,"1600m",313.779462,3.331,-1.53437819214823
"New Mexico",1979,"Girls",119,3331,"High Jump",1.7272,3.331,-0.801792863568356
"New York",1979,"Girls",448,13440,"100m",13.0186,13.44,-2.27019026995594
"New York",1979,"Girls",448,13440,"1600m",291.99654,13.44,-0.606453486479745
"New York",1979,"Girls",448,13440,"800m",129.7431,13.44,-0.563707477191186
"New York",1979,"Girls",448,13440,"High Jump",1.7018,13.44,-0.938297942854756
"North Carolina",1979,"Girls",210,5574,"100m",12.034,5.574,-0.906026069141603
"North Carolina",1979,"Girls",210,5574,"1600m",296.2716,5.574,-0.788565592110712
"North Carolina",1979,"Girls",210,5574,"800m",132.42744,5.574,-0.820736724911648
"North Carolina",1979,"Girls",210,5574,"High Jump",1.7272,5.574,-0.801792863568356
"Oklahoma",1979,"Girls",315,3780,"100m",12.13246,3.78,-1.04244248922304
"Oklahoma",1979,"Girls",315,3780,"1600m",310.58808,3.78,-1.39842938771209
"Oklahoma",1979,"Girls",315,3780,"800m",134.555028,3.78,-1.02445620273453
"Oklahoma",1979,"Girls",315,3780,"High Jump",1.7272,3.78,-0.801792863568356
"Oregon",1979,"Girls",230,5750,"100m",12.21,5.75,-1.14987423016468
"Oregon",1979,"Girls",230,5750,"1600m",288.191817,5.75,-0.444377137405682
"Oregon",1979,"Girls",230,5750,"800m",130.18,5.75,-0.605541253213997
"Oregon",1979,"Girls",230,5750,"High Jump",1.7272,5.75,-0.801792863568356
"Rhode Island",1979,"Girls",24,951,"100m",12.7,0.951,-1.82876967846757
"Rhode Island",1979,"Girls",24,951,"1600m",306.32661,0.951,-1.21689619875493
"Rhode Island",1979,"Girls",24,951,"800m",144.6,0.951,-1.98627609013073
"Rhode Island",1979,"Girls",24,951,"High Jump",1.5494,0.951,-1.75732841857315
"Tennessee",1979,"Girls",196,6076,"100m",11.9246,6.076,-0.754452269051121
"Tennessee",1979,"Girls",196,6076,"1600m",290.50524,6.076,-0.54292600777127
"Tennessee",1979,"Girls",196,6076,"800m",133.7199,6.076,-0.944491547888167
"Tennessee",1979,"Girls",196,6076,"High Jump",1.6764,6.076,-1.07480302214116
"Washington",1979,"Girls",301,7871,"100m",11.79332,7.871,-0.572563708942542
"Washington",1979,"Girls",301,7871,"1600m",296.7687,7.871,-0.809741418346873
"Washington",1979,"Girls",301,7871,"800m",137.29902,7.871,-1.28719721151545
"Washington",1979,"Girls",301,7871,"High Jump",1.79705,7.871,-0.426403895530759
"Wisconsin",1979,"Girls",394,11580,"100m",12.73416,11.58,-1.87609838972068
"Wisconsin",1979,"Girls",394,11580,"1600m",296.390904,11.58,-0.79364779040739
"Wisconsin",1979,"Girls",394,11580,"800m",130.876488,11.58,-0.672230937339825
"Wisconsin",1979,"Girls",394,11580,"High Jump",1.6764,11.58,-1.07480302214116
"Wyoming",1979,"Girls",73,1460,"100m",12.034,1.46,-0.906026069141603
"Wyoming",1979,"Girls",73,1460,"1600m",329.77614,1.46,-2.21581628042783
"Wyoming",1979,"Girls",73,1460,"800m",147.34044,1.46,-2.24867699002533
"Wyoming",1979,"Girls",73,1460,"High Jump",1.651,1.46,-1.21130810142755
"California",1980,"Boys",866,47306,"100m",10.55,47.306,1.15005728857572
"California",1980,"Boys",866,47306,"1600m",246.18,47.306,1.34527270499486
"California",1980,"Boys",866,47306,"800m",110.11,47.306,1.31618885614238
"California",1980,"Boys",866,47306,"High Jump",2.0828,47.306,1.10927824644123
"California",1980,"Boys",866,47306,"Pole Vault",4.826,47.306,1.09591137832897
"Florida",1980,"Boys",319,10089,"100m",10.67744,10.089,0.973489051980369
"Florida",1980,"Boys",319,10089,"1600m",247.535916,10.089,1.28751241208231
"Florida",1980,"Boys",319,10089,"800m",112.04634,10.089,1.13078163741038
"Florida",1980,"Boys",319,10089,"High Jump",2.032,10.089,0.836268087868433
"Florida",1980,"Boys",319,10089,"Pole Vault",4.7625,10.089,0.981400029010823
"Georgia",1980,"Boys",329,9093,"100m",10.95094,9.093,0.594554551754167
"Georgia",1980,"Boys",329,9093,"1600m",255.21114,9.093,0.960557654996016
"Georgia",1980,"Boys",329,9093,"800m",112.3446,9.093,1.10222283210811
"Georgia",1980,"Boys",329,9093,"High Jump",2.0574,9.093,0.972773167154831
"Georgia",1980,"Boys",329,9093,"Pole Vault",4.1148,9.093,-0.186615734034308
"Illinois",1980,"Boys",689,30315,"100m",10.55,30.315,1.15005728857572
"Illinois",1980,"Boys",689,30315,"1600m",253.5,30.315,1.03345003742559
"Illinois",1980,"Boys",689,30315,"800m",111.2,30.315,1.21181985668057
"Illinois",1980,"Boys",689,30315,"High Jump",2.03835,30.315,0.870394357690032
"Illinois",1980,"Boys",689,30315,"Pole Vault",4.88315,30.315,1.19897159271531
"Kansas",1980,"Boys",377,18850,"100m",10.7,18.85,0.94223215134014
"Kansas",1980,"Boys",377,18850,"1600m",253.8,18.85,1.02067041990226
"Kansas",1980,"Boys",377,18850,"800m",114.3,18.85,0.914990592156169
"Kansas",1980,"Boys",377,18850,"High Jump",2.0574,18.85,0.972773167154831
"Kansas",1980,"Boys",377,18850,"Pole Vault",3.81,18.85,-0.736270210761427
"Maryland",1980,"Boys",134,4822,"100m",10.4,4.822,1.35788242581129
"Maryland",1980,"Boys",134,4822,"1600m",258.1,4.822,0.837495902067851
"Maryland",1980,"Boys",134,4822,"800m",111.7,4.822,1.16394416885405
"Maryland",1980,"Boys",134,4822,"High Jump",2.032,4.822,0.836268087868433
"Maryland",1980,"Boys",134,4822,"Pole Vault",4.1148,4.822,-0.186615734034308
"Massachusetts",1980,"Boys",215,9689,"100m",11.1041,9.689,0.382351231627491
"Massachusetts",1980,"Boys",215,9689,"1600m",255.718182,9.689,0.938958312235133
"Massachusetts",1980,"Boys",215,9689,"800m",115.545924,9.689,0.79569165519704
"Massachusetts",1980,"Boys",215,9689,"High Jump",2.0828,9.689,1.10927824644123
"Massachusetts",1980,"Boys",215,9689,"Pole Vault",4.1148,9.689,-0.186615734034308
"Michigan",1980,"Boys",660,29040,"100m",10.5,29.04,1.21933233432091
"Michigan",1980,"Boys",660,29040,"1600m",255.21114,29.04,0.960557654996016
"Michigan",1980,"Boys",660,29040,"800m",111.64866,29.04,1.16886004448008
"Michigan",1980,"Boys",660,29040,"High Jump",2.0066,29.04,0.699763008582034
"Michigan",1980,"Boys",660,29040,"Pole Vault",4.3307,29.04,0.202722853647403
"Nebraska",1980,"Boys",267,8278,"100m",11.2,8.278,0.249481693888213
"Nebraska",1980,"Boys",267,8278,"1600m",262,8.278,0.671360874264553
"Nebraska",1980,"Boys",267,8278,"800m",115.8,8.278,0.77136352867662
"Nebraska",1980,"Boys",267,8278,"High Jump",2.0066,8.278,0.699763008582034
"Nebraska",1980,"Boys",267,8278,"Pole Vault",4.5974,8.278,0.683670520783633
"New Mexico",1980,"Boys",120,4086,"100m",10.84,4.086,0.7482620232536
"New Mexico",1980,"Boys",120,4086,"1600m",265.118004,4.086,0.53853787907717
"New Mexico",1980,"Boys",120,4086,"800m",114.94,4.086,0.853709711738228
"New Mexico",1980,"Boys",120,4086,"High Jump",2.0828,4.086,1.10927824644123
"New Mexico",1980,"Boys",120,4086,"Pole Vault",4.3434,4.086,0.225625123511033
"New York",1980,"Boys",637,19888,"100m",10.83,19.888,0.762117032402638
"New York",1980,"Boys",637,19888,"1600m",249.74,19.888,1.193621243718
"New York",1980,"Boys",637,19888,"800m",112.7,19.888,1.06819279320102
"New York",1980,"Boys",637,19888,"High Jump",2.1082,19.888,1.24578332572763
"New York",1980,"Boys",637,19888,"Pole Vault",4.9022,19.888,1.23332499751075
"North Carolina",1980,"Boys",288,10622,"100m",10.53,10.622,1.1777673068738
"North Carolina",1980,"Boys",288,10622,"1600m",248.01,10.622,1.26731703810254
"North Carolina",1980,"Boys",288,10622,"800m",111.39,10.622,1.1936270953065
"North Carolina",1980,"Boys",288,10622,"High Jump",2.032,10.622,0.836268087868433
"North Carolina",1980,"Boys",288,10622,"Pole Vault",4.2672,10.622,0.0882115043292525
"Oklahoma",1980,"Boys",330,7256,"100m",10.37112,7.256,1.39789569223372
"Oklahoma",1980,"Boys",330,7256,"1600m",264.496968,7.256,0.564993220904568
"Oklahoma",1980,"Boys",330,7256,"800m",117.11676,7.256,0.645281947271732
"Oklahoma",1980,"Boys",330,7256,"High Jump",2.0574,7.256,0.972773167154831
"Oklahoma",1980,"Boys",330,7256,"Pole Vault",5.207,7.256,1.78297947423787
"Oregon",1980,"Boys",231,11550,"100m",10.64,11.55,1.02536220623437
"Oregon",1980,"Boys",231,11550,"1600m",251.771913,11.55,1.10706434044906
"Oregon",1980,"Boys",231,11550,"800m",112.4,11.55,1.09691820589693
"Oregon",1980,"Boys",231,11550,"High Jump",2.08915,11.55,1.14340451626283
"Oregon",1980,"Boys",231,11550,"Pole Vault",4.6228,11.55,0.729475060510892
