,2013-14,2A,Demoria Harris,Chicago (Dunbar),10.83
,2013-14,3A,Cole Henderson,Pekin,10.53
,2014-15,1A,Marcus Sitko,Staunton,10.65
,2014-15,2A,Josh Eiker,Galesburg (H.S.),10.57
,2014-15,3A,Kahmari Montgomery,Plainfield (Central),10.5
,2015-16,1A,Connor Icenogle,Williamsville,10.74
,2015-16,2A,Adam Nelson,Troy (Triad),10.72
,2015-16,3A,Josh Eiker,Galesburg (H.S.),10.48
,2016-17,1A,Easton Bianchi,Sterling (Newman Central Catholic),10.86
,2016-17,2A,Rodrick McMiller,Chicago (Perspectives/Leadership),10.85
,2016-17,3A,Declan Rustay,Hoffman Estates (H.S.),10.54
,2017-18,1A,Easton Bianchi,Sterling (Newman Central Catholic),10.6
,2017-18,2A,Ronald Reed,Decatur (MacArthur),10.72
,2017-18,3A,Marcellus Moore,Plainfield (North),10.31
,2018-19,1A,Cody Klein,Pana (H.S.),10.85
,2018-19,2A,Finnigan Schirmer,Marengo,10.62
,2018-19,3A,Marcellus Moore,Plainfield (North),10.39
,2020-21,1A,Tony Phillips,Kankakee (McNamara),10.87
,2020-21,2A,Kyle Burgoni,Tolono (Unity),10.72
,2020-21,3A,Brandon Battle,Edwardsville (H.S.),10.61
,2021-22,1A,Tony Phillips,Kankakee (McNamara),10.7
,2021-22,2A,Chris Nelson,Herrin (H.S.),10.7
,2021-22,3A,Reece Young,Wheaton (W. Warrenville South),10.58
,2022-23,1A,Peyton Locke,Taylor Ridge (Rockridge),10.86
,2022-23,2A,Braydon Waller,Chicago Heights (Marian),10.75
,2022-23,3A,Daniel Lacy,Champaign (Centennial),10.69
880-yard run,1972-73,,Charles White,Harvey (Thornton),01:51.0
,1973-74,,Dennis Kern,Chicago (Lane),01:52.0
,1974-75,A,Ron Ackerman,Maple Park (Kaneland),01:53.2
,1974-75,AA,Steve Schellenberger,Arlington Heights (Forest View),01:51.9
,1975-76,A,Scott Bartelt,Polo,01:55.0
,1975-76,AA,Steve Schellenberger,Arlington Heights (Forest View),01:49.9
,1976-77,A,Harvey Thomas,Lebanon,01:55.0
,1976-77,AA,David Ayoub,Peoria (H.S.),01:48.9
,1977-78,A,Mike Jackson,Blue Mound,01:54.2
,1977-78,AA,Jim Spivey,Bensenville (Fenton),01:50.3
,1978-79,A,Mike Jackson,Blue Mound,01:53.6
,1978-79,AA,Tony Guercio,Naperville (North),01:54.3
800-meter run,1979-80,A,Gary Hudson,Oakland,01:57.7
,1979-80,AA,Tony Guercio,Naperville (North),01:51.2
,1980-81,A,Mike Clark,Tonica,01:54.7
,1980-81,AA,Darren Kern,Chicago (King),01:51.5
,1981-82,A,Curt Stiner,Moweaqua,01:54.3
,1981-82,AA,Mike Elliott,Belvidere (H.S.),01:52.5
,1982-83,A,Dan Davis,Mt. Morris,01:56.0
,1982-83,AA,Mark Bittle,Harrisburg,01:53.6
,1983-84,A,Jim Maton,Shelbyville,01:54.1
,1983-84,AA,Leodis Fields,East St. Louis (Lincoln),01:52.9
,1984-85,A,Jerry Funk,Forreston,01:54.3
,1984-85,AA,James White,Elmhurst (York),01:53.1
,1985-86,A,Rob Carter,Clinton,01:53.6
,1985-86,AA,Rich Kolasa,Oak Forest,01:51.8
,1986-87,A,Rob Carter,Clinton,01:53.2
,1986-87,AA,Aaron Rogers,Chicago (C. Vocational),01:51.6
,1987-88,A,Rob Carter,Clinton,01:53.0
,1987-88,AA,Aaron Rogers,Chicago (C. Vocational),01:50.3
,1988-89,A,Kyle Johnson,Gillespie,01:55.5
,1988-89,AA,Donte Moore,Mt. Vernon (H.S.),01:54.0
,1989-90,A,Jeremy Skinner,Shelbyville,01:55.1
,1989-90,AA,Marlon Jones,Bartonville (Limestone),01:51.1
,1990-91,A,Joel Denault,Herscher,01:55.3
,1990-91,AA,Joel Brooks,Chicago Heights (Bloom Twp.),01:52.2
,1991-92,A,Jacob Parker,Mounds (Meridian),01:57.5
,1991-92,AA,Chris Ellis,Chicago (C. Vocational),01:55.4
,1992-93,A,Brian Allen,St. Joseph (S.J.-Ogden),01:55.5
,1992-93,AA,Keith West,Niles (Notre Dame),01:54.4
,1993-94,A,Chris Jones,Lisle (Sr.),01:56.8
,1993-94,AA,Craig Gundlach,Elmhurst (York),01:53.8
,1994-95,A,Jim Donovan,Normal (University),01:55.8
,1994-95,AA,Klint Wescom,Machesney Park (Harlem),01:53.5
,1995-96,A,Jamie Nelson,Monmouth (H.S.),01:57.8
,1995-96,AA,Kyle Leonard,New Lenox (Lincoln-Way),01:52.6
,1996-97,A,Ron Kingma,Lansing (Illiana Christian),01:57.7
,1996-97,AA,Jason Van Swol,New Lenox (Lincoln-Way),01:52.6
,1997-98,A,David Thomas,Chicago (Leo),01:56.8
,1997-98,AA,Jason Van Swol,New Lenox (Lincoln-Way),01:49.7
,1998-99,A,Patton Segraves,Harrisburg,01:56.2
,1998-99,AA,Nick Setta,Lockport (Twp.),01:52.2
,1999-00,A,Jack Blake,Wheaton (St. Francis),01:56.1
,1999-00,AA,Tim Hobbs,Elmhurst (York),01:52.2
,2000-01,A,Aaron King,Knoxville,01:54.3
,2000-01,AA,Tim Hobbs,Elmhurst (York),01:51.8
