,2013-14,3A,Meghan Marias,Frankfort (Lincoln-Way East),11.87
,2014-15,1A,Mariah Woods,South Holland (Seton Academy),12.36
,2014-15,2A,Mariya Hudson,Cahokia (H.S.),12.02
,2014-15,3A,Brittny Ellis,Gurnee (Warren),11.85
,2015-16,1A,Courtney Sockwell,Rockford (Lutheran),11.95
,2015-16,2A,Gabrielle DesRosiers,Chicago (North Lawndale Charter),12.09
,2015-16,3A,Amira Young,Chicago (Whitney Young),11.79
,2016-17,1A,Courtney Sockwell,Rockford (Lutheran),11.95
,2016-17,2A,Katina Martin,Decatur (Eisenhower),11.52
,2016-17,3A,Amira Young,Chicago (Whitney Young),11.78
,2017-18,1A,Seven Hicks,Peoria Heights,12.21
,2017-18,2A,Tina Martin,Decatur (Eisenhower),11.8
,2017-18,3A,Amira Young,Chicago (Whitney Young),11.71
,2018-19,1A,Alyssa Busker,Aurora (A. Christian),12.04
,2018-19,2A,Serena Bolden,Springfield (Southeast),11.74
,2018-19,3A,Taylor Gilling,Highland Park,11.32
,2020-21,1A,Alyssa Williams,Tuscola,12.1
,2020-21,2A,Lauren Doerr,Morton,11.88
,2020-21,3A,Mariam Azeez,Frankfort (Lincoln-Way East),12.09
,2021-22,1A,Alyssa Williams,Tuscola,12.31
,2021-22,2A,Emmi Scales,Arlington Heights (St. Viator),12.32
,2021-22,3A,Rachel Robinson,Chicago (Whitney Young),12.03
,2022-23,1A,Kaylin Moreland,Macon (Meridian),12.22
,2022-23,2A,Kayda Austin,Cahokia (H.S.),11.85
,2022-23,3A,Jaliyah Shepherd,Chicago (Kenwood),11.7
880-yard run,1972-73,,Melody Miller,Park Ridge (Maine East),02:23.1
,1973-74,,Melody Miller,Park Ridge (Maine East),02:14.9
,1974-75,,Robin Smith,New Lenox (Lincoln-Way),02:15.4
,1975-76,,Melody Miller,Park Ridge (Maine East),02:15.1
,1976-77,,Tami Essington,Washington,02:11.3
,1977-78,A,Marianne Dickerson,St. Joseph (S.J.-Ogden),02:17.1
,1977-78,AA,Tami Essington,Washington,02:10.9
,1978-79,A,Margaret Smith,Effingham (St. Anthony),02:20.1
,1978-79,AA,Jymette Bonnivier,Des Plaines (Maine West),02:13.2
800-meter run,1979-80,A,Linda Tully,Elmhurst (Immaculate Conception),02:18.3
,1979-80,AA,Sheryl Clark,Machesney Park (Harlem),02:13.1
,1980-81,A,Linda Tully,Elmhurst (Immaculate Conception),02:19.1
,1980-81,AA,Kathy Vicari,Chicago Heights (Bloom Trail),02:10.9
,1981-82,A,Trisha Mangan,Sterling (Newman Central Catholic),02:14.2
,1981-82,AA,Jeannine DeNike,Oak Forest,02:12.3
,1982-83,A,Suzy Tuffey,Peoria (Bergan),02:14.6
,1982-83,AA,Shelly McBride,Crete (C.-Monee),02:11.1
,1983-84,A,Lane Suarez,Tiskilwa,02:14.9
,1983-84,AA,Shelly McBride,Crete (C.-Monee),02:07.3
,1984-85,A,Jane Schumacher,Teutopolis,02:16.4
,1984-85,AA,Shelly McBride,Crete (C.-Monee),02:07.6
,1985-86,A,Kerry Rink,Maple Park (Kaneland),02:17.9
,1985-86,AA,Celisa Shy,East St. Louis (Lincoln),02:13.2
,1986-87,A,Kerry Rink,Maple Park (Kaneland),02:14.4
,1986-87,AA,Loretta Withrow,Springfield (Southeast),02:14.3
,1987-88,A,Kerry Rink,Maple Park (Kaneland),02:12.2
,1987-88,AA,Shellie O'Neal,Downers Grove (North),02:12.5
,1988-89,A,Christine Salsberry,Genoa (G.-Kingston),02:16.1
,1988-89,AA,Kim Sherman,Wheaton (North),02:14.7
,1989-90,A,Laura Erffmeyer,Palos Heights (Chicago Christian),02:19.8
,1989-90,AA,Tina Stec,Downers Grove (South),02:18.6
,1990-91,A,Kristen Beck,Stillman Valley,02:14.5
,1990-91,AA,Shalanda Rutherford,Peoria (H.S.),02:15.3
,1991-92,A,Krissy Varness,Dunlap,02:17.6
,1991-92,AA,Danielle Fonzino,Elmhurst (York),02:14.8
,1992-93,A,Jacqui Bliss,Colfax (Ridgeview),02:16.7
,1992-93,AA,Lara Esko,Carol Stream (Glenbard North),02:17.3
,1993-94,A,Jacqui Bliss,Colfax (Ridgeview),02:18.0
,1993-94,AA,Danielle Fonzino,Elmhurst (York),02:13.8
,1994-95,A,Toni Logemann,Stockton,02:15.3
,1994-95,AA,Ruth Kipping,Quincy (Sr.),02:13.8
,1995-96,A,Alana Crisman,Beardstown,02:17.3
,1995-96,AA,Kapreia Kirk,Danville (H.S.),02:12.2
,1996-97,A,Beth Heimann,Breese (Central),02:17.8
,1996-97,AA,Christin Wurth,Bloomington (H.S.),02:12.9
,1997-98,A,Beth Heimann,Breese (Central),02:13.8
,1997-98,AA,Christin Wurth,Bloomington (H.S.),02:12.2
,1998-99,A,Beth Heimann,Breese (Central),02:15.8
,1998-99,AA,Christin Wurth,Bloomington (H.S.),02:12.9
