"Year","Gender","Class","Name","Mark","Event","State"
1991,"Girls","D","Tami Kruntorad       Pope John        ","5:28.98","1600m","Nebraska"
1991,"Girls","D","Gretchen Kotschwar   Eustis/Farnam       ","5-04","High Jump","Nebraska"
1991,"Girls","D","Jill Holliger        Odell               ","4-11","High Jump","Nebraska"
1991,"Girls","D","Tina Cobler          Hartington          ","4-09","High Jump","Nebraska"
1991,"Boys","A","Allen Haynes       Omaha North         ","10,81","100m","Nebraska"
1991,"Boys","A","Tim Fortune         Creighton Prep      ","1:54.47","800m","Nebraska"
1991,"Boys","A","Jeff Novotny       Bellevue East      ","4:21.44","1600m","Nebraska"
1991,"Boys","A","Aaron Bressman    Millard South        ","6-08","High Jump","Nebraska"
1991,"Boys","A","Khanh Nguyen      Omaha Burke          ","6-05","High Jump","Nebraska"
1991,"Boys","A","Merritt Nelson    Fremont              ","6-05","High Jump","Nebraska"
1991,"Boys","A","Ben Culhane         Omaha Burke         ","15-06","Pole Vault","Nebraska"
1991,"Boys","A","Tom Sullivan      Norfolk             ","13-06","Pole Vault","Nebraska"
1991,"Boys","A","Jeremy Ripley     Ralston             ","13-06","Pole Vault","Nebraska"
1991,"Boys","A","Matt Burton       Hastings            ","13-06","Pole Vault","Nebraska"
1991,"Boys","B","George Beckwith     Omaha Flanagan    ","11.03","100m","Nebraska"
1991,"Boys","B","Joel Weyand          Wahoo             ","1:57.82","800m","Nebraska"
1991,"Boys","B","Shane Adams         Nebraska City    ","4:27.68","1600m","Nebraska"
1991,"Boys","B","Mark Kersey        Gordon             ","6-06","High Jump","Nebraska"
1991,"Boys","B","Nate LeGrand       Nebraska City      ","6-02","High Jump","Nebraska"
1991,"Boys","B","Andy Niekum      Sidney         ","13-06","Pole Vault","Nebraska"
1991,"Boys","B","TJ Pierce        Fairbury       ","13-06","Pole Vault","Nebraska"
1991,"Boys","B","Paul Monzon      McCook         ","13-06","Pole Vault","Nebraska"
1991,"Boys","B","Kris Flammang    McCook         ","13-00","Pole Vault","Nebraska"
1991,"Boys","C","Darren Schmadeke   Albion                ","11.00","100m","Nebraska"
1991,"Boys","C","Brady Bonsall         Burwell                 ","1:57.60","800m","Nebraska"
1991,"Boys","C","Brady Bonsall      Burwell              ","4;28.39","1600m","Nebraska"
1991,"Boys","C","Nate Gengenbach     Bertrand                  ","6-05","High Jump","Nebraska"
1991,"Boys","C","Sid Kneifl          Newcastle                 ","6-04","High Jump","Nebraska"
1991,"Boys","C","Ryan Kinnaman       Sutherland                ","6-04","High Jump","Nebraska"
