,,10.31
,3A,"Jeremy Hall, Wolfson (Jacksonville), 10.44"
,2A,"C.J. Spiller, Union County (Lake Butler),"
,,10.95
,1A,"Bernard Scott, Admiral Farragut (St."
,,"Petersburg), 10.86"
2007,4A,"Harold Howell, Mandarin (Jacksonville),"
,,10.72
,3A,"Leonardo Seymore, Dwyer (Palm Beach"
,,"Gardens), 10.82"
,2A,"Jeffery Demps, South Lake (Groveland),"
,,10.37
,1A,"Onterio McCalebb, Fort Meade, 10.93"
2008,4A,"Dentarius Locke, Chamberlain (Tampa),"
,,10.72
,3A,"Jeffery Demps, South Lake (Groveland),"
,,10.4
,2A,"Jasmin Parker, Raines (Jacksonville), 10.74"
,1A,"Jonathan Woodbine, Florida Christian"
,,"(Miami), 11.13"
2009,4A,"Dentarius Locke, Chamberlain (Tampa),"
,,10.32
,3A,"John Little, Eastside (Gainesville), 10.53"
,2A,"Derrick Hopkins, Monsignor Pace (Miami),"
,,10.64
,1A,"Serge Trezy, Agape Christian (Orlando),"
,,11.41
2010,4A,"Marvin Bracy, Boone (Orlando), 10.19"
,3A,"Michael Bellamy, Charlotte (Punta Gorda),"
,,10.51
,2A,"Jerimy Strainge, North Broward Prep"
,,"(Coconut Creek), 10.66"
,1A,"Lee Williams, Maclay (Tallahassee), 10.99"
2011,4A,"Marvin Bracy, Boone (Orlando), 10.39"
,3A,"Tyler Osorio, Celebration, 10.54"
,2A,"Levonte Whitfield, Jones (Orlando), 10.69"
,1A,"Lee Williams, Maclay (Tallahassee), 10.90"
2012,4A,"Marvin Bracy, Boone (Orlando), 10.52"
,3A,"Kendal Williams, Stanton (Jacksonville),"
,,10.49
,2A,"Levonte Whitfield, Jones (Orlando), 10.49"
,1A,"Lee Williams, Maclay (Tallahassee), 10.80"
2013,4A,"Amir Rasul, Columbus (Miami), 10.81"
,3A,"Trayvon Bromell, Gibbs (St. Petersburg),"
,,10.45
,2A,"Wilkerson Myrtil, Jones (Orlando), 10.63"
,1A,"Kwadarius Smith, First Academy (Orlando),"
,,10.55
2014,4A,"Terry Jernigan, East Ridge (Clermont), 10.51"
,3A,"Kendal Williams, Stanton (Jacksonville),"
,,10.33
,2A,"Nigel Bethel II, Washington (Miami), 10.73"
,1A,"Michael Timpson Jr., First Academy"
,,"(Orlando), 11.01"
2015,4A,"Isaiah Taylor, West Broward, 10.48"
,3A,"Devin Quinn, Charlotte, 10.58"
,2A,"Chauncey Gardner, Cocoa, 10.38"
,1A,"Kiande Phillips, Foundation A, 10.77"
2016,4A,"Bryand Rincher, Piper, 10.67"
,3A,"Marcus Reaves, Pine Forest, 10.92"
,2A,"Anthony Schwartz, American Heritage,"
,,10.68
,1A,"Alex Gray, Admiral Farragut (St."
,,"Petersburg), 11.12"
2017,4A,"Lavonte Valentine, East Ridge, 10.61"
,3A,"Chauncy Smart, Auburndale, 10.56"
,2A,"Tyson Campbell, American Heritage"
,,"(Plantation), 10.76"
,1A,"Owen Clanahan, Bishop McLaughlin, 11.03"
2018,4A,"Terrence Horne Jr., Miramar, 10.48"
,3A,"Jaquez Stuart, Miami Northwestern, 10.53"
,2A,"Anthony Schwartz, American Heritage"
,,"(Plantation), 10.07"
,1A,"Evan Miller, Zephyrhills, 10.75"
2019,4A,"Taylor Banks, Miramar, 10.69"
,3A,"Marcus Fleming, Miami Northwestern,"
,,10.62
,2A,"Milledge Seneca, Dunbar (Fort Myers),"
,,10.55
,1A,"Kesean Brown, Oak Hall (Gainesville), 10.74"
,A,"Frank Ogles, Niceville, 1:55.8"
,B,"David Price, Florida High (Tallahassee),"
,,02:01.0
,C,"Billy Brinson, Liberty County (Bristol), 2:02.0"
1972,4A,"LeRoy Bell, Miami Killian, 1:53.3"
,3A,"N. Prinz, Bishop Barry (St. Petersburg),"
,,01:56.2
,2A,"Carl Henry, Jefferson County (Monticello),"
,,01:55.7
,A,"G. Mills, John Carroll (Fort Pierce), 2:04.1"
1973,4A,"Robert Dixon, Brandon, 1:54.5"
,3A,"Keith Lee, Crestview, 1:54.2"
,2A,"Doug Garcia, Santa Fe (Alachua), 1:59.5"
,A,"Robin Pauley, Bunnell, 2:02.1"
1974,4A,"Wayne Embree, Largo, 1:54.4"
,3A,"Glen Kettenacker, Astronaut (Titusville),"
,,01:53.4
,2A,"Earl Caruthers, St. Petersburg Catholic,"
,,01:55.8
,A,"Ronald Maloy, Frostproof, 2:04.5"
1975,4A,"Tommy Curtis, Brandon, 1:53.6"
,3A,"Henry Stanley, Lake Brantley (Altamonte"
,,"Springs), 1:55.6"
,2A,"Doug Garcia, Santa Fe Catholic (Lakeland),"
,,01:54.1
,A,"Bruce DeVane, Indian River Academy (Fort"
,,"Pierce), 2:00.7"
1976,4A,"Rob Gomez, Boca Ciega (Gulfport), 1:52.9"
,3A,"Earl Hill, Buchholz (Gainesville), 1:52.8"
,2A,"Alphonse Williams, Avon Park, 1:59.5"
,A,"Robert Fleck, Westminster Academy (Fort"
,,"Lauderdale), 2:01.0"
1977,4A,"Carlos Carrilo, Titusville, 1:52.4"
,3A,"Earl Hill, Buchholz (Gainesville), 1:55.3"
,2A,"Alphonso Williams, Avon Park, 1:58.6"
,A,"Bobby Wilson, Freeport, 2:02.8"
1978,4A,"Rob Gomez, Boca Ciega (Gulfport), 1:53.3"
,3A,"Travis Keltner, Lely (Naples), 1:54.8"
,2A,"Mark Jacob, Crescent City, 1:57.2"
,A,"Paul McNulty, Trinity Prep (Winter Park),"
,,01:59.9
1979,4A,"William Gower, Pinellas Park (Largo), 1:54.4"
,3A,"Thor Bendickson, Tampa Catholic, 1:58.1"
,2A,"Scott Scheffler, Clewiston, 1:57.6"
,A,"Paul McNulty, Trinity Prep (Winter Park),"
,,02:00.2
1980,4A,"William Gower, Pinellas Park (Largo),"
,,01:52.7
,3A,"Thor Bendickson, Tampa Catholic, 1:57.19"
,2A,"Bill Burgstiner, Episcopal (Jacksonville),"
,,02:01.7
,A,"John Godwin, Freeport, 1:58.71"
1981,4A,"Victor Shine, Sandalwood (Jacksonville),"
,,01:55.7
,3A,"Paul Mason, Astronaut (Titusville), 1:57.2"
,2A,"Gregory Jones, Union County (Lake Butler),"
,,02:00.4
,A,"Dan McQuaig, Montverde Academy, 2:03.6"
1982,4A,"Joseph Goldstein, Leto (Tampa), 1:54.4"
,3A,"George Tyson, Bishop Moore (Orlando),"
,,01:55.4
,2A,"William Convey, Ransom Everglades"
,,"(Miami), 1:58.6"
,A,"Tony Nogueras, St. John Lutheran (Ocala),"
,,01:59.5
1983,4A,"Ben Squaire, Forrest (Jacksonville), 1:53.4"
,3A,"Eric Enholm, Milton, 1:55.3"
,2A,"Nate Bryant, Groveland, 1:59.7"
,A,"Kevin Cantrell, Mount Dora Bible, 2:01.2"
1984,4A,"George Gardner, Oak Ridge (Orlando),"
,,01:53.6
,3A,"Reggie Sampson, Rickards (Tallahassee),"
,,01:56.1
,2A,"Jeff Frost, Pahokee, 1:56.6"
,A,"William Lang, Berkeley Prep (Tampa), 1:58.9"
1985,4A,"William Banks, Lake Gibson (Lakeland),"
,,01:55.0
,3A,"Scott Woodman, Venice, 1:54.4"
,2A,"Jeff Frost, Pahokee, 1:58.8"
,A,"William Lang, Berkeley Prep (Tampa), 1:57.5"
1986,4A,"William Lang, Chamberlain (Tampa),"
1971,2A,"Randy Russell, Wolfson (Jacksonville),"
,,01:54.3
,,01:54.7
,3A,"William Banks, Lake Gibson (Lakeland),"
,,01:56.0
,2A,"Kristin Smith, Admiral Farragut (St."
,,"Petersburg), 1:57.91"
,A,"Clinton Thompson, Palmer (Miami), 1:59.85"
1987,4A,"Edel Fonseca, Miami Sunset, 1:55.52"
,3A,"Stephen Adderly, Atlantic (Delray Beach),"
,,01:54.0
,2A,"John Ackerman, Naples, 2:00.52"
,A,"Mike Musick, Lakeland Christian, 2:01.89"
1988,4A,"Don Zondervan, Dunedin, 1:55.67"
,3A,"Scott Peters, Gainesville, 1:54.3"
,2A,"Walter Burns, Chiefland, 1:59.18"
,A,"Kay Rance, St. John Lutheran (Ocala), 1:56.6"
1989,4A,"Antonio Martel, Boyd Anderson"
,,"(Lauderdale Lakes), 1:53.4"
,3A,"Stephen Adderly, Atlantic (Delray Beach),"
,,01:52.6
,2A,"Archie Clements, Flagler Palm Coast,"
,,01:57.5
,A,"Stephen Pearson, Pensacola Christian,"
,,02:00.8
800-Meter Run,,
1990,4A,"Jose Parrilla, South Dade (Homestead),"
,,01:50.6
,3A,"Stephen Adderly, Atlantic (Delray Beach),"
,,01:53.3
,2A,"Walter Burns, Chiefland, 1:55.23"
,A,"Michael Musick, Lakeland Christian, 1:57.63"
1991,4A,"Andy James, Dillard (Fort Lauderdale),"
,,01:51.4
,3A,"Mike Cruz, St. Cloud, 1:53.7"
,2A,"John Weiskircher, Bishop Kenny"
,,"(Jacksonville), 1:58.1"
,A,"Michael Musick, Lakeland Christian, 1:54.5"
1992,4A,"Davidson Gill, Dillard (Fort Lauderdale),"
,,01:54.3
,3A,"Chris Rogers, Mandarin (Jacksonville),"
,,01:55.7
,2A,"John Weiskircher, Bishop Kenny"
,,"(Jacksonville), 1:54.54"
,A,"Amil Aljasir, Admiral Farragut (St."
,,"Petersburg), 2:00.67"
1993,4A,"Davidson Gill, Dillard (Fort Lauderdale),"
,,01:51.8
,3A,"Martin Calvillo, Southeast (Bradenton),"
,,01:53.2
,2A,"John Weiskircher, Bishop Kenny"
,,"(Jacksonville), 1:59.28"
,A,"Reid Montini, Benjamin (North Palm"
,,"Beach), 2:04.26"
1994,5A,"Danny Smith, Oak Ridge (Orlando), 1:54.97"
,4A,"Martin Calvillo, Southeast (Bradenton),"
,,01:54.5
,3A,"Roland Pezino, Haines City, 1:59.99"
,2A,"Zyris Hill, Port St. Joe, 1:59.46"
,A,"William Strawbridge, Lakeland Christian,"
,,02:02.6
1995,6A,"Yohanee Haynes, Miami Central, 1:52.24"
,5A,"Joseph Richardson, Wolfson (Jacksonville),"
,,01:55.3
,4A,"Brian McKean, Bishop Kenny (Jacksonville),"
,,01:57.4
,3A,"Stephen Bramlett, North Florida Christian"
,,"(Tallahassee), 2:00.68"
,2A,"Daryl Stalzer, St. John Neumann (Naples),"
,,02:00.7
1996,6A,"Moses Washington, Miami Carol City,"
,,01:54.2
,5A,"Joseph Richardson, Wolfson (Jacksonville),"
,,01:53.9
,4A,"Kenlord Davis, Cypress Lake (Fort Myers),"
,,01:58.0
,3A,"Darrin Miller, Tampa Catholic, 1:59.73"
,2A,"Luke Taunton, Wewahitchka, 1:58.88"
1997,6A,"Moses Washington, Miami Carol City,"
,,01:53.3
,5A,"Thomas Tyler, Estero, 1:56.02"
,4A,"William Jeffries, Lake Wales, 1:56.64"
,3A,"Marcus Tanner, Chiefland, 1:57.76"
,2A,"Caleb Connor, Maclay (Tallahassee), 2:00.48"
1998,6A,"Moses Washington, Miami Carol City,"
,,01:50.1
,5A,"Jorge Tugnon, Boca Raton, 1:55.67"
,4A,"Mario Williams, Raines (Jacksonville),"
,,01:54.4
,3A,"Kevin Quencer, Ransom Everglades"
,,"(Miami), 1:54.05"
,2A,"Joseph Taunton, Wewahitchka, 1:55.36"
1999,6A,"Jean Balon, Miami Central, 1:53.74"
,5A,"Antonio Martin, Seminole (Sanford),"
,,01:56.7
,4A,"Mario Williams, Raines (Jacksonville),"
,,01:56.3
,3A,"Kelly Basinger, Bolles (Jacksonville), 1:58.51"
,2A,"Aldo Gonzalez, Benjamin (North Palm"
,,"Beach), 1:55.63"
2000,4A,"David Freeman, Hialeah, 1:52.84"
,3A,"Theo Esson, Northeast (Oakland Park),"
,,01:52.5
,2A,"Daniel Soule, Pensacola Catholic, 1:57.16"
,A,"Aldo Gonzalez, Benjamin (North Palm"
,,"Beach), 1:55.83"
2001,4A,"Paul Cross, Flanagan (Pembroke"
,,"Pines),1:54.78"
,3A,"Ryan Albertson, Pine Forest (Pensacola),"
,,01:54.7
,2A,"Daniel Soule, Pensacola Catholic, 1:54.36"
,A,"Christopher Walkes, Upperroom Christian"
,,"(Lauderhill), 1:55.58"
2002,4A,"Paul Cross, South Plantation, 1:50.19"
,3A,"Sam Vazquez, Flagler Palm Coast, 1:51.48"
,2A,"Andrew Martin, Gulliver Prep (Miami),"
,,01:55.3
,A,"Omar Osbourne, Upperroom Christian"
,,"(Lauderhill), 1:56.57"
2003,4A,"Davon Johnson, Homestead, 1:52.01"
,3A,"Sam Vazquez, Flagler Palm Coast, 1:50.77"
,2A,"Erick Ward, Suncoast (Riviera Beach),"
,,01:54.5
,A,"Patrick Weaver, St. Johns Country Day"
,,"(Jacksonville), 1:52.79"
2004,4A,"Chauncey Thompkins, Miami"
,,"Northwestern, 1:53.55"
,3A,"Timothy Harris, Miami Washington, 1:49.75"
,2A,"Sam Secord, St. Petersburg Catholic,"
,,01:54.9
,1A,"Justin Taylor, St. Joseph (St. Augustine),"
,,01:52.4
2005,4A,"Mikal Ebanks, Miami Norland, 1:54.58"
,3A,"Chris Thomas, Fort Lauderdale, 1:55.52"
,2A,"Joseph Franklin, Godby (Tallahassee),"
,,01:55.9
,1A,"Justin Taylor, St. Joseph (St. Augustine),"
,,01:55.5
2006,4A,"Justin Harbor, Flagler Palm Coast, 1:55.10"
,3A,"Mikail Ebanks, Hallandale, 1:53.53"
,2A,"Joseph Franklin, Godby (Tallahassee),"
,,01:53.5
,1A,"Fidel Betancourt, Dade Christian (Miami),"
,,01:57.5
2007,4A,"Terri Charles, Evans (Orlando), 1:53.54"
,3A,"Brandon Harris, Washington (Miami),"
,,01:54.3
,2A,"Joseph Franklin, Godby (Tallahassee),"
,,01:54.3
,1A,"Whitney Strickland, North Florida Christian"
,,"(Tallahassee), 1:56.86"
2008,4A,"Charles Lockhart, Flagler Palm Coast,"
,,01:52.2
,3A,"Hamilton Boykin, Navarre, 1:56.27"
,2A,"Joseph Franklin, Godby (Tallahassee),"
,,01:54.5
,1A,"Whitney Strickland, North Florida Christian"
,,"(Tallahassee), 1:56.55"
2009,4A,"John Mitchell, Durant (Plant City), 1:52.93"
,3A,"Sean Obinwa, Wharton (Tampa), 1:53.56"
,2A,"Darrin Gibson, Robinson (Tampa), 1:53.38"
,1A,"Whitney Strickland, North Florida Christian"
,,"(Tallahassee), 1:55.67"
2010,4A,"Cameron Davis, Fleming Island, 1:55.43"
,3A,"Matthew Bevil, Fort Walton Beach, 1:52.82"
,2A,"Terrell Bryant, Godby (Tallahassee), 1:54.93"
,1A,"Robert Hussey, Mount Dora Bible, 1:58.54"
2011,4A,"Ricy Brown, Countryside (Clearwater),"
,,01:53.5
,3A,"Isaiah Smith, Lake Weir (Ocala), 1:52.58"
,2A,"Marcus Martinez, Ponte Vedra, 1:55.01"
,1A,"Evan Rosenberg, Trinity Prep (Winter Park),"
,,01:57.3
2012,4A,"Otniel Teixeira, Lake Brantley (Altamonte"
,,"Springs), 1:51.43"
,3A,"Ryan Schnulle, Charlotte (Punta Gorda),"
,,01:53.2
,2A,"Nicholas Palermo, North Broward Prep"
,,"(Coconut Creek), 1:54.40"
,1A,"Mario Ojeda, Northside Christian (St."
,,"Petersburg), 1:56.10"
2013,4A,"Andres Arroyo, Colonial (Orlando), 1:54.09"
,3A,"Jonathan Moore, Jefferson (Tampa), 1:55.21"
,2A,"Chris Jackson, Dunnellon, 1:55.42"
,1A,"Connor Cureton, St. Petersburg Catholic,"
,,01:56.1
2014,4A,"Kyren Hollis, Olympia (Orlando), 1:54.49"
,3A,"Avery Bartlett, Chiles (Tallahassee), 1:52.27"
,2A,"John Decker, Pine Crest (Fort Lauderdale),"
,,01:55.0
,1A,"Daniel Welch, Holy Trinity (Melbourne),"
,,01:57.0
2015,4A,"Humberto Freire, Columbus, 1:53.03"
,3A,"Avery Barlett, Chiles (Tallahassee),"
,,01:53.1
,2A,"Vaquan Small, Washington (Miami), 1:57.03"
,1A,"Chris Robin, Calvary Christian, 1:57.23"
2016,4A,"Justin Pacifico, Flagler Palm, 1:52.91"
,3A,"Joseph Jac Storey, Creekside, 1:56.03"
,2A,"Deandre Petty, Andrew Jackson, 1:56.69"
,1A,"Luke Peterson, Shorecresh Prep, 1:56.76"
2017,4A,"Jon Rivera, Lakewood Ranch, 1:53.16"
,3A,"Jospeh Storey, Creekside, 1:53.26"
,2A,"Danny Ferro, Calvary Christian (Fort Lau-"
,,"derdale), 1:54.07"
,1A,"Justin Bridgewater, The King's Academy,"
,,01:55.1
2018,4A,"Sukeil Foucha, Piper (Sunrise), 1:55.13"
,3A,"Hugh Brittenham, Estero, 1:52.40"
,2A,"Danny Ferro, Calvary Christian (Fort"
,,"Lauderdale), 1:52:12"
,1A,"Trevor Foley, Citrus Park, 1:55.27"
2019,4A,"Sukeil Foucha, Piper (Sunrise), 1:51.00"
,3A,"Hugh Brittenham, Estero, 1:52.95"
,2A,"Chase Rivera, Bolles (Jacksonville), 1:51.93"
,1A,"Junious Brown, Maclay (Tallahassee),"
,,01:55.3
,"A Paul McNulty, Trinity Prep (Winter Park),",
,04:22.4,
1981,"4A Bart Sellers, Largo, 4:12.4",
,"3A James Hickey, Rockledge, 4:20.1",
,"2A Paul Dinkler, P.K. Yonge (Gainesville), 4:29.7",
,"A Dan McQuaig, Montverde Academy, 4:31.9",
1982,"4A Brian Jaeger, Winter Park, 4:09.3",
,"3A Kenneth Milliken, Jupiter, 4:19.1",
,"2A William Convey, Ransom Everglades",
,"(Miami), 4:17.8",
,"A Gary Smith, Pensacola Christian, 4:33.0",
1983,"4A Ken Cheeseman, Lake Howell (Winter Park),",
,04:08.5,
,"3A Kurt Backman, Buchholz (Gainesville),",
,04:18.2,
,"2A William Convey, Ransom Everglades",
,"(Miami), 4:13.2",
,"A Kevin Cantrell, Mount Dora Bible, 4:29.6",
1984,"4A Ken Cheeseman, Lake Howell (Winter Park),",
,04:09.3,
,"3A Thomas Tissell, North Fort Myers, 4:27.8",
,"2A Jeff Wright, Cocoa Beach, 4:26.0",
,"A William Calhoun, Tampa Prep, 4:25.2",
1985,"4A Wilburn Penick, Seminole (Sanford), 4:18.0",
,"3A Thomas Tissell, North Fort Myers, 4:22.0",
,"2A Larry Abele, Florida High (Tallahassee),",
,04:20.1,
,"A Michael Claeys, Westminster Academy (Fort",
,"Lauderdale), 4:29.9",
1986,"4A Lemuel McEachin, Wolfson (Jacksonville),",
,04:17.4,
,"3A Anthony Bombassaro, Fort Myers, 4:23.97",
,"2A Kristin Smith, Admiral Farragut (St.",
,"Petersburg), 4:22.7",
,"A Michael Reynolds, Palmer (Miami), 4:30.86",
1987,"4A Michael Levalle, Boyd Anderson",
,"(Lauderdale Lakes), 4:15.3",
,"3A Sean Tooze, Crystal River, 4:20.88",
,"2A Thomas Cunningham, Naples, 4:25.83",
,"A Roger Dobson, Jay, 4:31.20",
1988,"4A Patrick McDonough, Largo, 4:15.29",
,"3A Scott Peter, Gainesville, 4:16.1",
,"2A James Knucles, Lemon Bay (Englewood),",
,04:27.2,
,"A Michael Reynolds, Palmer (Miami), 4:30.7",
1989,"4A Ted Mitchell, Lyman (Longwood), 4:15.3",
,"3A Christopher Wilson, Niceville, 4:17.70",
,"2A Herschel Johnson, P.K. Yonge (Gainesville),",
,04:25.2,
