Year,Event,Class,Name,School,Mark
,,4A,Adriunna Brown,Rutland Hurricanes,43.31
,,3A,Kayla Prior,Cedar Grove Saints,43.07
,,2A,Khadejah Jackson,Lovett Lions,45.46
,,1A,Aiyanna Crumbley,Marion County Eagles,49.79
,,1A-P,Maddie Felts,Galloway Scots,44.22
,3200m Run,6A,Allie Buchalski,Johns Creek Gladiators,10:42.9
,,5A,Alex Cameron,Dunwoody Wildcats,11:10.1
,,4A,Morgan Isle,Marist War Eagles,11:15.8
,,3A,Jenna Gearing,White County Warriors,11:08.9
,,2A,Charlotte Folinus,Westminster Wildcats,11:27.2
,,1A,Cavana Epps,Central (Tallbatton) Hawks,13:07.1
,,1A-P,Lindy Long,Landmark Christian War Eagles,10:50.3
,4x400m Relay,6A,"Destiny Riley, Cierra Dunston, Christoni Wynn, MaKenzie Dunmore",McEachern Indians,03:45.2
,,5A,"Lauren Jackson, Monika Nwajei, Erika Banks, Asya Yavuncu",Dunwoody Wildcats,03:49.4
,,4A,"Deandreia Allen, Kareema Grier, Ebone Cobb, Breanna Mahone",Shaw Raiders,03:50.6
,,3A,"Latoya Harze, Nylah Littles, Christian Pryor, Kayla Pryor",Cedar Grove Saints,03:56.7
,,2A,"Kayin Mujahid, Maileka Slayton, Kennedy Street, Stephanie Reynolds",Greater Atlanta Christian Spartans,04:00.1
,,1A,"Jada Gardner, Aiyanna Crumbley, Rebecca Dixon, Rachel Dixon",Marion County Eagles,04:17.9
,,1A-P,"Leah Banks, Pauline Cobb, Morgan McClure, Rachel Powers",Our Lady of Mercy Bobcats,04:02.5
,High Jump,6A,Malayshia George,Mill Creek Hawks,"5' 6"""
,,5A,Kendell Williams,Kell Longhorns,"5' 8"""
,,4A,Bailey Weiland,Marist War Eagles,"5' 6"""
,,3A,Carrie Cheeks,Sonoraville Phoenix,"5' 4"""
,,2A,Shakedra Robinson,Jeff Davis Yellow Jackets,"5' 4"""
,,1A,Anna Pettigrew,Gordon Lee Trojans,"5' 2"""
,,1A-P,Summer Hendley,Savannah Christian Raiders,"5' 0"""
,Long Jump,6A,Stormm Phillips,Valdosta Wildcats,"19' 4.25"""
,,5A,Kendell Williams,Kell Longhorns,"20' 9.75"""
,,4A,Anasterasia Terrell,Howard (Macon) Huskies,"18' 10"""
,,3A,Breanna Gates,Southeast Bulloch Yellow Jackets,"17' 10.5"""
,,2A,Sandy Sharis,Westminster Wildcats,"18' 2.5"""
,,1A,Kimmie Davis,Baconton Charter Blazers,"16' 8.5"""
,,1A-P,Summer Hendley,Savannah Christian Raiders,"16' 6.5"""
,Triple Jump,6A,Keyasia Tibbs,Tri-Cities Bulldogs,"38' 5.5"""
,,5A,Tiffany Flynn,Miller Grove Wolverines,"40' 7.5"""
,,4A,Anasterasia Terrell,Howard (Macon) Huskies,"39' 5"""
,,3A,Amber Hughes,Douglass (ATL) Astros,"37' 5"""
,,2A,Shakedra Robinson,Jeff Davis Yellow Jackets,"36' 7.5"""
,,1A,Jadah Mack,Johnson County Tigers,"35' 5"""
,,1A-P,Maddie Felts,Galloway Scots,"35' 10.25"""
,Pole Vault,6A,Katelyn Utley,Tift County Blue Devils,"12' 6"""
,,5A,Elise Moffatt,Allatoona Buccaneers,"11' 06"""
,,4A,Ashton Matson,Alexander Cougars,"10' 0"""
,,3A,Gabrielle Hoffman,North Hall Trojans,"10' 0"""
,,2A,Sarah Zimmerman,Bremen Blue Devils,"11' 0"""
,,1A,Anna Pettigrew,Gordon Lee Trojans,"8' 6"""
,,1A-P,Alexandera Juneau,Holy Innocents' Golden Bears,"10' 4"""
,Shot Put,6A,Jenessa Jackson,Marietta Blue Devils,"45' 11"""
,,5A,Noelle Parker,Whitewater Wildcats,"41' 09"""
,,4A,Nyla Woods,Grady Grey Knights,"41' 2"""
,,3A,Haley Reynolds,Gordon Central Warriors,"43' 9"""
,,2A,LaPorsha Wells,Josey Eagles,"41' 3.5"""
,,1A,Katelyn Lee,Gordon Lee Trojans,"36' 2.75"""
,,1A-P,Anna Machovec,Prince Avenue Christian Wolverines,"38' 11"""
,Discus,6A,Casidy Callahan,Norcross Blue Devils,"145' 1"""
,,5A,Ja'Keeyla Hayes,Northside (Columbus) Patriots,"126' 5"""
,,4A,Ashley Harrell,Monroe (Albany) Tornadoes,"132' 4"""
,,3A,Haley Reynolds,Gordon Central Warriors,"120' 8"""
,,2A,Kayin Mujahid,Greater Atlanta Christian Spartans,"113' 1"""
,,1A,Katelyn Lee,Gordon Lee Trojans,"120' 2"""
,,1A-P,Anna Machovec,Prince Avenue Christian Wolverines,"133' 04"""
,Wheelchair,Shot Put (Class 1),Curran Brown,Johns Creek Gladiators,"19' 8.5"""
,,200m,Mary Kaitlyn Wheeler,East Laurens Falcons,01:06.8
,,800m,Mary Kaitlyn Wheeler,East Laurens Falcons,04:34.0
2012,4x100m Relay,5A,"Felicia Brown, Tiffany Camper, Jada Martin, Alexis Smith",M.L. King Lions,46.3
,,4A,"Nikkia Jefferson, Crystal Gray, India Hammond, Jade Johnson",Redan Raiders,47.9
,,3A,"Kaitlyn Taylor, Ariel Truitt, Jordan Carey, Victoria Parker",Sandy Creek Patriots,47.46
,,2A,"Brittany Arnold, Airica Palmer, Maileka Slayton, Kayin Mujahid",Greater Atlanta Christian Spartans,47.31
,,1A,"Brea Byrd, Natasha Braughton, Macayla Wethington, Mary Echols",Athens Christian Eagles,49.91
,1600m Run,5A,Caroline Kissel,Brookwood Broncos,05:01.0
,,4A,Alex Cameron,Dunwoody Wildcats,05:03.9
,,3A,Kristina Delpesche,Columbus Blue Devils,05:12.4
,,2A,Sahara Fletcher,Westminster Wildcats,05:05.6
,,1A,Victoria Coppage,First Presbyterian Vikings,05:02.8
,400m Dash,5A,Felicia Brown,M.L. King Lions,53.89
,,4A,Asha Stegall,Warner Robins Demons,55.81
,,3A,Dallas Worthy,Eastside Eagles,55.92
,,2A,Bailey Willett,Blessed Trinity Titans,57.5
,,1A,Maddie Felts,Galloway Scots,56.96
,100m Dash,5A,Tayla Carter,Walton Raiders,11.63
,,4A,Briana Vaughn,Union Grove Wolverines,11.77
,,3A,Javianne Oliver,Monroe Area Purple Hurricanes,11.64
,,2A,Maileka Slayton,Greater Atlanta Christian Spartans,12.21
,,1A,Hannah Wood,Mt. Zion (Carroll) Eagles,12.2
,100m Intermediate Hurdles,5A,Sydney Griffin,Walton Raiders,11.63
,,4A,Kendell Williams,Kell Longhorns,13.49
,,3A,Ashley Ivey,Washington County Hawks,14.03
,,2A,Jalisha Knight,Toombs County Bulldogs,14.16
,,1A,Mary Echols,Athens Christian Eagles,15.17
,800m Run,5A,Sonikqua Walters,Peachtree Ridge Lions,02:13.6
,,4A,Tatiyana Caffey,Miller Grove Wolverines,02:17.2
,,3A,Shantia Wilson,Eagle's Landing Eagles,02:13.0
,,2A,Sahara Fletcher,Westminster Wildcats,02:14.2
,,1A,Destiny Jenkins,Athens Christian Eagles,02:17.2
,200m Dash,5A,Felicia Brown,M.L. King Lions,23.78
,,4A,Briana Vaughn,Union Grove Wolverines,24.33
,,3A,javianne Oliver,Monroe Area Purple Hurricanes,24.08
,,2A,Maileka Slayton,Greater Atlanta Christian Spartans,24.56
,,1A,Hannah Wood,Mt. Zion (Carroll) Eagles,25.62
,300m Low Hurdles,5A,Amber Bryant-Brock,McEachern Indians,41.95
,,4A,Nikkia Jefferson,Redan Raiders,43.44
,,3A,Susan Meinders,Dalton Catamounts,44.21
,,2A,Jalisha Knight,Toombs County Bulldogs,44.11
,,1A,Mary Echols,Athens Christian Eagles,46.76
,3200m Run,5A,Marcie Merriman,Lassiter Trojans,10:51.7
,,4A,Allie Buchalski,Johns Creek Gladiators,11:00.1
,,3A,Gabby Roth,Eagle's Landing Eagles,11:30.1
,,2A,Anna Gandolfo,Blessed Trinity Titans,11:35.9
,,1A,Victoria Coppage,First Presbyterian Vikings,11:08.3
,4x400m Relay,5A,"Felicia Brown, Tiffany Camper, Jada Martin, Chelsea Caldwell",M.L. King Lions,03:47.7
,,4A,"Asya Yavuncu, Sadia Yansaneh, Erika Banks, Monika Nwajei",Dunwoody Wildcats,03:49.3
,,3A,"Mimieux Land, Chakerah Fletcher, Akeema Miller, Nardesia McKinney",Monroe (Albany) Tornadoes,03:51.4
,,2A,"Brittany Arnold, Airica Palmer, Maileka Slayton, Kayin Mujahid",Greater Atlanta Christian Spartans,03:51.5
,,1A,"Natasha Braughton, Bryanne Acker, Destiny Jenkins, Mary Echols",Athens Christian Eagles,04:00.7
,High Jump,5A,Alexandria Johnson,Mountain View Bears,"5' 4"""
,,4A,Kendell Williams,Kell Longhorns,"5' 8"""
,,3A,Mimieux Land,Monroe (Albany) Tornadoes,"5' 8"""
,,2A,Carrie Cheeks,Sonoraville Phoenix,"5' 2"""
,,1A,Katie Frerking,Wesleyan Wolves,"5' 0"""
,Long Jump,5A,Stormm Phillips,Valdosta Wildcats,18' 2.5
,,4A,Kendell Williams,Kell Longhorns,"20' 8.5"""
,,3A,Mimieux Land,Monroe (Albany) Tornadoes,"19' 4.75"""
,,2A,Bria McCallister,Fitzgerald Purple Hurricanes,"17' 8.5"""
,,1A,Jasmine Steen,Chattahoochee County Panthers,"17' 7"""
,Triple Jump,5A,DoVon Johnson,Kennesaw Mountain Mustangs,"38' 5.25"""
,,4A,Keyasia Tibbs,Tri-Cities Bulldogs,"39' 7"""
,,3A,Ashley Ivey,Washington County Hawks,"40' 7.5"""
,,2A,Ashleigh Rasheed,Decaur Bulldogs,"38' 11.5"""
,,1A,Landyn Duley,Wesleyan Wolves,"36' 3.5"""
,Pole Vault,5A,Katelyn Utley,Tift County Blue Devils,"11' 0"""
,,4A,Holly Ebbets,Lee County Trojans,"11' 6"""
,,3A,Megan Clark,Columbus Blue Devils,"12' 2"""
,,2A,Sydney Rodkey,North Oconee Titans,"12' 1"""
,,1A,Sarah Gehling,PInecrest Academy Paladins,"10' 6"""
,Shot Put,5A,Jade Stokes,Windsor Forest Knights,"44' 4.5"""
,,4A,Kenya Wheeler,Southwest DeKalb Panthers,"41' 1.5"""
,,3A,Avana Story,Woodward Academy War Eagles,"42' 4.5"""
,,2A,Haley Reynolds,Gordon Central Warriors,"41' 3"""
,,1A,Torie Owers,Athens Academy Spartans,"46' 8"""
,Discus,5A,Sarah Mitchell,Centennial Knights,"136' 7"""
,,4A,Kree Clark,Rockdale County Bulldogs,"140' 10"""
,,3A,Avana Story,Woodward Academy War Eagles,"134' 6"""
,,2A,Haley Reynolds,Gordon Central Warriors,"131' 11"""
,,1A,Torie Owers,Athens Academy Spartans,"149' 8"""
,Wheelchair,Shot Put (Class 1),Christina Young,Cass Colonels,"13' 2"""
,,200m,Christina Young,Cass Colonels,35.5
,,800m,Christina Young,Cass Colonels,02:37.2
2011,4x100m Relay,5A,"Felicia Brown, Tiffany Camper, Alexis Smith, Jada Martin",M.L. King Lions,46.53
,,4A,"Kenya Scott, Adrienne Jemison, Charlotte Williams, Morgan Snow",Soutwest DeKalb Panthers,47.14
,,3A,"Jade Perry, Maikea Davis, Mimieux Land, Shameka Carter",Monroe (Albany) Tornadoes,47.83
,,2A,"Amari Blackwell, Takeria Nash, Sandrika Simmons, Kevia Gonzales",Therrell Panthers,48.69
,,1A,"Samaria Holland, Kelli Dunagan, Hannah Wood, Corrssia Perry",Mt. Zion (Carroll) Eagles,49.67
,1600m Run,5A,Brooke Koblitz,Centennial Knights,05:05.2
,,4A,Anna Bowles,Lakeside (Evans) Panthers,04:57.4
,,3A,Kristina Delpesche,Columbus Blue Devils,05:10.7
,,2A,Olivia Pigg,North Oconee Titans,05:17.4
,,1A,Destiny Jenkins,Athens Christian Eagles,05:05.6
,400m Dash,5A,Felicia Brown,M.L. King Lions,54.94
,,4A,Ericka Rucker,Flowery Branch Falcons,53.96
,,3A,Maikea Davis,Monroe (Albany) Tornadoes,55.71
,,2A,Sandrika Simmons,Therrell Panthers,57.73
,,1A,Ayana Walker,Jenkins County Eagles,56.15
,100m Dash,5A,Jada Martin,M.L. King Lions,12.09
,,4A,Ciarra Simms,Dutchtown Bulldogs,11.92
,,3A,Jasmine Smith,Jackson Red Devils,11.8
,,2A,Shunika Jarrells,Avondale Blue Devils,12.3
,,1A,Hannah Wood,Mt. Zion (Carroll) Eagles,12.08
,100m Intermediate Hurdles,5A,Khadija Stuckey,Langston Hughes,14.02
,,4A,Kendell Williams,Kell Longhorns,13.48
,,3A,Ashley Ivey,Washington County Hawks,14.33
,,2A,Jalisha Knight,Toombs County Bulldogs,14.78
,,1A,Synera Shelton,Southwest Atlanta Christian Warriors,14.52
,800m Run,5A,Sydney Williams,Collins Hill Eagles,02:14.6
,,4A,Ericka Rucker,Flowery Branch Falcons,02:16.8
,,3A,Jenna Wesley,Spalding Jaguars,02:16.2
,,2A,Olivia Traylor,Crawford County Eagles,02:22.5
,,1A,Destiny Jenkins,Athens Christian Eagles,02:15.3
,200m Dash,5A,Jada Martin,M.L. King Lions,24.09
,,4A,Ciarra Simms,Dutchtown Bulldogs,23.96
,,3A,Jasmine Smith,Jackson Red Devils,24.2
,,2A,Shunika Jarrells,Avondale Blue Devils,25.41
,,1A,Hannah Wood,Mt. Zion (Carroll) Eagles,24.61
,300m Low Hurdles,5A,Amber Bryant-Brock,McEachern Indians,42.26
,,4A,Kendell Williams,Kell Longhorns,42.42
,,3A,Adrianna Brown,Rutland Hurricanes,44.75
,,2A,Sandrika Simmons,Therrell Panthers,43.91
,,1A,Fran Johnson,First Presbyterian Vikings,44.56
,3200m Run,5A,Dylan Hassett,Alpharetta Raiders,10:43.4
,,4A,Anna Bowles,Lakeside (Evans) Panthers,10:45.0
,,3A,Erin Osment,St. Pius X Golden Lions,11:14.3
,,2A,Sahara Fletcher,Westminster Wildcats,11:46.6
,,1A,Lindy Long,Landmark Christian War Eagles,11:23.3
,4x400m Relay,5A,"Jada Martin, Chelsea Caldwell, Aaliyah Pettway, Felicia Brown",M.L. King Lions,03:50.2
,,4A,"Jessika Banks, Erika Banks, Sadia Yansaneh, Danielle Prince",Dunwoody Wildcats,03:50.0
,,3A,"Deanna Gayle, Dormecia Gilbert, Dallas Worthy, Kimberly Thomas",Eastside Eagles,03:48.6
,,2A,"Aliya Parker, Rosie Parker, Ashleigh Rasheed, Queen Alford",Decatur Bulldogs,03:57.0
,,1A,"Natasha Braughton, Bryanne Acker, Destiny Jenkins, Mary Echols",Athens Christian Eagles,04:01.4
,High Jump,5A,Jalisa Terrell,M.L. King Lions,"5'7 """
,,4A,Kendell Williams,Kell Longhorns,"5' 8"""
,,3A,Mimieux Land,Monroe (Albany) Tornadoes,"5' 6"""
,,2A,Olivia Hewitt,Westminster Wildcats,"5' 4"""
,,1A,Synera Shelton,Southwest Atlanta Christian Warriors,"5' 4"""
,Long Jump,5A,Katie Utley,Tift County Blue Devils,"10' 6"""
,,4A,Holly Ebbets,Lee County Trojans,"10' 6"""
,,3A,Elise Moffatt,Allatoona Buccaneers,"10' 6"""
,,2A,Caroline Bonds,Greater Atlanta Christian Spartans,"12' 0"""
,,1A,Sarah Gehling,PInecrest Academy Paladins,"10' 0"""
,Triple Jump,5A,Quintunya Chapman,Bradwell Institute Tigers,"18' 11.25"""
,,4A,Tika Slay,Alexander Cougars,"18' 8.5"""
,,3A,Mimiuex Land,Monroe (Albany) Tornadoes,"19' 2"""
,,2A,Bria McCallister,Fitzgerald Purple Hurricanes,"18' 5.5"""
,,1A,Morgan Woodward,North Cobb Christian Eagles,"17' 1.75"""
,Pole Vault,5A,Sarah Gehling,Pinecrest Academy (5-A),"10' 0.000"""
,,4A,Caroline Bond,Greater Atlanta Christian (6-AA),"12' 0.000"""
,,3A,Elise Moffatt,Allatoona (7-AAA),"10' 6.000"""
,,2A,Holly Ebbets,Lee County (1-AAAA),"10' 6.000"""
,,1A,Katie Utley,Tift County (1-AAAAA),"10' 6.000"""
,Shot Put,5A,Ashley Johnson,Westlake Lions,"47' 3.5"""
,,4A,Jianna Williams,South Paulding Spartans,"44' 4.5"""
,,3A,Shelby Ashe,St. Pius X Golden Lions,"45' 0"""
,,2A,Danielle Moss,Greater Atlanta Christian Spartans,"42' 5.5"""
,,1A,Torie Owers,Athens Academy Spartans,"44' 4"""
,Discus,5A,Dana Levy,Kennesaw Mountain Mustangs,"145' 1"""
,,4A,Jianna Williams,South Paulding Spartans,"137' 0"""
,,3A,Alexandria Childs,Monroe (Albany) Tornadoes,"142' 4"""
,,2A,Whitney Wilson,Northeast Raiders,"125' 0"""
,,1A,Torie Owers,Athens Academy Spartans,"154' 8"""
,Wheelchair,Shot Put (Class 1),Aby Argo,Spalding Jaguars,"19' 10"""
2010,4x100m Relay,5A,"Koeshia Washington, Olivia Fisher, Brandi Parker, Maderia Toatley",Stephenson Jaguars,47.13
,,4A,"Kim Miller, Nakia Linson, Tori Taylor, Tamera Harris",Tucker Tigers,47.34
,,3A,"A. McFarland, Maikea Davis, Lakeisha Jackson, Mimieux Land",Monroe (Albany)Tornadoes,47.22
,,2A,"Jasmine Slaton, Bridgette Brown, Shunika Jarrrells, Canesha Moore",Avondale Blue Devils,48.69
,,1A,"Samaria Holland, Jasmine Jackson, Hannah Wood, Kelli Dunagan",Mt. Zion (Carroll) Eagles,49.4
,1600m Run,5A,Nicky Akande,Collins Hill Eagles,04:57.0
,,4A,Megan Wetterhall,Lakeside (DeKalb) Vikings,05:03.3
,,3A,Bret McDaniel,Riverwood Raiders,05:01.6
,,2A,Sahara Fletcher,Westminster Wildcats,05:09.1
,,1A,Destiny Jenkins,Athens Christian Eagles,05:09.1
,400m Dash,5A,Taren White,Grayson Rams,53.78
,,4A,Raven Thomas,Statesboro Blue Devils,55.49
,,3A,Ericka Rucker,Flowery Branch Falcons,55.53
,,2A,Antqunita Reed,Early County Bobcats,55.57
,,1A,Megan Malasarte,Our Lady of Mercy Bobcats,55.67
,100m Dash,5A,Ciara Simms,Luella Lions,12.13
,,4A,Alycia Prior,Mt. Zion (Jonesboro) Bulldogs,11.62
,,3A,Jasmine Smith,Jackson Red Devils,11.79
,,2A,Jasmine Grovenor,McIntosh County Academy Buccaneers,11.95
,,1A,Asia Stinson,Social Circle Redskins,12.22
,100m Intermediate Hurdles,5A,Kendell Williams,Kell Longhorns,13.69
,,4A,Morgan Snow,Southwest DeKalb Panthers,13.98
,,3A,Lakeisha Jackson,Monroe (Albany)Tornadoes,14.78
,,2A,Jessica Tuggle,Greater Atlanta Christian Spartans,14.86
,,1A,Lauren Toomer,Landmark Christian War Eagles,14.94
,800m Run,5A,Nicky Akande,Collins Hill Eagles,02:11.2
,,4A,Savannah Kirk,North Springs Trojans,02:16.4
,,3A,Jenna Wesley,Spalding Jaguars,02:16.0
,,2A,Rebecca Greenwall,North Oconee Titans,02:16.1
,,1A,Megan Malasarte,Our Lady of Mercy Bobcats,02:17.1
,200m Dash,5A,Taren White,Grayson Rams,23.7
,,4A,Alycia Prior,Mt. Zion (Jonesboro) Bulldogs,24.31
,,3A,Jasmine Smith,Jackson Red Devils,24.03
,,2A,Shamira Barrett,Adairsville Tigers,24.76
,,1A,Hannah Wood,Mt. Zion (Carroll) Eagles,24.92
,300m Low Hurdles,5A,Kendell Williams,Kell Longhorns,41.3
,,4A,Tamera Harris,Tucker Tigers,43.9
,,3A,Lakeisha Jackson,Monroe (Albany)Tornadoes,44.51
,,2A,Jalisha Knight,Toombs County Bulldogs,45.48
,,1A,Mary Echols,Athens Christian Eagles,45.05
,3200m Run,5A,Dylan Hassett,Alpharetta Raiders,11:10.7
,,4A,Anna Bowles,Lakeside (Evans) Panthers,10:46.2
,,3A,Allie Schaich,Lambert Longhorns,10:53.3
,,2A,Sahara Fletcher,Westminster Wildcats,11:21.4
,,1A,Lindy Long,Landmark Christian War Eagles,11:13.0
,4x400m Relay,5A,"Brianna Chambers, Monti Willis, Kyana White, Kelli Hardnett",Campbell Spartans,03:51.2
,,4A,"Kim Miller, Nakia Linson, Tori Taylor, Tamera Harris",Tucker Tigers,03:54.9
,,3A,"Sandrika Simmons, Jamesha Ford, Ramanda Christian, Jawanda King",Therrell Panthers,03:56.2
,,2A,"Jasmine Slaton, Bridgette Brown, Shunika Jarrells, Canesha Moore",Avondale Blue Devils,03:57.9
,,1A,"Natasha Braughton, Bryanne Acker, Destiny Jenkins, MaCayla Wethington",Athens Christian Eagles,04:03.5
,High Jump,5A,Oneisha Smith,Chapel HIll Panthers,"5' 8"""
,,4A,Melanie Mainor,Hillgrove Hawks,"5' 4"""
,,3A,Mimieux Land,Monroe (Albany)Tornadoes,"5' 6"""
,,2A,Miray Seward,Westminster Wildcats,"5' 5"""
,,1A,Lilvia Bradbury,Gordon Lee Trojans,"5' 2"""
,Long Jump,5A,Samantha Becker,Milton Eagles,"12' 0"""
,,4A,Caroline Evans,Starr's Mill Panthers,"10' 6"""
,,3A,Danielle Penk,St. Pius X Golden Lions,"11' 3"""
,,2A,Samantha Sanchez,Blessed Trinity Titans,"11' 0.5"""
,,1A,Lisa Sheppard,Athens Academy Spartans,"10' 0"""
,Triple Jump,5A,Julienne Mckee,Lassiter Trojans,"18' 10"""
,,4A,Andrea Fullmore,Wayne County Yellow Jackets,"18' 4.5"""
,,3A,Mimieux Land,Monroe (Albany)Tornadoes,"18' 11"""
,,2A,Antqunita Reed,Early County Bobcats,"18' 3"""
,,1A,Asia Stinson,Social Circle Redskins,"17' 1.5"""
,Pole Vault,5A,Julienne Mckee,Lassiter Trojans,"10' 0.000"""
,,4A,Ladondra Johnson,Cedar Shoals Jaguars,"11' 0.500"""
,,3A,Mimieux Land,Monroe (Albany)Tornadoes,"11' 3.000"""
,,2A,Antqunita Reed,Early County Bobcats,"10' 6.000"""
,,1A,Zandra Lake,Jenkins County Eagles,"12' 0.000"""
,Shot Put,5A,Chatil Bradford,Morrow Mustangs,"43' 8.5"""
,,4A,Patricia Gates,Villa Rica Wildcats,"42' 8"""
,,3A,Shelby Ashe,St. Pius X Golden Lions,"46' 5"""
,,2A,Keyandra Bell,Macon County Rebels,"39' 2"""
,,1A,Torie Owers,Athens Academy Spartans,"39' 4"""
,Discus,5A,Emily Brewer,Brookwood Broncos,"131' 4"""
,,4A,Dianna Wimpy,Woodland (Cartersville) Wildcats,"132' 9"""
,,3A,Jana Jones,Liberty County Panthers,"123' 8"""
,,2A,Tiona Burley,Mitchell County Eagles,"115' 11"""
,,1A,Briana Jones,Whitefield Academy Wolfpack,"122' 4"""
,Wheelchair,Shot Put (Class 1),Jordan Collins,North Hall Trojans,"6' 9"""
,,200m,Jordan Collins,North Hall Trojans,54.6
,,800m,Jordan Collins,North Hall Trojans,03:57.9
2009,4x100m Relay,5A,"Zahra Thomas, Kinsley Lawson, Aminah Blount, Davita Washington",Westlake Lions,46.77
,,4A,"Kia Jackson, Amber Crews, Morgan Snow, Kenja Scott",Southwest DeKalb Panthers,46.66
,,3A,"Alanesha McFarland, Kenza Bailey, LaKeisha Jackson, Mimieux Land",Monroe (Albany) Tornadoes,47.9
,,2A,"Sherinna Lewis, Felicia Owens, Latannica Borders, Lanequa Borders",Jordan Red Jackets,48.29
,,1A,"Jasmine Jackson, Hannah Wood, Kelli Dunagan, Samaria Holland",Mt. Zion (Carroll) Eagles,50.48
,1600m Run,5A,Amanda Winslow,Collins Hill Eagles,04:45.0
,,4A,Meghan Wetterhall,Lakeside (Dekalb) Vikings,05:07.5
,,3A,Bret McDaniel,Riverwood Raiders,05:00.8
,,2A,Rebecca Greenwall,North Oconee Titans,05:15.8
,,1A,Erika Ramsey,Wesleyan Wolves,5;22.09
,400m Dash,5A,Zahra Thomas,Westlake Lions,55.34
,,4A,Morgan Williams,Northwest Whitfield Bruins,57.17
,,3A,Torrenzia Lyles,Shaw Raiders,56.49
,,2A,Antquinita Reed,Early County Bobcats,57.52
,,1A,Megan Malasarte,Our Lady of Mercy Bobcats,55.76
,100m Dash,5A,Chalonda Goodman,Newnan Tigers,11.54
,,4A,Kia Jackson,Southwest DeKalb Panthers,11.63
,,3A,Takeia Pickney,Columbia Eagles,11.78
,,2A,Jasmine Grovenor,McIntosh County Academy Buccaneers,12.19
,,1A,T'Keyah Chevers,Turner County Rebels,12.24
,100m Intermediate Hurdles,5A,Jasmine Edgerson,Campbell Spartans,14.12
,,4A,Morgan Snow,Southwest DeKalb Panthers,14.4
,,3A,LaKeisha Jackson,Monroe (Albany) Tornadoes,14.45
,,2A,Miray Seward,Westminster Wildcats,14.73
,,1A,Synera Shelton,Southwest Atlanta Christian Warriors,15.49
,800m Run,5A,Aubrielle Wright,Westlake Lions,02:13.1
,,4A,Morgan Williams,Northwest Whitfield Bruins,02:18.1
,,3A,Asia Palmer,Eastside Eagles,02:17.6
,,2A,Queen Alford,Decatur Bulldogs,02:16.7
,,1A,Megan Malasarte,Our Lady of Mercy Bobcats,02:18.1
,200m Dash,5A,Chalonda Goodman,Newnan Tigers,23.91
,,4A,Kia Jackson,Southwest DeKalb Panthers,24.86
,,3A,Jawanda King,Therrell Panthers,25.19
,,2A,Shamira Barrett,Adairsville Tigers,24.87
,,1A,Kim Johnson,Twiggs County Cobras,25.29
,300m Low Hurdles,5A,Shani Chandler,Westlake Lions,43.33
,,4A,Sonni Austin,Miller Grove Wolverines,43.53
,,3A,Pearline Walker,Baldwin Braves,44.74
,,2A,Miray Seward,Westminster Wildcats,45.89
,,1A,Mary Echols,Athens Christian Eagles,46.63
,3200m Run,5A,Amanda Winslow,Collins Hill Eagles,10:42.7
,,4A,Meghan Wetterhall,Lakeside (Dekalb) Vikings,11:07.2
,,3A,Bret McDaniel,Riverwood Raiders,11:05.0
,,2A,Lauren Kester,Greater Atlanta Christian Spartans,41.09
,,1A,Greer Gafford,Holy Innocents' Golden Bears,11:35.0
,4x400m Relay,5A,"Zahra Thomas, Aminah Blount, Aubrielle Wright, Shani Chandler",Westlake Lions,03:46.1
,,4A,"Ashley Ragans, Kimberly Miller, Nakia Linson, Tamera Harris",Tucker Tigers,03:51.7
,,3A,"Kimberly Thomas, Asia Palmer, Shyanne Uguwibe, Whitney Martin",Eastside Eagles,03:56.8
,,2A,"Aliya Parker, Queen Alford, Rosie Parker, Krstiana Towns",Decatur Bulldogs,03:55.2
,,1A,"Emily Howell, Grace Leah Baughn, Caroline Miller, Chantel Kennedy",Wesleyan Wolves,04:10.0
,High Jump,5A,Keira Peak,Lowndes Vikings,"5' 6"""
,,4A,Baiesha Johnson,Glynn Academy Red Terrors,"5' 4"""
,,3A,Mimieux Land,Monroe (Albany) Tornadoes,"5' 7"""
,,2A,Miray Seward,Westminster Wildcats,"5' 6"""
,,1A,Anne Marie Armstrong,Wesleyan Wolves,"5' 4"""
,Long Jump,5A,Lauren Hutchinson,North Cobb Warriors,"11' 7"""
,,4A,Jordan Cole,Alexander Cougars,"10' 0"""
,,3A,Sloan Bunting,West Forsyth Wolverines,"11' 3"""
,,2A,Claire Goodson,Greater Atlanta Christian Spartans,"10' 7.75"""
,,1A,Lisa Sheppard,Athens Academy Spartans,"10' 0"""
,Triple Jump,5A,Tamala Daley,Redan Raiders,"18' 8"""
,,4A,Baiesha Johnson,Glynn Academy Red Terrors,"18' 4"""
,,3A,Brittany Porter,Towers Titans,"19' 7.5"""
,,2A,Antiqunita Reed,Early County Bobcats,"18' 5.5"""
,,1A,Candice Warthan,Warren County Blue Devils,"18' 6.25"""
,Pole Vault,5A,Tamala Daley,Redan Raiders,"10' 0.000"""
,,4A,Cynia Clark,Lithonia Bulldogs,"10' 7.750"""
,,3A,Brittany Porter,Towers Titans,"11' 3.000"""
,,2A,Jessica Tuggle,Greater Atlanta Christian Spartans,"10' 0.000"""
,,1A,Lakerria Williams,Warren County Blue Devils,"11' 7.000"""
,Shot Put,5A,Lauren Chambers,Kell Longhorns,"47' 3"""
