"State","Year","Gender","Event","Class","Mark"
"Ohio","2004","Girls","800m","Division II","2:14.15"
"Ohio","2004","Girls","High Jump","Division II","5-06.00"
"Ohio","2004","Girls","Pole Vault","Division II","11-06.00"
"Ohio","2004","Boys","100m","Division III","11.04"
"Ohio","2004","Boys","1600m","Division III","4:17.43"
"Ohio","2004","Boys","800m","Division III","1:54.20"
"Ohio","2004","Boys","High Jump","Division III","6-06.00"
"Ohio","2004","Boys","Pole Vault","Division III","14-08.00"
"Ohio","2004","Girls","100m","Division III","11.81"
"Ohio","2004","Girls","1600m","Division III","4:48.20"
"Ohio","2004","Girls","800m","Division III","2:16.78"
"Ohio","2004","Girls","High Jump","Division III","5-06.00"
"Ohio","2004","Girls","Pole Vault","Division III","11-06.00"
"Ohio","2005","Boys","100m","Division I","10.86"
"Ohio","2005","Boys","1600m","Division I","4:11.20"
"Ohio","2005","Boys","800m","Division I","1:51.18"
"Ohio","2005","Boys","High Jump","Division I","6-07.00"
"Ohio","2005","Boys","Pole Vault","Division I","15-00.00"
"Ohio","2005","Girls","100m","Division I","12.13"
"Ohio","2005","Girls","1600m","Division I","4:45.68"
"Ohio","2005","Girls","800m","Division I","2:11.31"
"Ohio","2005","Girls","High Jump","Division I","5-08.00"
"Ohio","2005","Girls","Pole Vault","Division I","11-03.00"
"Ohio","2005","Boys","100m","Division II","10.93"
"Ohio","2005","Boys","1600m","Division II","4:16.10"
"Ohio","2005","Boys","800m","Division II","1:52.74"
"Ohio","2005","Boys","High Jump","Division II","6-09.00"
"Ohio","2005","Boys","Pole Vault","Division II","15-03.00"
"Ohio","2005","Girls","100m","Division II","12.01"
"Ohio","2005","Girls","1600m","Division II","5:02.36"
"Ohio","2005","Girls","800m","Division II","2:14.26"
"Ohio","2005","Girls","High Jump","Division II","5-06.00"
"Ohio","2005","Girls","Pole Vault","Division II","11-06.00"
"Ohio","2005","Boys","100m","Division III","11.25"
"Ohio","2005","Boys","1600m","Division III","4:17.55"
"Ohio","2005","Boys","800m","Division III","1:53.33"
"Ohio","2005","Boys","High Jump","Division III","6-09.00"
"Ohio","2005","Boys","Pole Vault","Division III","14-09.00"
"Ohio","2005","Girls","100m","Division III","12.37"
"Ohio","2005","Girls","1600m","Division III","5:10.87"
"Ohio","2005","Girls","800m","Division III","2:18.16"
"Ohio","2005","Girls","High Jump","Division III","5-06.00"
"Ohio","2005","Girls","Pole Vault","Division III","11-03.00"
"Ohio","2006","Boys","100m","Division I","10.50"
"Ohio","2006","Boys","1600m","Division I","4:17.26"
"Ohio","2006","Boys","800m","Division I","1:52.82"
"Ohio","2006","Boys","High Jump","Division I","6-08.00"
"Ohio","2006","Boys","Pole Vault","Division I","15-00.00"
"Ohio","2006","Girls","100m","Division I","11.76"
"Ohio","2006","Girls","1600m","Division I","4:51.19"
"Ohio","2006","Girls","800m","Division I","2:10.28"
"Ohio","2006","Girls","High Jump","Division I","5-09.00"
"Ohio","2006","Girls","Pole Vault","Division I","12-00.00"
"Ohio","2006","Boys","100m","Division II","10.72"
"Ohio","2006","Boys","1600m","Division II","4:16.37"
"Ohio","2006","Boys","800m","Division II","1:54.44"
"Ohio","2006","Boys","High Jump","Division II","6-08.00"
"Ohio","2006","Boys","Pole Vault","Division II","14-09.00"
"Ohio","2006","Girls","100m","Division II","12.06"
"Ohio","2006","Girls","1600m","Division II","4:56.17"
"Ohio","2006","Girls","800m","Division II","2:11.22"
"Ohio","2006","Girls","High Jump","Division II","5-05.00"
"Ohio","2006","Girls","Pole Vault","Division II","11-09.00"
"Ohio","2006","Boys","100m","Division III","10.76"
"Ohio","2006","Boys","1600m","Division III","4:16.54"
"Ohio","2006","Boys","800m","Division III","1:54.19"
"Ohio","2006","Boys","High Jump","Division III","6-05.00"
"Ohio","2006","Boys","Pole Vault","Division III","15-03.00"
"Ohio","2006","Girls","100m","Division III","12.04"
"Ohio","2006","Girls","1600m","Division III","5:01.79"
"Ohio","2006","Girls","800m","Division III","2:14.06"
"Ohio","2006","Girls","High Jump","Division III","5-08.00"
"Ohio","2006","Girls","Pole Vault","Division III","11-09.00"
"Ohio","2007","Boys","100m","Division I","10.75"
"Ohio","2007","Boys","1600m","Division I","4:09.89"
"Ohio","2007","Boys","800m","Division I","1:53.10"
"Ohio","2007","Boys","High Jump","Division I","6-09.00"
"Ohio","2007","Boys","Pole Vault","Division I","15-04.00"
"Ohio","2007","Girls","100m","Division I","12.08"
"Ohio","2007","Girls","1600m","Division I","4:41.37"
"Ohio","2007","Girls","800m","Division I","2:08.63"
"Ohio","2007","Girls","High Jump","Division I","5-09.00"
"Ohio","2007","Girls","Pole Vault","Division I","12-01.00"
"Ohio","2007","Boys","100m","Division II","10.80"
"Ohio","2007","Boys","1600m","Division II","4:08.41"
"Ohio","2007","Boys","800m","Division II","1:52.76"
"Ohio","2007","Boys","High Jump","Division II","6-05.00"
"Ohio","2007","Boys","Pole Vault","Division II","16-00.00"
"Ohio","2007","Girls","100m","Division II","12.33"
"Ohio","2007","Girls","1600m","Division II","4:59.16"
"Ohio","2007","Girls","800m","Division II","2:11.96"
"Ohio","2007","Girls","High Jump","Division II","5-07.00"
"Ohio","2007","Girls","Pole Vault","Division II","12-04.00"
"Ohio","2007","Boys","100m","Division III","10.96"
"Ohio","2007","Boys","1600m","Division III","4:16.37"
"Ohio","2007","Boys","800m","Division III","1:51.54"
"Ohio","2007","Boys","High Jump","Division III","6-06.00"
"Ohio","2007","Boys","Pole Vault","Division III","15-04.00"
"Ohio","2007","Girls","100m","Division III","12.40"
"Ohio","2007","Girls","1600m","Division III","4:45.21"
"Ohio","2007","Girls","800m","Division III","2:12.39"
"Ohio","2007","Girls","High Jump","Division III","5-05.00"
"Ohio","2007","Girls","Pole Vault","Division III","12-04.00"
"Ohio","2008","Boys","100m","Division I","10.77"
"Ohio","2008","Boys","1600m","Division I","4:15.90"
"Ohio","2008","Boys","800m","Division I","1:51.54"
"Ohio","2008","Boys","High Jump","Division I","7-00.00"
"Ohio","2008","Boys","Pole Vault","Division I","15-04.00"
"Ohio","2008","Girls","100m","Division I","11.78"
"Ohio","2008","Girls","1600m","Division I","4:47.31"
"Ohio","2008","Girls","800m","Division I","2:09.12"
"Ohio","2008","Girls","High Jump","Division I","5-09.00"
"Ohio","2008","Girls","Pole Vault","Division I","12-04.00"
"Ohio","2008","Girls","Pole Vault","Division I","12-04.00"
"Ohio","2008","Boys","100m","Division II","11.03"
"Ohio","2008","Boys","1600m","Division II","4:12.44"
"Ohio","2008","Boys","800m","Division II","1:50.77"
"Ohio","2008","Boys","High Jump","Division II","7-01.50"
"Ohio","2008","Boys","Pole Vault","Division II","14-08.00"
"Ohio","2008","Girls","100m","Division II","12.39"
"Ohio","2008","Girls","100m","Division II","12.39"
"Ohio","2008","Girls","1600m","Division II","5:02.42"
"Ohio","2008","Girls","800m","Division II","2:16.23"
"Ohio","2008","Girls","High Jump","Division II","5-07.00"
"Ohio","2008","Girls","High Jump","Division II","5-07.00"
"Ohio","2008","Girls","Pole Vault","Division II","12-04.00"
"Ohio","2008","Boys","100m","Division III","11.01"
"Ohio","2008","Boys","1600m","Division III","4:20.65"
"Ohio","2008","Boys","800m","Division III","1:52.54"
"Ohio","2008","Boys","High Jump","Division III","6-10.00"
"Ohio","2008","Boys","Pole Vault","Division III","16-01.50"
"Ohio","2008","Girls","100m","Division III","12.33"
"Ohio","2008","Girls","1600m","Division III","4:49.58"
"Ohio","2008","Girls","800m","Division III","2:09.87"
"Ohio","2008","Girls","High Jump","Division III","5-08.25"
"Ohio","2008","Girls","Pole Vault","Division III","12-05.00"
"Ohio","2010","Boys","100m","Division I","10.64"
"Ohio","2010","Boys","1600m","Division I","4:09.44"
"Ohio","2010","Boys","800m","Division I","1:51.15"
"Ohio","2010","Boys","High Jump","Division I","6-08.00"
"Ohio","2010","Boys","Pole Vault","Division I","16-09.00"
"Ohio","2010","Girls","100m","Division I","11.74"
"Ohio","2010","Girls","1600m","Division I","4:47.37"
"Ohio","2010","Girls","800m","Division I","2:10.36"
"Ohio","2010","Girls","High Jump","Division I","5-11.00"
"Ohio","2010","Girls","Pole Vault","Division I","12-00.00"
"Ohio","2010","Boys","100m","Division II","11.00"
"Ohio","2010","Boys","1600m","Division II","4:17.48"
"Ohio","2010","Boys","800m","Division II","1:52.03"
"Ohio","2010","Boys","High Jump","Division II","6-06.00"
"Ohio","2010","Boys","Pole Vault","Division II","15-08.00"
"Ohio","2010","Girls","100m","Division II","11.97"
"Ohio","2010","Girls","1600m","Division II","5:00.25"
"Ohio","2010","Girls","800m","Division II","2:08.91"
"Ohio","2010","Girls","High Jump","Division II","5-07.00"
"Ohio","2010","Girls","Pole Vault","Division II","12-06.00"
"Ohio","2010","Boys","100m","Division III","11.02"
"Ohio","2010","Boys","1600m","Division III","4:15.76"
"Ohio","2010","Boys","800m","Division III","1:52.57"
"Ohio","2010","Boys","High Jump","Division III","6-07.00"
"Ohio","2010","Boys","Pole Vault","Division III","15-07.00"
"Ohio","2010","Girls","100m","Division III","12.16"
"Ohio","2010","Girls","1600m","Division III","4:57.50"
"Ohio","2010","Girls","800m","Division III","2:12.62"
"Ohio","2010","Girls","High Jump","Division III","5-07.00"
"Ohio","2010","Girls","Pole Vault","Division III","12-03.00"
"Ohio","2011","Boys","100m","Division I","10.74"
"Ohio","2011","Boys","1600m","Division I","4:09.32"
"Ohio","2011","Boys","800m","Division I","1:51.94"
"Ohio","2011","Boys","High Jump","Division I","7-00.00"
"Ohio","2011","Boys","Pole Vault","Division I","17-00.00"
"Ohio","2011","Girls","100m","Division I","11.82"
"Ohio","2011","Girls","1600m","Division I","4:48.10"
"Ohio","2011","Girls","800m","Division I","2:07.35"
"Ohio","2011","Girls","High Jump","Division I","6-01.25"
"Ohio","2011","Girls","Pole Vault","Division I","12-02.00"
"Ohio","2011","Boys","100m","Division II","10.88"
"Ohio","2011","Boys","1600m","Division II","4:16.48"
"Ohio","2011","Boys","800m","Division II","1:51.44"
