"Gender","Year","Name","Mark","Event","State"
"Girls",2018,"Victoria Swepson Research Triangle","2:20.40","800m","North Carolina"
"Girls",2019,"Caroline Todd Cardinal Gibbons","2:15.08","800m","North Carolina"
"Girls",2019," Megan Marvin Chapel Hill","2:13.26","800m","North Carolina"
"Girls",2019,"Faith Younts Patton","2:21.92","800m","North Carolina"
"Girls",2019,"Victoria Swepson Research Triangle","2:18.84","800m","North Carolina"
"Girls",1977,"Julie Shea Cardinal Gibbons","4:43.10","Mile","North Carolina"
"Girls",1978,"Gail Hafley Sanderson","5:05.70","Mile","North Carolina"
"Girls",1979,"Mary Shea Cardinal Gibbons","4:58.00","Mile","North Carolina"
"Girls",1980,"Joan Nesbitt East Mecklenburg","5:05.70","1600m","North Carolina"
"Girls",1981,"Kathy Ormsby Richmond","4:59.00","1600m","North Carolina"
"Girls",1982,"Kathy Ormsby Richmond","4:59.00","1600m","North Carolina"
"Girls",1983,"Kathy Ormsby Richmond","4:56.80","1600m","North Carolina"
"Girls",1984,"Wendy McLees Grimsley","5:05.17","1600m","North Carolina"
"Girls",1985,"Marriane Carraher Lee County","5:18.21","1600m","North Carolina"
"Girls",1986,"Francine Dumas T.C. Roberson","5:02.29","1600m","North Carolina"
"Girls",1986,"Francine Dumas T.C. Roberson","5:02.29","1600m","North Carolina"
"Girls",1986,"Amy Bingham NC Science & Math","5:38.45","1600m","North Carolina"
"Girls",1987,"Cessy Hudson East Burke","5:07.03","1600m","North Carolina"
"Girls",1987,"Francine Dumas T.C. Roberson","5:10.69","1600m","North Carolina"
"Girls",1987,"Maria Trent NC Science & Math","5:35.90","1600m","North Carolina"
"Girls",1988,"Cessy Hudson East Burke","5:10.38","1600m","North Carolina"
"Girls",1988,"Charlotte Smith Shelby","5:23.85","1600m","North Carolina"
"Girls",1988,"Erin Smyth Lejeune","5:24.49","1600m","North Carolina"
"Girls",1989,"Carrie Hoag Garinger","5:13.14","1600m","North Carolina"
"Girls",1989,"Jennifer Olive Enka","5:16.96","1600m","North Carolina"
"Girls",1989,"Erin Smyth Lejeune","5:22.20","1600m","North Carolina"
"Girls",1990,"Kelly Clark Lee County","5:07.79","1600m","North Carolina"
"Girls",1990,"Mia Richardson McMichael","5:24.91","1600m","North Carolina"
"Girls",1990,"Julie Barba Lejeune","5:20.41","1600m","North Carolina"
"Girls",1991,"Ami Herrman Providence","5:04.42","1600m","North Carolina"
"Girls",1991,"Mia Richardson McMichael","5:16.70","1600m","North Carolina"
"Girls",1991,"Karen Godlock Polk County","5:08.84","1600m","North Carolina"
"Girls",1992,"Ami Herrman Providence","4:51.59","1600m","North Carolina"
"Girls",1992,"Mia Richardson McMichael","5:10.94","1600m","North Carolina"
"Girls",1992,"Karen Godlock Polk County","5:06.34","1600m","North Carolina"
"Girls",1993,"Ami Herrman Providence","5:09.92","1600m","North Carolina"
"Girls",1993,"Rebekah Frick East Rowan","5:24.84","1600m","North Carolina"
"Girls",1993,"Karen Godlock Polk County","5:05.69","1600m","North Carolina"
"Girls",1994,"Francis Warner E.E. Smith","4:59.92","1600m","North Carolina"
"Girls",1994," Laura Hughes Sun Valley","5:15.67","1600m","North Carolina"
"Girls",1994,"Amy Knox West Henderson","5:25.60","1600m","North Carolina"
"Girls",1994," Suzanne Shelton East Surry","5:39.44","1600m","North Carolina"
"Girls",1995,"Meredith Faircloth Broughton","5:09.29","1600m","North Carolina"
"Girls",1995," Amanda Becker Fuquay-Varina","5:08.01","1600m","North Carolina"
"Girls",1995,"Sarah Day Ledford","5:25.41","1600m","North Carolina"
"Girls",1995," Kristy Whitaker Murphy","5:31.98","1600m","North Carolina"
"Girls",1996,"Florencia Hunt Hunt","5:09.01","1600m","North Carolina"
"Girls",1996," Amanda Becker Fuquay-Varina","5:05.79","1600m","North Carolina"
"Girls",1996,"Jennifer Dimmsdale Polk County","5:08.18","1600m","North Carolina"
"Girls",1996," Julie Stackhouse Hayesville","5:17.00","1600m","North Carolina"
"Girls",1997,"Fran Lattie Lumberton","5:19.31","1600m","North Carolina"
"Girls",1997," Sarah Vance Goodman T.C. Roberson","5:03.05","1600m","North Carolina"
"Girls",1997,"Sarah Day Ledford","5:13.97","1600m","North Carolina"
"Girls",1997," Kristy Whitaker Murphy","5:31.46","1600m","North Carolina"
"Girls",1998,"Mary Floyd Enloe","5:12.03","1600m","North Carolina"
"Girls",1998," Sarah Vance Goodman T.C. Roberson","5:03.80","1600m","North Carolina"
"Girls",1998,"Heidi Sloop West Wilkes","5:23.26","1600m","North Carolina"
"Girls",1998," Jennifer Dimsdale Polk County","5:19.05","1600m","North Carolina"
"Girls",1999,"Alisha Little East Burke","5:08.40","1600m","North Carolina"
"Girls",1999," Christina Berndt Fred T. Foard","5:10.04","1600m","North Carolina"
"Girls",1999,"Heidi Sloop West Wilkes","5:15.55","1600m","North Carolina"
"Girls",1999," Ariel Glassman Hendersonville","5:15.34","1600m","North Carolina"
"Girls",2000,"Julia Lucas Myers Park","5:05.59","1600m","North Carolina"
"Girls",2000," Danielle Deines T.C. Roberson","5:20.73","1600m","North Carolina"
"Girls",2000,"Heidi Sloop West Wilkes","5:22.04","1600m","North Carolina"
"Girls",2000," Jessie Stackhouse Hayesville","5:37.39","1600m","North Carolina"
"Girls",2001,"Rachel Kitson Chapel Hill","5:11.93","1600m","North Carolina"
"Girls",2001," Alica Valtin Western Harnett","5:08.69","1600m","North Carolina"
"Girls",2001,"Heidi Sloop West Wilkes","5:20.55","1600m","North Carolina"
"Girls",2001," Erika Schneble Hendersonville","5:16.85","1600m","North Carolina"
"Girls",2002,"Julia Lucas Myers Park","5:06.02","1600m","North Carolina"
"Girls",2002," Jessica Collins Eastern Wayne","5:18.76","1600m","North Carolina"
"Girls",2002,"Christal Rayle Randleman","5:30.01","1600m","North Carolina"
"Girls",2002," Erika Schneble Hendersonville","5:06.67","1600m","North Carolina"
"Girls",2003,"Taylor Steelman Mount Tabor","5:06.39","1600m","North Carolina"
"Girls",2003," Hannah Parks Glenn","5:19.48","1600m","North Carolina"
"Girls",2003,"LeighAnn Taylor Monroe","5:18.65","1600m","North Carolina"
"Girls",2003," Kayla Robertson Surry Central","5:15.49","1600m","North Carolina"
"Girls",2004,"Kate Merrill Jordan","5:07.83","1600m","North Carolina"
"Girls",2004," Hannah Parks Glenn","5:22.07","1600m","North Carolina"
"Girls",2004,"LeighAnn Taylor Monroe","5:16.44","1600m","North Carolina"
"Girls",2004," Summer Graham Princeton","5:27.04","1600m","North Carolina"
"Girls",2005,"Aja Jackson Waddell","5:09.76","1600m","North Carolina"
"Girls",2005," Hannah Parks Glenn","5:13.34","1600m","North Carolina"
"Girls",2005,"Christina Moore Pender","5:13.07","1600m","North Carolina"
"Girls",2005," Elisabeth Elliot Polk County","5:33.34","1600m","North Carolina"
"Girls",2006,"Callan Fike Athens Drive","5:06.15","1600m","North Carolina"
"Girls",2006," Hannah McArdle T.C. Roberson","5:18.83","1600m","North Carolina"
"Girls",2006,"Heather Beichner Cardinal Gibbons","5:08.50","1600m","North Carolina"
"Girls",2006," Heather Hoffman Bishop McGuinness","5:26.78","1600m","North Carolina"
"Girls",2007,"Callan Fike Athens Drive","4:59.83","1600m","North Carolina"
"Girls",2007," Ryanna Henderson Jacksonville","5:14.67","1600m","North Carolina"
"Girls",2007,"Heather Beichner Cardinal Gibbons","5:09.50","1600m","North Carolina"
"Girls",2007," Anna Hayes East Wilkes","5:25.99","1600m","North Carolina"
"Girls",2008,"Kimberly Spano N. Mecklenburg","5:07.91","1600m","North Carolina"
"Girls",2008," Kenyetta Iyevbele Olympic","5:07.29","1600m","North Carolina"
"Girls",2008,"Heather Beichner Cardinal Gibbons","4:57.05","1600m","North Carolina"
"Girls",2008," Jade Farlow South Stanly","5:19.02","1600m","North Carolina"
"Girls",2009,"Carolyn Baskir East Chapel Hill","4:56.87","1600m","North Carolina"
"Girls",2009,"  Laura Hoer T.C. Roberson","5:00.31","1600m","North Carolina"
"Girls",2009,"Halsey Merritt Cardinal Gibbons","5:16.82","1600m","North Carolina"
"Girls",2009," Kristen Stout Hendersonville","5:20.96","1600m","North Carolina"
"Girls",2010,"Samantha George Millbrook","4:55.67","1600m","North Carolina"
"Girls",2010," Sarah Rapp Cardinal Gibbons","5:04.10","1600m","North Carolina"
"Girls",2010,"Francesca Perone Carrboro","5:25.44","1600m","North Carolina"
"Girls",2010," Carol Blankenship East Wilkes","5:06.62","1600m","North Carolina"
"Girls",2011,"Samantha George Millbrook","4:58.75","1600m","North Carolina"
"Girls",2011," Sarah Rapp Cardinal Gibbons","5:07.05","1600m","North Carolina"
"Girls",2011,"Grace Morken Carrboro","5:13.09","1600m","North Carolina"
"Girls",2011," Kristen Stout Hendersonville","5:19.32","1600m","North Carolina"
"Girls",2012,"Samantha George Millbrook","4:51.54","1600m","North Carolina"
"Girls",2012," Jentzen Jones Fike","5:13.07","1600m","North Carolina"
"Girls",2012,"Grace Morken Carrboro","5:09.13","1600m","North Carolina"
"Girls",2012," Elizabeth Lackey Hendersonville","5:25.27","1600m","North Carolina"
"Girls",2013,"Mattie Blue Broughton","5:02.52","1600m","North Carolina"
"Girls",2013," Blake Dodge West Carteret","4:59.35","1600m","North Carolina"
"Girls",2013,"Grace Morken Carrboro","5:13.00","1600m","North Carolina"
"Girls",2013," Malia Ellington Comm. Sch. Davidson","5:01.37","1600m","North Carolina"
"Girls",2014,"Blair Ramsey Grimsley","4:57.20","1600m","North Carolina"
"Girls",2014," Anna Vess A.C. Reynolds","5:00.39","1600m","North Carolina"
"Girls",2014,"Maysa Araba Carrboro","5:03.52","1600m","North Carolina"
"Girls",2014," Malia Ellington Comm. Sch. Davidson","4:59.88","1600m","North Carolina"
"Girls",2015,"Elly Henes Green Hope","4:58.84","1600m","North Carolina"
"Girls",2015," Anna Vess A.C. Reynolds","5:03.49","1600m","North Carolina"
"Girls",2015,"Maysa Araba Carrboro","4:55.78","1600m","North Carolina"
"Girls",2015," Malia Ellington Comm.Sch. Davidson","5:04.85","1600m","North Carolina"
"Girls",2016,"Nevada Mareno Leesville Road","4:51.57","1600m","North Carolina"
"Girls",2016," Anna Vess A.C. Reynolds","5:00.09","1600m","North Carolina"
"Girls",2016,"Brittany Stanley Mount Pleasant","4:59.96","1600m","North Carolina"
"Girls",2016," Jo Snow Mount Airy","5:22.39","1600m","North Carolina"
"Girls",2017,"Isabel Zimmerman Reagan","5:00.46","1600m","North Carolina"
"Girls",2017," Sarah LaTour Cuthbertson","5:03.03","1600m","North Carolina"
"Girls",2017,"Mariah Howlett Lake Norman Charter","5:03.80","1600m","North Carolina"
"Girls",2017," Caitlyn Burkett Franklin Academy","5:21.43","1600m","North Carolina"
"Girls",2018,"Carmen Alder Pinecrest","4:57.84","1600m","North Carolina"
"Girls",2018," Elise Wright T.C. Roberson","5:01.52","1600m","North Carolina"
"Girls",2018,"Mariah Howlett Lake Norman Charter","5:00.67","1600m","North Carolina"
"Girls",2018," Victoria Swepson Research Triangle","5:21.52","1600m","North Carolina"
"Girls",2019,"Carmen Alder Pinecrest","5:03.98","1600m","North Carolina"
"Girls",2019," Hayley Whoolery West Johnston","5:02.12","1600m","North Carolina"
"Girls",2019,"Angie Allen North Lincoln","5:10.87","1600m","North Carolina"
"Girls",2019," Victoria Swepson Research Triangle","5:25.68","1600m","North Carolina"
"Boys",1977,"Gary Parmeley West Carteret","6’08.00”","High Jump","North Carolina"
"Boys",1978,"Robert Hicks Scotland","6’10.00”","High Jump","North Carolina"
"Boys",1979,"Mike Ripberger Cary","6’06.00”","High Jump","North Carolina"
"Boys",1980,"Mike Ripberger Cary","6’08.50”","High Jump","North Carolina"
"Boys",1981,"Charles Mack North Forsyth","6’10.25”","High Jump","North Carolina"
"Boys",1982,"Lenwood Harris West Craven","6’10.50”","High Jump","North Carolina"
"Boys",1983,"James Patterson Fuquay-Varina","6’09.00”","High Jump","North Carolina"
"Boys",1984,"James McDonald Scotland","6’10.00”","High Jump","North Carolina"
"Boys",1985,"James McDonald Scotland","6’10.00”","High Jump","North Carolina"
"Boys",1986,"Larry Patterson Cary","6’08.00”","High Jump","North Carolina"
"Boys",1986,"Larry Patterson Cary","6’08.00”","High Jump","North Carolina"
"Boys",1986,"Carl Pickens Murphy","6’10.00”","High Jump","North Carolina"
"Boys",1987,"Darren Moore J.H. Rose","7’01.00”","High Jump","North Carolina"
"Boys",1987,"Mike Neely T.W. Andrews","6’08.00”","High Jump","North Carolina"
"Boys",1987,"Carl Pickens Murphy","6’08.00”","High Jump","North Carolina"
"Boys",1988,"Rob Thomas R.J. Reynolds","7’00.00”","High Jump","North Carolina"
"Boys",1988,"Bobby Wooten SouthWest Edgecombe","6’04.00”","High Jump","North Carolina"
"Boys",1988,"Carl Pickens Murphy","6’06.00”","High Jump","North Carolina"
"Boys",1989,"Robert Thomas Glenn","7’00.00”","High Jump","North Carolina"
"Boys",1989,"Joe Montford East Carteret","6’06.00”","High Jump","North Carolina"
"Boys",1989,"Andre Irving Thomasville","6’08.00”","High Jump","North Carolina"
"Boys",1990,"Jon DeBarry Richmond","6’10.00”","High Jump","North Carolina"
"Boys",1990,"Shawn Miller Salisbury","6’08.25”","High Jump","North Carolina"
"Boys",1990,"Travis Banks Clinton","6’09.00”","High Jump","North Carolina"
"Boys",1991,"Omarr Dixon Athens Drive","6’08.00”","High Jump","North Carolina"
"Boys",1991,"Robert Tucker Harnett Central","6’09.00”","High Jump","North Carolina"
"Boys",1991,"Travis Banks Clinton","6’08.00”","High Jump","North Carolina"
"Boys",1992,"Omarr Dixon Athens Drive","6’10.00”","High Jump","North Carolina"
"Boys",1992,"George Simmons Southeast Guilford","6’06.00”","High Jump","North Carolina"
"Boys",1992,"Nate Frink West Columbus","6’08.00”","High Jump","North Carolina"
"Boys",1993,"Tavores Vanhook Williams","6’10.00”","High Jump","North Carolina"
"Boys",1993,"Marcus Caldwell Lexington","6’09.50”","High Jump","North Carolina"
"Boys",1993,"Odell Benders East Carteret","6’10.25”","High Jump","North Carolina"
"Boys",1994,"Damien Bennett Anson","6’08.00”","High Jump","North Carolina"
"Boys",1994,"  Joe Wilson South Iredell","6’06.00”","High Jump","North Carolina"
"Boys",1994," Odell Benders East Carteret","6’06.00”","High Jump","North Carolina"
"Boys",1994," Milton Landers Hayesville","6’04.00”","High Jump","North Carolina"
"Boys",1995,"Ramondo North West Charlotte","6’06.00”","High Jump","North Carolina"
"Boys",1995,"  Derek Frink West Brunswick","6’11.00”","High Jump","North Carolina"
"Boys",1995," Dwaine Carpenter W. Montgomery","6’04.00”","High Jump","North Carolina"
"Boys",1995," Tony Cooper West Davidson","6’04.00”","High Jump","North Carolina"
"Boys",1996,"Tedrick Greene Ben L. Smith","6’06.00”","High Jump","North Carolina"
"Boys",1996,"  Lamont Watlington Williams","6’08.00”","High Jump","North Carolina"
"Boys",1996," James Farrior James Kenan","6’08.00”","High Jump","North Carolina"
"Boys",1996," Dwayne Berry Richlands","6’02.00”","High Jump","North Carolina"
"Boys",1997,"Temercus McNeil Sanderson","6’06.00”","High Jump","North Carolina"
"Boys",1997,"  William Montgomery T.C. Roberson","6’08.00”","High Jump","North Carolina"
"Boys",1997," Jermichael Watts Bunker Hill","6’06.00”","High Jump","North Carolina"
"Boys",1997," Rashad Johnson North Moore","6’04.00”","High Jump","North Carolina"
"Boys",1998,"Brandon Brown A.C. Reynolds","6’10.00”","High Jump","North Carolina"
"Boys",1998,"  William Montgomery T.C. Roberson","6’10.00”","High Jump","North Carolina"
"Boys",1998," Gabrial Striblin SW Randolph","6’04.00”","High Jump","North Carolina"
"Boys",1998," Warren Neely Thomasville","6’07.00”","High Jump","North Carolina"
"Boys",1999,"A.J. Davis No. Durham","6’06.00”","High Jump","North Carolina"
"Boys",1999,"  Michael Massey Asheboro","6’08.00”","High Jump","North Carolina"
"Boys",1999," Tony Henderson Warren County","6’06.00”","High Jump","North Carolina"
"Boys",1999," Antwan Neeley Thomasville","6’08.00”","High Jump","North Carolina"
"Boys",2000,"Jesse Williams Broughton","6’08.00”","High Jump","North Carolina"
"Boys",2000,"  Michael Massey Asheboro","6’08.00”","High Jump","North Carolina"
"Boys",2000," Tony Henderson Warren County","6’08.00”","High Jump","North Carolina"
"Boys",2000," Larry Perry Bunn","6’04.00”","High Jump","North Carolina"
"Boys",2001,"Jesse Williams Broughton","7’02.00”","High Jump","North Carolina"
"Boys",2001,"  Namier Majette Hertford County","6’08.00”","High Jump","North Carolina"
"Boys",2001," Shawn Williams South Columbus","6’06.00”","High Jump","North Carolina"
"Boys",2001," Marcus Poteat Graham","6’06.00”","High Jump","North Carolina"
"Boys",2002,"Jesse Williams Broughton","7’02.00”","High Jump","North Carolina"
"Boys",2002,"  Jason Williams West Rowan","6’08.00”","High Jump","North Carolina"
"Boys",2002," Marcus Poteat Graham","6’10.00”","High Jump","North Carolina"
"Boys",2002," Dakota Dunn East Montgomery","6’08.00”","High Jump","North Carolina"
"Boys",2003,"Gordon Smith Northern Nash","6’06.00”","High Jump","North Carolina"
"Boys",2003,"  Jason Williams West Rowan","6’10.00”","High Jump","North Carolina"
"Boys",2003," Daniel Smith North Henderson","6’06.00”","High Jump","North Carolina"
"Boys",2003," Dakota Dunn East Montgomery","7’00.00”","High Jump","North Carolina"
"Boys",2004,"Gordon Smith Northern Nash","6’08.00”","High Jump","North Carolina"
"Boys",2004,"  Cedrick Wilkerson J.F. Webb","6’06.00”","High Jump","North Carolina"
"Boys",2004," Oneal Chestnut Chase","6’10.00”","High Jump","North Carolina"
"Boys",2004," Dakota Dunn East Montgomery","6’08.00”","High Jump","North Carolina"
"Boys",2005,"Joe Kindred Fuquay-Varina","6’06.00”","High Jump","North Carolina"
"Boys",2005,"  Nathan Summerville Fike","6’10.00”","High Jump","North Carolina"
"Boys",2005," Demarcus Stallings North Rowan","6’08.00”","High Jump","North Carolina"
"Boys",2005," Clint McNeilly Robbinsville","6’02.00”","High Jump","North Carolina"
"Boys",2006,"Tim Lovick Garner","6’08.00”","High Jump","North Carolina"
"Boys",2006,"  Eric Davis Eastern Randolph","6’04.00”","High Jump","North Carolina"
"Boys",2006," Thomas Huntley East Lincoln","6’06.00”","High Jump","North Carolina"
"Boys",2006," Dewayne Ashburn South Stokes","6’06.00”","High Jump","North Carolina"
"Boys",2007,"Jake Wainwright J.M. Robinson","6’06.00”","High Jump","North Carolina"
"Boys",2007,"  Derrick Ross Union Pines","6’08.00”","High Jump","North Carolina"
"Boys",2007," Jarvis Craig Monroe","6’02.00”","High Jump","North Carolina"
"Boys",2007," Kurtis Hackney Pamlico","6’06.00”","High Jump","North Carolina"
"Boys",2008,"Darius Purcell E.E. Smith","6’07.00”","High Jump","North Carolina"
"Boys",2008,"  Derrick Ross Union Pines","6’08.00”","High Jump","North Carolina"
"Boys",2008," Centrail Williamson Bunker Hill","6’06.00”","High Jump","North Carolina"
"Boys",2008," Quinton Lindsey Thomasville","6’06.00”","High Jump","North Carolina"
"Boys",2009,"Jeffrey Johnson J.H. Rose","6’08.00”","High Jump","North Carolina"
"Boys",2009,"  Billy Simiton A.L. Brown","6’06.00”","High Jump","North Carolina"
"Boys",2009," Spenser Sydney East Lincoln","6’08.00”","High Jump","North Carolina"
"Boys",2009," Justin Collier Mt. Airy","6’04.00”","High Jump","North Carolina"
"Boys",2010,"Steven Bell SE Raleigh","6’06.00”","High Jump","North Carolina"
"Boys",2010,"  Joseph Matthews Western Harnett","6’06.00”","High Jump","North Carolina"
"Boys",2010," Tanner Anderson East Burke","7’02.50”","High Jump","North Carolina"
"Boys",2010," Jurious Johnson W-S Prep","6’04.00”","High Jump","North Carolina"
"Boys",2011,"Daryl Saunders Garner","6’08.00”","High Jump","North Carolina"
"Boys",2011,"  Maurice Morgan North Lenoir","6’06.00”","High Jump","North Carolina"
"Boys",2011," Will Thomas Topsail","6’06.00”","High Jump","North Carolina"
"Boys",2011," Grant Rivers Hendersonville","6’04.00”","High Jump","North Carolina"
"Boys",2012,"Jonathan Addison Enloe","6’08.00”","High Jump","North Carolina"
"Boys",2012,"  Josh King Fike","6’08.00”","High Jump","North Carolina"
"Boys",2012," Will Thomas Topsail","6’08.00”","High Jump","North Carolina"
"Boys",2012," Grant Rivers Hendersonville","6’06.00”","High Jump","North Carolina"
"Boys",2013,"Jesse Freeman Harnett Central","6’06.00”","High Jump","North Carolina"
"Boys",2013,"  Jaquell Bryant Rocky Mount","6’06.00”","High Jump","North Carolina"
"Boys",2013," Tevin Bates Greene Central","6’06.00”","High Jump","North Carolina"
"Boys",2013," Samuel Allen West Wilkes","6’08.00”","High Jump","North Carolina"
"Boys",2014,"Lamar Nobles Holly Springs","6’06.00”","High Jump","North Carolina"
"Boys",2014,"  Christopher Garrick Marvin Ridge","6’08.00”","High Jump","North Carolina"
"Boys",2014," Terrance Brown North Brunswick","6’07.00”","High Jump","North Carolina"
"Boys",2014," Mason Fenner Thomas Jefferson","6’04.00”","High Jump","North Carolina"
"Boys",2015,"Keon Howe Mallard Creek","6’10.00”","High Jump","North Carolina"
"Boys",2015,"  Christopher Garrick Marvin Ridge","6’08.00”","High Jump","North Carolina"
"Boys",2015," Desmond Lindsey Forest Hill","6’06.00”","High Jump","North Carolina"
"Boys",2015," D.C. Braswell Avery County","6’02.00”","High Jump","North Carolina"
"Boys",2016,"Joseph Ibrahim West Forsyth","6’08.00”","High Jump","North Carolina"
"Boys",2016,"  J.T. Reid Piedmont","6’04.00”","High Jump","North Carolina"
"Boys",2016," Desmond Lindsey Forest Hill","6’08.00”","High Jump","North Carolina"
"Boys",2016," Jacob Lewis Robbinsville","6’04.00”","High Jump","North Carolina"
"Boys",2017,"Seth Clyburn West Forsyth","6’08.00”","High Jump","North Carolina"
"Boys",2017,"  Gabriel Stainback Concord","6’06.00”","High Jump","North Carolina"
"Boys",2017," Jaquarii Roberson Hertford County","6’06.00”","High Jump","North Carolina"
"Boys",2017," Denzel Hayes Walkertown","6’06.00”","High Jump","North Carolina"
"Boys",2018,"Idris Bernard Mallard Creek","6’08’00”","High Jump","North Carolina"
"Boys",2018,"  Jeremiah Ganaway Hunt","6’06.00”","High Jump","North Carolina"
"Boys",2018," Landon Parker Mount Pleasant","6’08.00”","High Jump","North Carolina"
"Boys",2018," Ysade Sykes Weldon","6’04.00”","High Jump","North Carolina"
"Boys",2019,"Charles McBride Apex","7’01.00”","High Jump","North Carolina"
"Boys",2019,"  Jieem Bullock North Brunswick","6’08.00”","High Jump","North Carolina"
"Boys",2019," Alex Reavis Bandys","6’08.00”","High Jump","North Carolina"
"Boys",2019," Ysade Sykes Weldon","6’04.00”","High Jump","North Carolina"
"Boys",1977,"David Forsythe South Granville","13’07.00”","Pole Vault","North Carolina"
"Boys",1978,"Alvin Charleston East Rowan","15’01.00”","Pole Vault","North Carolina"
"Boys",1979,"Alvin Charleston East Rowan","14’00.00”","Pole Vault","North Carolina"
"Boys",1980,"Joshua Charleston East Rowan","14’00.00”","Pole Vault","North Carolina"
"Boys",1981,"Mike Thurber J.H. Rose","15’02.00”","Pole Vault","North Carolina"
"Boys",1982,"Steve Edwards Myers Park","14’06.00”","Pole Vault","North Carolina"
"Boys",1983,"Donald Long Thomasville","13’06.00”","Pole Vault","North Carolina"
"Boys",1984,"Mike Schell White Oak","14’00.00”","Pole Vault","North Carolina"
"Boys",1985,"Tim Swain Ledford","14’00.00”","Pole Vault","North Carolina"
"Boys",1986,"Bruce Raynor Pine Forest","13’00.00”","Pole Vault","North Carolina"
"Boys",1986,"Bruce Raynor Pine Forest","13’00.00”","Pole Vault","North Carolina"
"Boys",1986,"Phillipe Williams Salisbury","13’06.00”","Pole Vault","North Carolina"
"Boys",1987,"Sy Creed Scotland County","14’00.00”","Pole Vault","North Carolina"
"Boys",1987,"John Madsen High Point Central","13’06.00”","Pole Vault","North Carolina"
"Boys",1987,"Maxwell Thompson Hendersonville","13’06.00”","Pole Vault","North Carolina"
"Boys",1988,"Chris Lamb Laney","13’06.00”","Pole Vault","North Carolina"
"Boys",1988,"Bryant Noles Sun Valley","13’06.00”","Pole Vault","North Carolina"
"Boys",1988,"Maxwell Thompson Hendersonville","14’00.00”","Pole Vault","North Carolina"
"Boys",1989,"Maurice Hilliard Smithfield-Selma","13’06’00”","Pole Vault","North Carolina"
"Boys",1989,"Jeff Allen East Wake","14’07.75”","Pole Vault","North Carolina"
"Boys",1989,"Nathan Pardo West Wilkes","13’07.50”","Pole Vault","North Carolina"
"Boys",1990,"Ed Monroe Pinecrest","14’00.00”","Pole Vault","North Carolina"
"Boys",1990,"Eric Sellars Western Alamance","13’06.00”","Pole Vault","North Carolina"
"Boys",1990,"Josh Harrell Northwood","13’06.00”","Pole Vault","North Carolina"
"Boys",1991,"Bobby Hostler Chapel Hill","13’00.00”","Pole Vault","North Carolina"
"Boys",1991,"Shannon Pope T.W. Andrews","14’09.00”","Pole Vault","North Carolina"
"Boys",1991,"Reggie Pickett East Duplin","12’00.00”","Pole Vault","North Carolina"
"Boys",1992,"Richard Kratz Ashbrook","14’00.00”","Pole Vault","North Carolina"
"Boys",1992,"Shannon Pope T.W. Andrews","15’03.75”","Pole Vault","North Carolina"
"Boys",1992,"Cameron McIver Fuquay-Varina","13’06.00”","Pole Vault","North Carolina"
"Boys",1993,"Mike Welch Millbrook","14’00.00”","Pole Vault","North Carolina"
"Boys",1993,"Matt Jones West Henderson","13’00.00”","Pole Vault","North Carolina"
"Boys",1993,"Adrian Pitts Manteo","12’06.00”","Pole Vault","North Carolina"
"Boys",1994,"Joel Freeman Northern Nash","15’00.00”","Pole Vault","North Carolina"
"Boys",1994," Jay Kanekoa North Buncombe","14’00.00”","Pole Vault","North Carolina"
"Boys",1994,"Adrian Pitts Manteo","13’00.00”","Pole Vault","North Carolina"
"Boys",1994," Bradley Hicks North Stokes","14’00.00”","Pole Vault","North Carolina"
"Boys",1995,"Jason Knightlinger Northern Nash","13’00.00”","Pole Vault","North Carolina"
"Boys",1995," Ben Dorsey Erwin","14’00.00”","Pole Vault","North Carolina"
"Boys",1995,"Tim Thomas North Henderson","13’06.00”","Pole Vault","North Carolina"
"Boys",1995," Torry Nergart North Stokes","12’00.00”","Pole Vault","North Carolina"
"Boys",1996,"Lito Ajejo Freedom","13’06.00”","Pole Vault","North Carolina"
"Boys",1996," Bride McBride NE Guilford","13’06.00”","Pole Vault","North Carolina"
"Boys",1996,"Tim Thomas North Henderson","14’09.00”","Pole Vault","North Carolina"
"Boys",1996," Justin Scott Lejeune","12’06.00”","Pole Vault","North Carolina"
"Boys",1997,"Dan Sarisky Broughton","14’00.00”","Pole Vault","North Carolina"
"Boys",1997," Matt Price East Rowan","14’06.00”","Pole Vault","North Carolina"
"Boys",1997,"Galen Foreman Hendersonville","12’06.00”","Pole Vault","North Carolina"
"Boys",1997," Tony Nergart North Stokes","13’00.00”","Pole Vault","North Carolina"
"Boys",1998,"Chris McMillian Apex","13’00.00”","Pole Vault","North Carolina"
"Boys",1998," Matt Price East Rowan","14’06.00”","Pole Vault","North Carolina"
"Boys",1998,"Brian Pierce Tarboro","14’00.00”","Pole Vault","North Carolina"
"Boys",1998," Randy Sutton Graham","11’06.00”","Pole Vault","North Carolina"
"Boys",1999,"Steve Taylor Leesville Road","14’02.00”","Pole Vault","North Carolina"
"Boys",1999," Matt Price East Rowan","15’00.00”","Pole Vault","North Carolina"
"Boys",1999,"Brian Pierce Tarboro","14’10.00”","Pole Vault","North Carolina"
"Boys",1999," Jonathan Walter South Stanly","12’06.00”","Pole Vault","North Carolina"
"Boys",2000,"Josh Hyde Apex","14’06.00”","Pole Vault","North Carolina"
"Boys",2000," Clinton Taylor Franklin","13’00.00”","Pole Vault","North Carolina"
"Boys",2000,"Brandon Clark Mount Pleasant","14’06.00”","Pole Vault","North Carolina"
