Column1,Column2,Column3
"2012Fitchburg State, MA",(B) 1 MILE4:07.88,Josh LampronMansfield
"2012Fitchburg State, MA",(B) Javelin182-06,TJ NoonanTrinity Catholic
"2012Fitchburg State, MA",(B) Triple Jump46-03.25,Dana PagliucaXaverian Brothers
"2012Fitchburg State, MA",(G) Team Champion52,Newton NorthNewton North
"2012Fitchburg State, MA",(G) Long Jump19-01.00,Carla ForbesNewton North
"2012Fitchburg State, MA",(G) 220y / 200M24.72,Rebecca RobinsonArlington
"2012Fitchburg State, MA",(B) 4x440 / 4x4003:21.46,"Dominic Abacherli, Nick Usoff, Andrew Doelp, Brian SommersActon-Boxborough"
"2012Fitchburg State, MA",(B) Team Champion49,MansfieldMansfield
"2012Fitchburg State, MA",(B) 180y / 330y / 300M / 400M Hurdles53.73,Cameron HebertMasconomet
"2012Fitchburg State, MA",(B) 2 MILE9:07.44,Colin BennieWachusett
"2012Fitchburg State, MA",(B) Shot Put57-10.25,Eric BeckwithNorth Attleboro
"2011Bridgewater State, MA",(B) 1 MILE4:19.24,Wesley GallagherPembroke
"2011Bridgewater State, MA",(B) Javelin209-11,Kyle QuinnSomerset Berkley
"2011Bridgewater State, MA",(B) Shot Put55-07.25,Tresley DupontDurfee
"2011Bridgewater State, MA",(G) 4x440 / 4x4003:57.24,"Moira Cronin, Eve Bishop, Sydney Eberth, Rae BronenkantAndover"
"2011Bridgewater State, MA",(B) 2 MILE9:07.42,Shayne CollinsMansfield
"2011Bridgewater State, MA",(B) Team Champion49,MansfieldMansfield
"2011Bridgewater State, MA",(G) 880y / 800m2:10.41,Andrea KeklakLincoln-Sudbury
"2011Bridgewater State, MA",(B) High Jump6-08.00,Khary Bailey-SmithWeymouth
"2011Bridgewater State, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles14.25,Vanessa ClerveauxBrockton
"2011Bridgewater State, MA",(B) 220y / 200M21.85,Ian PeuserRockland
"2011Bridgewater State, MA",(B) 880y / 800m1:54.03,Josh LampronMansfield
"2011Bridgewater State, MA",(G) 440y / 400M56.22,Rebecca RobinsonArlington
"2011Bridgewater State, MA",(B) Discus167-10,Brian SullivanHingham
"2011Bridgewater State, MA",(B) 4x440 / 4x4003:20.02,#NAME?
"2011Bridgewater State, MA",(G) 220y / 200M24.95,Cory RyanNorwood
"2011Bridgewater State, MA",(B) Pole Vault15-00.00,Brendan SullivanWestford Academy
"2011Bridgewater State, MA",(G) Javelin141-02,Meghan McHughNorth Attleboro
"2011Bridgewater State, MA",(B) 100y / 100M10.80,Brett BuskeyBlackstone-Millville
"2011Bridgewater State, MA",(B) Triple Jump45-04.50,Olisa ObiefunaSaugus
"2011Bridgewater State, MA",(B) Long Jump23-03.00,Olisa ObiefunaSaugus
"2011Bridgewater State, MA",(B) 4x110y / 4x100M42.51,"Troy Cayon, Pat Farnham, Adam Carrington, Brian KnappAndover"
"2011Bridgewater State, MA",(G) Pole Vault11-00.00,Karla GanleyWellesley
"2011Bridgewater State, MA",(G) Team Champion39,Newton NorthNewton North
"2011Bridgewater State, MA",(G) 1 MILE5:00.43,Marika CroweLincoln-Sudbury
"2011Bridgewater State, MA",(G) 4x110y / 4x100M48.62,#NAME?
"2011Bridgewater State, MA",(B) 180y / 330y / 300M / 400M Hurdles54.29,Chris PullertisActon-Boxborough
"2011Bridgewater State, MA",(G) Long Jump18-11.25,Nadia EkeHoly Name Central Catholic
"2011Bridgewater State, MA",(B) 440y / 400M48.48,Nathan Pierre-LouisWaltham
"2011Bridgewater State, MA",(G) Triple Jump41-06.00,Nadia EkeHoly Name Central Catholic
"2011Bridgewater State, MA",(G) 4X8009:16.11,#NAME?
"2011Bridgewater State, MA",(G) 2 MILE10:54.47,Catarina RochaPeabody
"2011Bridgewater State, MA",(B) 4X8007:53.00,#NAME?
"2011Bridgewater State, MA",(G) High Jump5-08.00,Moira CroninAndover
"2011Bridgewater State, MA",(G) Shot Put43-00.75,Courtney WilliamsNew Bedford
"2011Bridgewater State, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.55,Josh QuinnieAttleboro
"2011Bridgewater State, MA",(G) 100y / 100M12.23,Emma RiceBoston Latin
"2011Bridgewater State, MA",(G) Discus126-04,Adrienne ThorntonJD O'Bryant
"2011Bridgewater State, MA",(G) 180y / 330y / 300M / 400M Hurdles59.52,Alex StantonMedfield
"2010Westfield State, MA",(B) 220y / 200M21.93,Francesco CuestaLawrence
"2010Westfield State, MA",(B) 4X8007:52.45,"Stephen Lilja, Cameron Kelley, Ben Pare, Jared ReddyMethuen"
"2010Westfield State, MA",(B) 180y / 330y / 300M / 400M Hurdles53.53,Aaron AraujoNew Bedford
"2010Westfield State, MA",(G) 2 MILE10:52.60,Millie ChapmanBeverly
"2010Westfield State, MA",(G) Triple Jump41-01.50,Carla ForbesNewton North
"2010Westfield State, MA",(G) Pole Vault11-00.00,Stephanie BrownNewton North
"2010Westfield State, MA",(G) Javelin141-03,Nika OuelletteBrookline
"2010Westfield State, MA",(G) Team Champion40,Newton NorthNewton North
"2010Westfield State, MA",(G) 440y / 400M56.16,Hannah O'FlynnIpswich
"2010Westfield State, MA",(B) Pole Vault15-00.00,Ross McDonaldNewton South
"2010Westfield State, MA",(B) 4x440 / 4x4003:19.06,"Kerrick Stevens, Troy Caynon, Connor O'Neil, Mark VetereAndover"
"2010Westfield State, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles14.60,Deanna LathamTriton
"2010Westfield State, MA",(G) 100y / 100M12.12,Jen ChristianSpringfield Central
"2010Westfield State, MA",(G) 880y / 800m2:12.89,Andrea KeklakLincoln-Sudbury
"2010Westfield State, MA",(B) 1 MILE4:13.20,Byron JonesWestborough
"2010Westfield State, MA",(B) Javelin202-06,Kyle QuinnSomerset Berkley
"2010Westfield State, MA",(B) High Jump6-06.00,Corey FairfieldMillis
"2010Westfield State, MA",(G) 4x440 / 4x4003:56.02,"Jessica Bridle, Ashley Toland, Karie Judge, Leanne TuckerTewksbury Memorial"
"2010Westfield State, MA",(G) 1 MILE4:56.09,Monica AdlerBeverly
"2010Westfield State, MA",(G) 4X8009:19.00,"Emily Rudder, Leah Potter, Andrea Keklak, Marika CroweLincoln-Sudbury"
"2010Westfield State, MA",(G) Shot Put39-09.50,Jessica EasonMansfield
"2010Westfield State, MA",(G) Team Champion49,AndoverAndover
"2010Westfield State, MA",(B) 100y / 100M10.75,Christopher McConellAndover
"2010Westfield State, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.16,Jonathan GomesNew Bedford
"2010Westfield State, MA",(G) Discus127-02,Krista ChauvinSeekonk
"2010Westfield State, MA",(G) 220y / 200M24.77,Rebecca RobinsonArlington
"2010Westfield State, MA",(B) Triple Jump45-09.25,Olisa ObiefunaSaugus
"2010Westfield State, MA",(B) 440y / 400M48.45,Jared KadichSt. Johns Prep
"2010Westfield State, MA",(G) Long Jump19-03.00,Deanna Latham Triton
"2010Westfield State, MA",(G) High Jump5-07.00,Kristen McDonaghMasfield
"2010Westfield State, MA",(B) Shot Put60-07.00,Samuel BombaughFalmouth
"2010Westfield State, MA",(B) 2 MILE9:04.87,John BledayXaverian Brothers
"2010Westfield State, MA",(B) Long Jump23-08.25,Jackson MacDonaldHamilton-Wenham
"2010Westfield State, MA",(B) 880y / 800m1:53.97,Clint BurnsWhitman-Hanson
"2010Westfield State, MA",(B) Discus170-08,Andrew TallmanBoston College HS
"2010Westfield State, MA",(G) 180y / 330y / 300M / 400M Hurdles1:01.21,Meagan KrumpochShrewsbury
"2010Westfield State, MA",(G) 4x110y / 4x100M48.42,"Terra Organisciak, Eve Bishop, Vanessa Singleton, Kayla BaldwinAndover"
"2010Westfield State, MA",(B) 4x110y / 4x100M42.37,"Patrick Farnham, Kerrick Stevens, Troy Caynon, Christopher McConellAndover"
"2009Fitchburg State , MA",(B) 2 MILE9:16.90,Coby HorowitzNashoba
"2009Fitchburg State , MA",(G) 220y / 200M24.80,Hannah JaneczakDoherty Memorial
"2009Fitchburg State , MA",(G) Javelin133-10,Stefanie DanehyMedway
"2009Fitchburg State , MA",(B) High Jump6-11.00,Noel JamesWhitman-Hanson
"2009Fitchburg State , MA",(B) 880y / 800m1:52.66,Nick WadeNorth Attleboro
"2009Fitchburg State , MA",(B) 220y / 200M21.66,Evan WhiteTewksbury Memorial
"2009Fitchburg State , MA",(G) Long Jump19-04.50,Deanna LathamTriton
"2009Fitchburg State , MA",(B) 4x110y / 4x100M43.05,"Ramses Rafael, Francesco Cuesta, Kevin Valerio, Francis NovaLawrence"
"2009Fitchburg State , MA",(B) Long Jump23-02.25,Samuel ArsenaultNewton North
"2009Fitchburg State , MA",(B) Javelin195-11,Justin SiekierskiMinnechaug
"2009Fitchburg State , MA",(B) Pole Vault14-06.00,Mark VetereAndover
"2009Fitchburg State , MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.16,Yong ChoNewton South
"2009Fitchburg State , MA",(G) Discus140-07,Kelly AllenNorton
"2009Fitchburg State , MA",(G) Pole Vault12-02.00,Jillena DeCarteretNarragansett
"2009Fitchburg State , MA",(B) Shot Put59-07.75,Samuel BombaughFalmouth
"2009Fitchburg State , MA",(B) 1 MILE4:14.54,Byron JonesWestborough
"2009Fitchburg State , MA",(B) Discus178-00,Andrew TallmanBoston College HS
"2009Fitchburg State , MA",(G) 4x440 / 4x4003:53.01,"Katie Jenkins, Emily Broyles, Erika Unger, Michelle JenssenMansfield"
"2009Fitchburg State , MA",(G) 440y / 400M56.54,Emily BroylesMansfield
"2009Fitchburg State , MA",(B) 4x440 / 4x4003:22.19,"Mark Vetere, Connor O'Neil, Brendan Crawford, Rob MartinAndover"
"2009Fitchburg State , MA",(G) 2 MILE10:26.38,Emily JonesBromfield
"2009Fitchburg State , MA",(B) 4X8007:55.06,#NAME?
"2009Fitchburg State , MA",(G) 4x110y / 4x100M47.92,"Christy Deininger, Julianne Cappadona, Lauren Goldberg, Carolyn UdallNorth Attleboro"
"2009Fitchburg State , MA",(B) Team Champion38.5,AndoverAndover
"2009Fitchburg State , MA",(B) 180y / 330y / 300M / 400M Hurdles54.02,Davis VanOpdorpWinchester
"2009Fitchburg State , MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles14.54,Meghan FerreoraMansfield
"2009Fitchburg State , MA",(B) 100y / 100M10.85,Vinnie LeeWalpole
"2009Fitchburg State , MA",(G) 180y / 330y / 300M / 400M Hurdles1:02.82,Michelle JenssenMansfield
"2009Fitchburg State , MA",(G) Team Champion62,MansfieldMansfield
"2009Fitchburg State , MA",(G) 100y / 100M12.19,Jen Christian Springfield Central
"2009Fitchburg State , MA",(G) 4X8009:15.83,"Claire Arthur, Ellie Hylton, Andrea Keklak, Marika CroweLincoln-Sudbury"
"2009Fitchburg State , MA",(G) 880y / 800m2:14.13,Margo GillisNewton North
"2009Fitchburg State , MA",(G) High Jump5-06.00,Moira CroninAndover
"2009Fitchburg State , MA",(G) Shot Put42-10.50,Emmaline BergHolliston
"2009Fitchburg State , MA",(G) 1 MILE4:49.15,Kristen KasperNorth Andover
"2009Fitchburg State , MA",(B) Triple Jump48-10.50,Ricardo JaquiteMadison park
"2009Fitchburg State , MA",(G) Triple Jump39-03.00,Nadia EkeHoly Name
"2009Fitchburg State , MA",(B) 440y / 400M48.67,Emmanuel JeanRandolph
"2008Durfee High School, MA",(G) Shot Put41-09.00,Kirsten OrrellMillbury
"2008Durfee High School, MA",(B) 2 MILE9:22.54,David WilsonBrookline
"2008Durfee High School, MA",(G) 2 MILE10:33.30,Emily JonesBromfield
"2008Durfee High School, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.31,Matt CallananMansfield
"2008Durfee High School, MA",(G) 440y / 400M57.03,Shannon ConwayNorth Reading
"2008Durfee High School, MA",(G) 180y / 330y / 300M / 400M Hurdles45.00,Karyn MossMedfield
"2008Durfee High School, MA",(B) 220y / 200M22.19,Kamal RileyCharlestown
"2008Durfee High School, MA",(G) Long Jump18-10.75,Deanna LathamTriton
"2008Durfee High School, MA",(G) 4X8009:22.84,#NAME?
"2008Durfee High School, MA",(G) Discus127-09,Kayla LittigCarter
"2008Durfee High School, MA",(G) Javelin149-08,Laura SternLunenburg
"2008Durfee High School, MA",(B) Javelin192-04,Nick FarnsworthWilmington
"2008Durfee High School, MA",(B) 440y / 400M49.42,Paul ConnorMilton
"2008Durfee High School, MA",(B) 180y / 330y / 300M / 400M Hurdles39.29,David VanOpdorpWinchester
"2008Durfee High School, MA",(B) Team Champion38,CharlestownCharlestown
"2008Durfee High School, MA",(B) 4x110y / 4x100M42.79,#NAME?
"2008Durfee High School, MA",(G) Triple Jump39-09.00,Nakeisha JonesJD O'Bryant
"2008Durfee High School, MA",(B) 100y / 100M10.93,Ryan RuffingWestborough
"2008Durfee High School, MA",(B) Triple Jump44-07.50,Jeric TylerTaconic
"2008Durfee High School, MA",(G) High Jump5-06.00,Kristen JudgeTewksbury Memorial
"2008Durfee High School, MA",(B) Long Jump22-06.75,Greg DeanBrockton
"2008Durfee High School, MA",(G) 1 MILE4:59.45,Kristen KasperNorth Andover
"2008Durfee High School, MA",(G) Pole Vault11-01.00,Jillena DeCarteretNarragansett
"2008Durfee High School, MA",(G) 100y / 100M12.34,Jen ChristianSpringfield Central
"2008Durfee High School, MA",(G) 4x440 / 4x4003:56.98,#NAME?
"2008Durfee High School, MA",(B) 880y / 800m1:55.03,Nick WadeNorth Attleboro
"2008Durfee High School, MA",(G) Team Champion29,Newton SouthNewton South
"2008Durfee High School, MA",(G) 4x110y / 4x100M48.49,#NAME?
"2008Durfee High School, MA",(B) 4x440 / 4x4003:24.05,#NAME?
"2008Durfee High School, MA",(G) 220y / 200M25.41,Samantha StabileHaverhill
"2008Durfee High School, MA",(B) 1 MILE4:13.83,Omar AdenCharlestown
"2008Durfee High School, MA",(B) High Jump6-08.00,Corey ThomasBoston College HS
"2008Durfee High School, MA",(G) 880y / 800m2:13.04,Carolyn RantiNewton North
"2008Durfee High School, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles14.90,Meghan FerreiraMansfield
"2008Durfee High School, MA",(B) Discus165-10,Garrett LockardAyer
"2008Durfee High School, MA",(B) 4X8008:03.89,#NAME?
"2008Durfee High School, MA",(B) Shot Put55-10.25,Mike McPhersonMansfield
"2008Durfee High School, MA",(B) Pole Vault14-00.00,Ross McDonaldNewton South
"2007Holyoke High School, MA",(G) Javelin137-07,Laura SternLunenburg
"2007Holyoke High School, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles14.76,Lauren BarberNew Bedford
"2007Holyoke High School, MA",(B) Shot Put55-00.50,Pat JablonskiFrontier
"2007Holyoke High School, MA",(B) High Jump6-07.00,Jordan MaddocksFramingham
"2007Holyoke High School, MA",(G) High Jump5-06.00,Olga PonomarenkoConcord-Carlisle
"2007Holyoke High School, MA",(B) 440y / 400M48.29,Meikle PaschalLexington
"2007Holyoke High School, MA",(G) 2 MILE10:48.37,Emily JonesBromfield
"2007Holyoke High School, MA",(B) Triple Jump46-07.50,Tommie LarkAmherst-Pelham
"2007Holyoke High School, MA",(G) Team Champion--,----
"2007Holyoke High School, MA",(G) 4X8009:15.13,#NAME?
"2007Holyoke High School, MA",(G) Triple Jump38-01.25,Lauren BarberNew Bedford
"2007Holyoke High School, MA",(B) 4x110y / 4x100M42.55,#NAME?
"2007Holyoke High School, MA",(B) 100y / 100M10.79,Darius WalkerLexington
"2007Holyoke High School, MA",(G) Long Jump20-03.50,Arantxa KingMedford
"2007Holyoke High School, MA",(B) 1 MILE4:13.10,Mark AmiraultXaverian Brothers
"2007Holyoke High School, MA",(G) 4x110y / 4x100M48.26,#NAME?
"2007Holyoke High School, MA",(B) Javelin176-07,Ryan RobillardLudlow
"2007Holyoke High School, MA",(G) 220y / 200M25.48,Sarah TrotmanCambridge Rindge & Latin
"2007Holyoke High School, MA",(B) 4x440 / 4x4003:22.33,#NAME?
"2007Holyoke High School, MA",(B) Discus161-03,Andrew MaryottDennis-Yarmouth
"2007Holyoke High School, MA",(B) 180y / 330y / 300M / 400M Hurdles39.30,Dennis KaneMonson
"2007Holyoke High School, MA",(B) Long Jump23-01.25,Darius WalkerLexington
"2007Holyoke High School, MA",(B) 220y / 200M21.87,Eric WornumMilton
"2007Holyoke High School, MA",(G) Discus135-07,Lydia MaurerBromfield
"2007Holyoke High School, MA",(G) 880y / 800m2:11.88,Molly BinderLincoln-Sudbury
"2007Holyoke High School, MA",(G) 1 MILE4:58.77,Bridget DahlbergNewton South
"2007Holyoke High School, MA",(B) 880y / 800m1:53.52,Bryan LongoLexington
"2007Holyoke High School, MA",(G) Pole Vault11-00.00,Jillena DeCarteretNarragansett
"2007Holyoke High School, MA",(B) 2 MILE9:24.21,Ryan CollinsMansfield
"2007Holyoke High School, MA",(B) Team Champion--,----
"2007Holyoke High School, MA",(G) 440y / 400M55.80,Dana JamiesonLincoln-Sudbury
"2007Holyoke High School, MA",(G) 4x440 / 4x4003:57.07,#NAME?
"2007Holyoke High School, MA",(G) Shot Put38-07.75,Kirsten OrellMillbury
"2007Holyoke High School, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.66,Sheldon AllenCharlestown
"2007Holyoke High School, MA",(B) 4X8007:58.32,#NAME?
"2007Holyoke High School, MA",(G) 100y / 100M12.53,Hannah JaneczakDoherty Memorial
"2007Holyoke High School, MA",(B) Pole Vault14-6,Alex LeBlancOakmont
"2007Holyoke High School, MA",(G) 180y / 330y / 300M / 400M Hurdles44.57,Stephanie ReuschOld Rochester
"2006Fitchburg State , MA",(B) 180y / 330y / 300M / 400M Hurdles39.18,Billy MonahanHingham
"2006Fitchburg State , MA",(B) 1 MILE4:14.60,Kevin GillBrockton
"2006Fitchburg State , MA",(G) Team Champion--,----
"2006Fitchburg State , MA",(B) 2 MILE9:14.07,Mark AmiraultXaverian Brothers
"2006Fitchburg State , MA",(B) Team Champion--,----
"2006Fitchburg State , MA",(G) High Jump5-06.00,Sarah ConroyFitchburg
"2006Fitchburg State , MA",(B) Long Jump22-07.75,Sam PegramWayland
"2006Fitchburg State , MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.58,Donte BrownBridgewater-Raynham
"2006Fitchburg State , MA",(B) 4x440 / 4x4003:22.80,#NAME?
"2006Fitchburg State , MA",(B) 220y / 200M21.01,Jeffrey SmithSilver Lake
"2006Fitchburg State , MA",(B) Pole Vault14-06.00,Eric DepaloWestborough
"2006Fitchburg State , MA",(G) 440y / 400M57.20,Christin IzzicupoStoneham
"2006Fitchburg State , MA",(B) 4X8007:51.72,#NAME?
"2006Fitchburg State , MA",(B) Triple Jump46-11.25,Ugo NduagubaJD O'Bryant
"2006Fitchburg State , MA",(G) Discus134-06,Lisa WilsonWachusett
"2006Fitchburg State , MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles14.60,Lauren BarberNew Bedford
"2006Fitchburg State , MA",(B) High Jump6-06.00,Arty GennariMonument Mountain
"2006Fitchburg State , MA",(B) Javelin180-08,Justin SchulerMiddleboro
"2006Fitchburg State , MA",(G) 180y / 330y / 300M / 400M Hurdles44.36,Haley CatariusMarshfield
"2006Fitchburg State , MA",(B) 880y / 800m1:53.52,Brett SullivanWoburn
"2006Fitchburg State , MA",(G) 4X8009:28.75,#NAME?
"2006Fitchburg State , MA",(B) 440y / 400M48.63,David LintFoxboro
"2006Fitchburg State , MA",(G) 4x110y / 4x100M49.10,#NAME?
"2006Fitchburg State , MA",(G) 1 MILE4:54.33,Colleen WeatherbeeDennis-Yarmouth
"2006Fitchburg State , MA",(G) Shot Put41-00.50,Hillary CrookeMansfield
"2006Fitchburg State , MA",(G) Triple Jump42-00.00,Arantxa KingMedford
"2006Fitchburg State , MA",(G) Pole Vault10-06.00,Sophia RomeriLincoln-Sudbury
"2006Fitchburg State , MA",(G) Javelin134-08,Laura SternLunenburg
"2006Fitchburg State , MA",(B) Discus157-06,Dana AndersonXaverian Brothers
"2006Fitchburg State , MA",(G) 220y / 200M24.59,Sarah WernickNorthampton
"2006Fitchburg State , MA",(G) 4x440 / 4x4004:00.02,#NAME?
"2006Fitchburg State , MA",(B) Shot Put56-09.50,David SmithNewton North
"2006Fitchburg State , MA",(G) Long Jump18-07.75,Sarah WernickNorthampton
"2006Fitchburg State , MA",(G) 880y / 800m2:13.43,Emily BourdeauLongmeadow
"2006Fitchburg State , MA",(G) 100y / 100M12.48,Meaghan CallahanApponequet
"2006Fitchburg State , MA",(G) 2 MILE10:51.87,Emily JonesBromfield
"2006Fitchburg State , MA",(B) 100y / 100M11.06,John GriffinOakmont
"2006Fitchburg State , MA",(B) 4x110y / 4x100M43.47,#NAME?
"2005Worcester State, MA",(B) 880y / 800m1:54.01,Brian GagnonLowell
"2005Worcester State, MA",(G) 4X8009:35.04,"Moriarty, Pirro, Hamer, KorbaAndover"
"2005Worcester State, MA",(G) Javelin134-08,Laura SternLunenburg
"2005Worcester State, MA",(B) Shot Put57-02,Tim CushingHingham
"2005Worcester State, MA",(B) Discus176-04,Haniyf CarrAmherst Regional
"2005Worcester State, MA",(G) 180y / 330y / 300M / 400M Hurdles44.11,Jennifer LinBridgewater Raynham
"2005Worcester State, MA",(B) 1 MILE4:19.57,Archie AbramsLexington
"2005Worcester State, MA",(B) 2 MILE9:10.64,Chris BarnicleNewton North
"2005Worcester State, MA",(G) 220y / 200M25.12,Sarah WernikNorthampton
"2005Worcester State, MA",(B) Javelin176-04,Pablo BelloWaltham
"2005Worcester State, MA",(G) Team Champion37,AndoverAndover
"2005Worcester State, MA",(B) 440y / 400M49.23,Andrew GrangeCentral Catholic
"2005Worcester State, MA",(G) High Jump5-06.00,Sarah ConroyFitchburg
"2005Worcester State, MA",(G) 4x440 / 4x4003:59.97,#NAME?
"2005Worcester State, MA",(G) 100y / 100M12.17,Jessi ForemanWayland
"2005Worcester State, MA",(B) Long Jump22-08.50,Brandon PalmerMohawk
"2005Worcester State, MA",(B) 4X8007:56.97,#NAME?
"2005Worcester State, MA",(B) Triple Jump48-06,Jed CarpenterNewton North
"2005Worcester State, MA",(B) Pole Vault13-06,Eric DepaloWestborough
"2005Worcester State, MA",(G) Pole Vault10-06,Nelly DenehyFrontier Regional
"2005Worcester State, MA",(G) Long Jump19-11.75,Arantxa KingMedford
"2005Worcester State, MA",(B) High Jump06-06,Arty GennariMonument Mountain
"2005Worcester State, MA",(G) Shot Put40-10.50,Hillary CrockMansfield
"2005Worcester State, MA",(B) 220y / 200M22.31,Eric WornumMilton
"2005Worcester State, MA",(B) 4x110y / 4x100M43.32,#NAME?
"2005Worcester State, MA",(G) 880y / 800m2:13.25,Colleen WetherbeeDennis Yarmouth
"2005Worcester State, MA",(B) 100y / 100M10.87,Johan RafaelLawrence
"2005Worcester State, MA",(G) 2 MILE11:04.69,Kailin CollinsMansfield
"2005Worcester State, MA",(G) 440y / 400M55.99,Mandela Graves-FulghamAmherst Regional
"2005Worcester State, MA",(B) Team Champion--,----
"2005Worcester State, MA",(G) Discus121-00,Emily DalyHopkinton
"2005Worcester State, MA",(B) 4x440 / 4x4003:23.38,#NAME?
"2005Worcester State, MA",(G) 1 MILE5:07.16,Jess BartonNewton North
"2005Worcester State, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.59,Ron ConwayBishop Feehan
"2005Worcester State, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles14.99,Lauren BarberNew Bedford
"2005Worcester State, MA",(G) 4x110y / 4x100M48.68,#NAME?
"2005Worcester State, MA",(B) 180y / 330y / 300M / 400M Hurdles38.14,Kevin MacleodEast Longmeadow
"2005Worcester State, MA",(G) Triple Jump38-01.50,Kara BoydEast Longmeadow
"2004Holyoke High School, MA",(G) 2 MILE10:55.68,Christine LaaksoFitchburg
"2004Holyoke High School, MA",(B) Pole Vault13-06.00,Julio FariaLowell
"2004Holyoke High School, MA",(G) Discus135-00,Sarah HickmanAmherst-Pelham
"2004Holyoke High School, MA",(B) Discus172-10,Kyle MorseHingham
"2004Holyoke High School, MA",(B) Javelin188-09,Tyler GasperBellingham
"2004Holyoke High School, MA",(G) 100y / 100M12.19,Jessi ForemanWayland
"2004Holyoke High School, MA",(G) 440y / 400M56.14,Ashley HubbardMarshfield
"2004Holyoke High School, MA",(G) 180y / 330y / 300M / 400M Hurdles43.82,Colleen FarleyMt. Greylock
"2004Holyoke High School, MA",(G) Shot Put40-02.00,Patricia HarrisonMansfield
"2004Holyoke High School, MA",(B) Long Jump22-04.50,Brandon PalmerMohawk Trail
"2004Holyoke High School, MA",(B) 100y / 100M10.93,Johan RafaelLawrence
"2004Holyoke High School, MA",(G) 880y / 800m2:15.57,Emily BourdeauLongmeadow
"2004Holyoke High School, MA",(B) Shot Put58-06.75,Matt FrankelNewton North
"2004Holyoke High School, MA",(G) Pole Vault11-08.00,Kristen BakanowskiAlgonquin
"2004Holyoke High School, MA",(B) 880y / 800m1:54.06,Brian GagnonLowell
"2004Holyoke High School, MA",(G) Javelin132-03,Sue PlungisMonument Mountain
"2004Holyoke High School, MA",(G) High Jump5-06.00,Jessica LaporteBlacktone-Millville
"2004Holyoke High School, MA",(G) Team Champion--,----
"2004Holyoke High School, MA",(B) High Jump6-07.00,Shawn LeonardStoughton
"2004Holyoke High School, MA",(G) 1 MILE4:51.24,Lindsay DonaldonLincoln-Sudbury
"2004Holyoke High School, MA",(B) 4x440 / 4x4003:22.71,#NAME?
"2004Holyoke High School, MA",(B) Triple Jump48-05.50,Travis SuberLongmeadow
"2004Holyoke High School, MA",(B) 4X8007:53.90,#NAME?
"2004Holyoke High School, MA",(G) 220y / 200M24.85,Kara BuddEast Longmeadow
"2004Holyoke High School, MA",(G) Long Jump19-05.75,Tiana RielHopkinton
"2004Holyoke High School, MA",(G) Triple Jump37-05.50,Katie HoppeHopkinton
"2004Holyoke High School, MA",(G) 4X8009:35.24,#NAME?
"2004Holyoke High School, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.44,Marcus VaughnNorth Attleboro
"2004Holyoke High School, MA",(G) 4x110y / 4x100M48.96,--JD O'Bryant
"2004Holyoke High School, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles14.44,Katie ShermanDennis-Yarmouth
"2004Holyoke High School, MA",(B) 220y / 200M21.97,Enrique CuestaLawrence
"2004Holyoke High School, MA",(G) 4x440 / 4x4003:58.92,#NAME?
"2004Holyoke High School, MA",(B) 440y / 400M49.61,Robert SimpsonBrockton
"2004Holyoke High School, MA",(B) 4x110y / 4x100M42.83,#NAME?
"2004Holyoke High School, MA",(B) 2 MILE9:10.90,Chris BarnicleNewton North
"2004Holyoke High School, MA",(B) 1 MILE4:05.14,Victor GrasBelmont
"2004Holyoke High School, MA",(B) 180y / 330y / 300M / 400M Hurdles39.04,Terry YoungMansfield
"2004Holyoke High School, MA",(B) Team Champion--,----
"2003Norwell High School, MA",(B) Team Champion--,----
"2003Norwell High School, MA",(G) Team Champion--,----
"2003Norwell High School, MA",(B) Shot Put55-03.00,Mike DavisBurlington
"2003Norwell High School, MA",(G) 4x440 / 4x4003:59.74,#NAME?
"2003Norwell High School, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.81,Jon GarciaStoneham
"2003Norwell High School, MA",(G) 440y / 400M55.70,Ashley HubbardMarshfield
"2003Norwell High School, MA",(G) 220y / 200M25.02,Carrie PlittHamilton-Wenham
"2003Norwell High School, MA",(G) 4x110y / 4x100M49.53,#NAME?
"2003Norwell High School, MA",(G) Shot Put39-05.75,Sue MaddenReading Memorial
"2003Norwell High School, MA",(G) Discus129-04,Grace CunninghamNotre Dame Academy-Hingham
"2003Norwell High School, MA",(G) 100y / 100M12.31,Danielle BoltBrookline
