Column1,Column2,Column3
"2018Fitchburg State, MA",(G) Long Jump18-05.50,Abby GreeleyMedway
"2018Fitchburg State, MA",(G) 2 MILE10:49.67,Sophia Jacobs-TownsleyAmherst-Pelham
"2018Fitchburg State, MA",(B) 440y / 400M47.98,Phillips MagreSomerville
"2018Fitchburg State, MA",(G) Triple Jump37-09.00,Christina SpeliakosMilford
"2018Fitchburg State, MA",(B) 880y / 800m1:54.61,Theodore BurbaNewton North
"2018Fitchburg State, MA",(B) Pole Vault13-03.00,Isaiah PowersWestborough
"2018Fitchburg State, MA",(G) High Jump5-08.00,Anna Jordahl-HenryWellesley
"2018Fitchburg State, MA",(B) 100y / 100M10.70,Richmond KwaatengLowell
"2018Fitchburg State, MA",(G) 440y / 400M54.96,Abby ComellaWellesley
"2018Fitchburg State, MA",(B) High Jump6-10.00,Smith CharlesMilton
"2018Fitchburg State, MA",(G) 4X8009:16.92,"Hannah Doherty, Deidra Anderson, Sarah Burns, Nicole AndersonBillerica Memorial"
"2018Fitchburg State, MA",(B) Team Champion55,LowellLowell
"2018Fitchburg State, MA",(G) Pentathlon3529,Jada JohnsonSharon
"2018Fitchburg State, MA",(G) 4x440 / 4x4003:56.40,"Abby Comella, Charlotte Freniere, Joanna Kennedy, Anna Jordahl-HenryWellesley"
"2018Fitchburg State, MA",(G) Team Champion35,WellesleyWellesley
"2018Fitchburg State, MA",(B) 4x440 / 4x4003:20.16,"Andrew McGovern, Matthew Stevens, Lucas Honohan, Thomas LingardLexington"
"2017Bridgewater State, MA",(G) 880y / 800m2:10.80,Clare MartinNewton South
"2017Bridgewater State, MA",(G) Triple Jump39-06.00,Shraeya SrinivasanFoxboro
"2017Bridgewater State, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles14.64,Anoush KrafianBelmont
"2017Bridgewater State, MA",(G) 4x440 / 4x4003:55.42,"Hannah Lansberry, Emma Joel, Julianna Kennedy, Delia BarbantiAndover"
"2017Bridgewater State, MA",(G) Javelin145-09,Shira StollerSharon
"2017Bridgewater State, MA",(G) Long Jump17-11.50,Saige TudiscoPentucket
"2017Bridgewater State, MA",(B) 100y / 100M10.63,Davonte BurnettNeedham
"2017Bridgewater State, MA",(G) 440y / 400M56.56,Meg HughesOld Rochester
"2017Bridgewater State, MA",(G) Team Champion47,MiltonMilton
"2017Bridgewater State, MA",(G) 100y / 100M12.04,Brooke-Lynn WilliamsNorton
"2017Bridgewater State, MA",(B) 1 MILE4:14.44,Ryan OostingArlington
"2017Bridgewater State, MA",(G) Pole Vault11-03.00,Haley LightbodyReading Memorial
"2017Bridgewater State, MA",(G) Pentathlon3243,Anoush KrafianBelmont
"2017Bridgewater State, MA",(B) Pentathlon3592,Daniel RenwickOld Rochester
"2017Bridgewater State, MA",(B) 2 MILE9:05.85,Ryan OostingArlington
"2017Bridgewater State, MA",(G) 180y / 330y / 300M / 400M Hurdles1:00.60,Shannon MeisbergerLenox Memorial
"2017Bridgewater State, MA",(B) Javelin194-07,Mark PorterReading Memorial
"2017Bridgewater State, MA",(G) High Jump5-06.00,Zoe DaintonHingham
"2017Bridgewater State, MA",(G) Discus128-03,Abbie MokwuahLongmeadow
"2017Bridgewater State, MA",(G) 1 MILE4:48.88,Clare MartinNewton South
"2017Bridgewater State, MA",(B) Long Jump22-08.00,Smith CharlesMilton
"2017Bridgewater State, MA",(B) 440y / 400M48.34,Rodney Agyare-MayBurncoat
"2017Bridgewater State, MA",(B) High Jump6-08.00,Daniel RenwickOld Rochester
"2017Bridgewater State, MA",(B) 880y / 800m1:54.50,Theodore BurbaNewton North
"2017Bridgewater State, MA",(B) Triple Jump45-01.00,Michael PichayBoston College HS
"2017Bridgewater State, MA",(B) 4x440 / 4x4003:19.58,#NAME?
"2017Bridgewater State, MA",(G) 4x110y / 4x100M48.52,#NAME?
