2006 Girls Track & Field State Champions,x,x,x
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Tressi Richardson Cibola  12.27,,,
AAAA  Jazmine Ralph Del Norte 12.71,,,
AAA Ashley Ferguson Hot Springs 12.89,,,
AA Lily Miller Santa Fe Prep  12.93,,,
A Laura Pharies  Roy 13.06,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Hawa Konte Eldorado 25.42,,,
AAAA  Jazmine Ralph  Del Norte  25.89,,,
AAA Ashley Ferguson Hot Springs 26.17,,,
AA Lily Miller Santa Fe Prep  26.50,,,
A Laura PhariesRoy 26.57,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Grace Rich La Cueva  56.88,,,
AAAA  Lyndsay Harper  Albuquerque Academy 57.44,,,
AAA Stephanie Louis St. Michael’s58.82,,,
AA Amanda Armendariz Hope Christian 1:00.80,,,
A Laura Pharies  Roy 59.95,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Grace Rich La Cueva 2:17.62,,,
AAAA  Lyndsay Harper Albuquerque Academy 2:15.90,,,
AAA Irena Ossola St. Michael’s2:27.91,,,
AA Bronwyn Bedrick Sandia Prep 2:24.07,,,
A Whitley Coca  Cimarron  2:25.09,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Julie Brasher  Eldorado 5:07.86,,,
AAAA  Tara Gardenhire Farmington  5:20.29,,,
AAA Irena Ossola  St. Michael’s5:16.16,,,
AA Ashley Quintana  Pecos 5:31.52,,,
A Whitley Coca  Cimarron 5:34.80,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Vanessa Ortiz,Cibola,11:09.1,
AAAA  Jackie Campos,Santa Teresa,11:55.6,
AAA Tess Amer,St. Michael’s,11:24.1,
AA Chantel Hunt,Navajo Pine,12:21.6,
A Raquel Baca,Alamo Navajo,12:20.6,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAAA Alexandra Darling,La Cueva,15.7,
AAAA  Alexandra Hathaway,Kirtland Central,16.13,
AAA Robyn  North,Cobre,16.41,
AA Alyssa Flores,Santa Rosa,16.49,
A JaTawn Slutz,San Jon,17.18,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Kim Perkins,Clovis,44.45,
AAAA  Lindsey Shepard,Albuquerque Academy,46.12,
AAA Angela Gardner,Ruidoso,47.36,
AA Dayna Galindo,Estancia,47.44,
A Stacey McCoy,Mountainair,47.63,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,Cibola,48.47,
AAAA,Roswell,50.16,
AAA,Robertson,50.66,
AA,Santa Fe Prep,51.41,
A,Jal,52.14,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,Highland,01:42.7,
AAAA,Moriarty,01:45.5,
AAA,Robertson,01:46.7,
AA,Hope Christian,01:50.1,
A,Cimarron,01:50.9,
1600 M Relay Medley,,,
Class,School,Time,
AAAAA,Eldorado,04:18.4,
AAAA,Farmington,04:18.4,
AAA,Robertson,04:30.2,
AA,Escalante,04:30.9,
A,Fort Sumner,04:37.6,
,,,
1600 M Relay,,,
Class,School,Time,
AAAAA,La Cueva,03:58.5,
