2006 Boys Track & Field State Champions,x,x,x
100 M Dash,,,
Class Name School  Time,,,
AAAAA Alex Bustos Carlsbad  10.78,,,
AAAA  Steffan CareyAztec 11.38,,,
AAA Johnny Quintana Raton 11.55,,,
AA Tacorey Singleton Mountain View 11.37,,,
A Ryan Pena Springer 11.66,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Jerrell Miller Highland 22.04,,,
AAAA  Danny Fajardo  Albuquerque Academy 22.15,,,
AAA Johnny Quintana Raton 22.71,,,
AA Tacorey Singleton Mountain View 23.21,,,
A Cedar Rush Melrose 23.13,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Derek Skinner  La Cueva 50.05,,,
AAAA  Chenti Quinonez Silver 48.35,,,
AAA Daniel Rueda Cobre 50.27,,,
AA Rafael Martinez Hatch Valley 50.76,,,
A Brain Norris Hagerman 50.47,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Nicholas Arguelles Highland 1:58.89,,,
AAAA  Ryan Steadman  St.Pius  1:59.47,,,
AAA Steven Johnson Santa Fe Indian School 2:04.81,,,
AA Ryan Nez Navajo Pine 2:02.39,,,
A Cedar Rush Melrose 1:58.53,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Matt Tebo Eldorado  4:18.29,,,
AAAA  Ryan McNiff Los Alamos  4:20.96,,,
AAA Steven Johnson Santa Fe Indian School 4:43.93,,,
AA Taylor Roholt  Sandia Prep 4:37.41,,,
A Stephen Jochem Gallup Catholic 4:33.82,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Matt Tebo,Eldorado,09:07.4,
AAAA  Ben Johnson,Albuquerque Academy,09:26.4,
AAA Steven Johnson,Santa Fe Indian School,10.05.58,
AA Taylor Roholt,Sandia Prep,10.09.08,
A Chris Weaver,Gallup Catholic,10.58.06,
,,,
110 M High Hurdles,,,
Class Name,School,Time,
AAAAA James Hansen,Alamogordo,14.67,
AAAA  Curtis Beach,Albuquerque Academy,15.31,
AAA Alonzo Evans,Lovington,15.49,
AA Jaken Shirley,Zuni,15.8,
A Jeremy Gauna,Fort Sumner,15.32,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Kyle Henry,Cibola,38.64,
AAAA  Curtis Beach,Albuquerque Academy,38.85,
AAA Adam Martinez,Robertson,40.62,
