2006 Boys Track & Field State Champions,x,x,x
AA Brian Wilson,Estancia,40.66,
A Jeremy Gauna,Fort Sumner,42.08,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,Alamogordo,42.22,
AAAA,Albuquerque Academy,43.22,
AAA,Lovington,44.11,
AA,Hatch Valley,44.6,
A,Hagerman,45.38,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,Carlsbad,01:28.8,
AAAA,Aztec,01:30.5,
AAA,Lovington,01:32.3,
AA,Estancia,1.33.12,
A,Hagerman,01:34.0,
1600 M Relay Medley,,,
Class,School,Time,
AAAAA,Alamogordo,03:38.5,
AAAA,Los Alamos,03:36.0,
AAA,Ruidoso,03:42.0,
AA,Tularosa,03:46.5,
A,Desert Academy,03:45.4,
,,,
1600 M Relay,,,
Class,School,Time,
AAAAA,Eldorado,03:20.8,
AAAA,St. Pius,03:23.9,
AAA,Cobre,03:28.2,
AA,Sandia Prep,3.32.58,
A,Hagerman,03:34.0,
,,,
Shot Put,,,
Class Name,School,Distance,
AAAAA Matt Nulk,La Cueva,53’-10.00”,
AAAA  Alex Umstead,Los Alamos,57’-01.00”,
AAA Toby Jaramillo,Grants,50’-07.00”,
AA Joey Urban,Santa Rosa,45’-09.00”,
A Wesley Munoz,Hagerman,48’-09.25”,
,,,
Discus,,,
Class Name,School,Distance,
AAAAA Matthew Henry,Albuquerque,155’-04.00”,
AAAA  Alex Umstead,Los Alamos,157’-02.00”,
AAA Justin Grider,Grants,147’-09.00”,
AA Michael Otero,Estancia,148’-09.00”,
A Joey Snyder,Reserve,140’-11.00”,
,,,
,,,
Long Jump,,,
Class Name,School,Distance,
AAAAA Colins Oakley,Onate,21’-06.50”,
AAAA  Curtis Beach,Albuquerque Academy,21’-07.75”,
AAA Chris Hatcher,Lovington,22’-04.50”,
AA Josh Barrett,Hatch Valley,21’-00.50”,
A Christopher Matson,Vaughn,20’-07.75”,
High Jump,,,
Class Name,,School,Distance
AAAAA Marcus Williams,,Rio Rancho,6’-06.00”
AAAA  Marcus Jones,,Belen,6’-08.00”
AAA Matt Pledger,,Grants,6’-04.00”
AA Jonathan Gaco,,Laguna Acoma,6’-04.00”
A Julian Lyons,,Quemado,6’-02.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
AAAAA Manuel Robles,,Clovis,46’-07.00”
AAAA  Kenyatta Carter,,Belen,44’-03.25”
AAA Chris Hatcher,,Lovington,43’-09.00”
AA Clay Scott,,Cloudcroft,42’-08.25”
A Allen Pilley,,Hagerman,41’-04.25”
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAAA Kyle Walker,,Rio Rancho,14’-00.00”
AAAA  Jeff Zych,,Albuquerque Academy,14’-00.00”
AAA Nathan Moore,,Lovington,13’-06.00”
AA Daniel Gooris,,Rehoboth,14’-00.00”
A Cody Dickerson,,Cliff,13’-01.00”
,,,
Javelin,,,
Class Name,,School,Distance
AAAAA Steve Aragon,,Los Lunas,181’-08.00”
AAAA  D.J. Draper,,Moriarty,174’-05.00”
AAA Robert Griego,,Bloomfield,191’-07.00”
AA Matthew Morgan,,Crownpoint,160’-01.00”
A Allen Pilley,,Hagerman,164’-08.00”
2005 Boys Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School Time,,,
AAAAA Jerrell Miller Highland 11.19,,,
AAAA Jonathan Ribeiro Albuq. Academy 11.03,,,
AAA George Morris Lovington 11.28,,,
AA Akin Abosede Sandia Prep 11.45,,,
A Carlos Ruiz Melrose 11.60,,,
,,,
200 M Dash,,,
Class Name School Time,,,
AAAAA Chris Williams Rio Rancho 21.52,,,
AAAA Marcus Williams Piedra Vista 22.21,,,
AAA George Morris Lovington 22.48,,,
AA Chris McCasland Tucumcari 23.25,,,
A Carlos Ruiz Melrose 23.83,,,
,,,
400 M Dash,,,
Class Name School Time,,,
AAAAA Chris Williams Rio Rancho 48.61,,,
AAAA Sean Garrett Albuq. Academy 49.06,,,
AAA George Morris Lovington 50.19,,,
AA Aaron Gallinger East Mountain 50.67,,,
A Cedar Rush Melrose 51.17,,,
,,,
800 M Run,,,
Class Name School Time,,,
AAAAA Nicholas Arguelles Highland 1:55.84,,,
AAAA Cody Harper Albuq. Academy 1:53.67,,,
AAA Ruben Orosco Cobre  2:01.39,,,
AA Marvis Aragon Laguna Acoma 2:06.22,,,
A Stephen Jochem Gallup Catholic 2:06.24,,,
,,,
1600 M Run,,,
Class Name School Time,,,
AAAAA Nicholas Arguelles Highland 4:20.83,,,
AAAA Cody Harper Albuq. Academy 4:20.08,,,
AAA Obed Hernandez Cobre 4:35.24,,,
AA Marvis Aragon Laguna Acoma 4:33.99,,,
A Stephen Jochem Gallup Catholic 4:50.46,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Matt Tebo,Eldorado,09:30.4,
AAAA Mitch Bible,Albuquerque Academy,09:41.8,
AAA Jerome Tafoya,Santa Fe Indian,09:59.1,
AA Marvis Aragon,Laguna Acoma,10:02.9,
A Derek Henio,Pine Hill,10:46.0,
,,,
110 M High Hurdles,,,
Class Name,School,Time,
AAAAA Damian Robinson,Clovis,14.77,
AAAA Spivey Vasquez,Aztec,15.4,
AAA Coby Reid,Lovington,15.89,
AA Derek Chavez,Loving,15.95,
A Jeremy Gauna,Ft. Sumner,15.51,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Ian Clark,Highland,38.52,
AAAA Spivey Vasquez,Aztec,39.42,
AAA Matt Miller,Bloomfield,41.03,
AA Joaquin Gonzales,Santa Rosa,41.51,
A Jeremy Gauna,Ft. Sumner,41.59,
,,,
400 M Relay,,,
Class School,,Time,
AAAAA Rio Rancho High School,,41.95,
AAAA Albuquerque Academy,,42.23,
AAA Cobre High School,,44.41,
AA Sandia Prep,,44.48,
A Melrose High School,,45.44,
,,,
800 M Relay,,,
Class School,,Time,
AAAAA Highland High School,,01:29.7,
AAAA Albuquerque Academy,,01:31.0,
AAA Lovington High School,,01:31.8,
AA Clayton High School,,01:33.3,
A Jal High School,,01:34.4,
,,,
1600 M Relay,,,
Class School,,Time,
AAAAA Rio Rancho High School,,03:23.8,
AAAA Albuquerque Academy,,03:21.5,
AAA Lovington High School,,03:27.3,
AA Loving High School,,03:30.0,
A Ft. Sumner High School,,03:34.3,
1600 M Medley Relay,,,
Class School,,Time,
AAAAA Alamogordo High School,,03:48.8,
AAAA St. Pius X High School,,03:41.5,
AAA Ruidoso High School,,03:46.4,
AA Newcomb High School,,03:47.0,
A Desert Academy,,03:47.5,
,,,
Shot Put,,,
Class Name,School,Time,
AAAAA Aaron Lewis,La Cueva,60’-04.00”,
AAAA Jared Klassen,Silver,53’-05.50”,
AAA Joseph With,St. Michael’s,49’-04.00”,
AA Jason Russell,Eunice,52’-01.50”,
A Allen Pilley,Hagerman,43’-01.00”,
,,,
Discus,,,
Class Name,School,Time,
AAAAA Aaron Lewis,La Cueva,179’-00”,
AAAA Josh Garcia,Española,152’-04”,
AAA Ron Garcia,St. Michael’s,145’-01”,
AA Michael Otero,Estancia,142’-05”,
A Joey Snyder,Reserve,130’-06”,
,,,
Long Jump,,,
Class Name,School,Time,
AAAAA Jerrell Miller,Highland,22’-02.00”,
AAAA Marcus Williams,Piedra Vista,22’-00.00”,
AAA Jassen Lopez,Pojoaque,21’-09.50”,
AA Nemie Salvador,Tucumcari,20’-05.00”,
A Carlos Ruiz,Melrose,20’-05.50”,
,,,
High Jump,,,
Class Name,School,Time,
AAAAA Chris Williams,Rio Rancho,6’-08.00”,
AAAA Roy Collins,Los Alamos,6’-06.00”,
AAA Michael Hoodless,Cuba,6’-04.00”,
AA Chris McCasland,Tucumcari,6’-04.00”,
A Grady Herrera,Tatum,6’-00.00”,
,,,
Triple Jump,,,
Class Name,School,Time,
AAAAA Manuel Robles,Clovis,45’-00.50”,
AAAA Kenyatta Carter,Belen,44’-00.75”,
AAA Jassen Lopez,Pojoaque,41’-11.75”,
AA Clay Scott,Cloudcroft,43’-07.00”,
A Carlos Ruiz,Melrose,42’-09.00”,
Pole Vault,,,
Class,Name,School,Time
AAAAA,Caleb McKean,Carlsbad,13’-06.00”
AAAA,Tanner Edwards,Belen,13’-06.00”
AAA,Stuart Sparks,Hot Springs,13’-06.00”
AA,Salomon Baca,Tularosa,13’-06.00”
A,Kyle Young,Jal,14’-00.00”
,,,
Javelin,,,
Class,Name,School,Time
AAAAA,Anthony Fairbanks,Highland,207’-06.00”
AAAA,Jared Klassen,Silver,189’-10.00”
AAA,Robert Griego,Bloomfield,179’-06.00”
AA,Logan Capps,Cloudcroft,175’-07.00”
A,Jarrod Lindsey,Grady,160’-00.00”
2004 Boys Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Sean Burns  Cibola  10.74,,,
AAAA  Jonathan Ribeiro  Abq. Academy  11.15,,,
AAA Lawrence Paustain  NMMI  11.21,,,
AA Jorge Aguillon Clayton  11.25,,,
A Marcus Taylor  Mountainair  11.62,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Chris Williams  Rio Rancho  22.44,,,
AAAA  Grant Dismuke  St. Pius  22.92,,,
AAA Lawrence Paustain  NMMI  22.82,,,
AA Chris McCasland  Tucumcari  22.65,,,
A Gerid Higgins  Ft. Sumner  23.71,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Gregory Young  Albuquerque  49.14,,,
AAAA  Cody Harper  Abq. Academy  49.02,,,
AAA Lawrence Paustain  NMMI  50.30,,,
AA Aaron Gallinger  East Mountain  51.00,,,
A Gerid Higgins  Ft. Sumner  52.43,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Shadrack Kiptoo  La Cueva  1:53.24,,,
AAAA  Cody Harper Abq. Academy  1:56.54,,,
AAA  Darren Calvert  Pojoaque  2:00.74,,,
AA Eric SandovalSanta Rosa  2:01.27,,,
A Roel Canales Ft.Sumner 2:03.93,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Shadrack Kiptoo  La Cueva  4:12.84,,,
AAAA  Andres Urbina  Abq. Academy 4:20.04,,,
AAA Darren Calvert Pojoaque  4:38.14,,,
AA Marvis Aragon  Laguna Acoma  4:38.87,,,
A Patrick Reagan  Ft. Sumner  4:46.00,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Shadrack Kiptoo,La Cueva,09:18.0,
AAAA  Andres Urbina,Abq. Academy,09:46.1,
AAA Darren Calvert,Pojoaque,10:06.5,
AA Vernon Tosa,Jemez Valley,10:05.5,
A Patrick Reagan,Ft. Sumner,10:55.3,
,,,
110 M High Hurdles,,,
Class Name,School,Time,
AAAAA Jay White,Alamogordo,14.53,
AAAA  Will Bernitsky,Abq. Academy,14.55,
AAA Jared Rivera,Grants,14.84,
AA Derek Chavez,Loving,15.57,
A Jeremy Gauna,Mountainair,42.07,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Jay White,Alamogordo,39.2,
AAAA  Will Bernitsky,Abq. Academy,38.77,
AAA Jared Rivera,Grants,40.27,
AA Ross Pershbacher,Clayton,40.22,
A Jose Nunez,Mountainair,42.07,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,Alamogordo,42.44,
AAAA,Abq. Academy,42.97,
AAA,Lovington,44.01,
AA,Santa Fe Prep,44.39,
A,Desert Academy,45.46,
,,,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,Mayfield,01:28.8,
AAAA,Aztec,01:31.9,
AAA,Lovington,01:32.5,
AA,Tucumcari,01:32.2,
A,Ft. Sumner,01:34.4,
,,,
1600 M Relay Medley,,,
Class,School,Time,
AAAAA,Highland,03:35.9,
AAAA,Abq. Academy,03:35.7,
AAA,West Las Vegas,03:40.1,
AA,Santa Rosa,03:46.1,
A,Desert Academy,03:49.7,
,,,
1600 M Relay,,,
Class,School,Time,
AAAAA,Rio Rancho,03:23.7,
AAAA,Abq. Academy,03:23.1,
AAA,Cobre,03:35.1,
AA,Tucumcari,03:30.4,
A,Ft. Sumner,03:36.2,
,,,
Shot Put,,,
Class Name,School,Distance,
AAAAA Aaron Lewis,La Cueva,57’-03.50”,
AAAA  Miguel Duran,Artesia,53’-10.00”,
AAA Stanley Caudillo,Lovington,51’-03.25”,
AA Jared Curtis,Texico,49’-07.75”,
A Chance Chenault,Floyd,42’-07.00”,
,,,
Discus,,,
Class Name,School,Distance,
AAAAA Brandon McKinney,Rio Rancho,183’-09.00”,
AAAA  Benjamin Gray,Goddard,149’-06.00”,
AAA Stanley Caudillo,Lovington,160’-08.00”,
AA Victor Lopez,Menaul,154’-04.00”,
A Matthew Chavez,Mountainair,115’-02.00”,
,,,
,,,
Long Jump,,,
Class Name,School,Distance,
AAAAA Derek McDonald,Eldorado,23’-01.00”,
AAAA  Derick Jaramillo,Belen,22’-03.00”,
AAA Tydree Lewis,Lovington,22’-03.75”,
AA Eddie Fuentes,Sandia Prep,21’-01.50”,
A Roel Cawales,Ft. Sumner,19’-09.50”,
High Jump,,,
Class Name,,School,Distance
AAAAA Chris Williams,,Rio Rancho,6’-10.00”
AAAA  Nicholas Adamson,,Aztec,6’-04.00”
AAA Tydree Lewis,,Lovington,6’-06.00”
AA Lee Charles,,Rehoboth,6’-02.00”
A Gerid Higgins,,Ft. Sumner,5’-08.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
AAAAA Jeremy Lawson,,Mayfield,45’-10.25”
AAAA  Roy Collins,,Los Alamos,45’-01.00”
AAA Tydree Lewis,,Lovington,48’-09.00”
AA Ernest Maestas,,Mora,42’-08.50”
A Trevor Richins,,Animas,40’-03.25”
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAAA Zach Graham,,Carlsbad,15’-00.00”
AAAA  Paul Wagner,,Farmington,13’-06.00”
AAA Chris Meech,,Grants,12’-06.00”
AA Kyle Young,,Jal,13’-00.00”
A Patrick Dickerson,,Cliff,11’-06.00”
,,,
Javelin,,,
Class Name,,School,Distance
AAAAA Anthony Fairbanks,,Highland,198’-06.00”
AAAA  Sean Richardson,,Silver,207’-04.00”
AAA Adam Miller,,St. Michaels,156’-07.00”
AA Braden Vaughn,,Texico,165’-06.00”
A Derek Dimitroff,,Ft. Sumner,155’-00.00”
2003 Boys Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Ryan Peele Highland 11.19,,,
AAAA  George Mullen Artesia  11.18,,,
AAA Joseph Castillo Grants  11.33,,,
AA Robert Velasquez Mesa Vista 11.30,,,
A Quienten Henderson Magdalena 11.35,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Derond Jackson Clovis  22.23,,,
AAAA  George Mullen Artesia  22.12,,,
AAA Joseph Castillo Grants  22.74,,,
AA Robert Velasquez Mesa Vista 22.60,,,
A Marcus Taylor Mountainair 23.59,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Michael Garcia Santa Fe 48.10,,,
AAAA  Chris Edison Capital  48.47,,,
AAA Medric Sydnor Lovington 51.13,,,
AA Robert Velasquez Mesa Vista 48.94,,,
A James Burds Fort Sumner 52.43,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Michael Garcia Santa Fe 1:54.78,,,
AAAA  Cody Harper Academy 1:54.20,,,
AAA Darren Calvert Pojoaque 2:00.32,,,
AA Justin Conway Santa Fe Prep  1:59.00,,,
A Roel Canales Fort Sumner 2:00.24,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Josh Rogers La Cueva 4:22.52,,,
AAAA  Alan Weeth Academy 4:24.28,,,
AAA Darren Calvert Pojoaque 4:32.40,,,
AA Miles Farmer Santa Fe Prep  4:34.30,,,
A Patrick Reagan Fort Sumner 4:42.84,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Alexander Romero,Albuquerque,09:45.6,
AAAA  Alan Weeth,Academy,09:43.7,
AAA Stephen Martinez,Pojoaque,10:08.3,
AA Lloyd Yazzie,Rehoboth,10:12.7,
A Patrick Reagan,Fort Sumner,10:42.3,
,,,
110 M High Hurdles,,,
Class Name,School,Time,
AAAAA Joey Garcia,Clovis,14.67,
AAAA  Ravi Singaraju,Academy,15.07,
AAA Joseph Castillo,Grants,14.9,
AA Mark Lamb,Cimarron,15.01,
A Michael Lucero,Fort Sumner,16.24,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Joey Garcia,Clovis,38.69,
AAAA  Beau Camp,Artesia,38.86,
AAA Joseph Castillo,Grants,42.71,
AA Justin Birrell,Hope,40.28,
A Tristan Karns,Desert Academy,42.59,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,Clovis,43.43,
AAAA,Artesia,42.56,
AAA,West Las Vegas/Ruidoso,44.35,
AA,Jal,44.32,
A,Fort Sumner,45.42,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,Hobbs,01:30.1,
AAAA,Artesia,01:28.6,
AAA,Pojoaque,01:33.0,
AA,Lordsburg,01:32.2,
A,Fort Sumner,01:53.3,
1600 M Relay Medley,,,
Class,School,Time,
AAAAA,Hobbs,03:31.0,
AAAA,Academy,03:34.5,
AAA,Cobre,03:43.7,
AA,Santa Fe Prep,03:43.8,
A,Fort Sumner,03:44.1,
,,,
1600 M Relay,,,
Class,School,Time,
AAAAA,Hobbs,03:20.7,
AAAA,Academy,03:34.5,
AAA,Cobre,03:30.1,
AA,Hope Christian,03:29.4,
A,Fort Sumner,03:34.1,
,,,
Shot Put,,,
Class Name,School,Distance,
AAAAA Travis Dekker,La Cueva,52’-04.50”,
AAAA  Miguel Duran,Artesia,50’-05.50”,
AAA Blas Velasquez,Lovington,55’-06.00”,
AA Dave Lueras,Santa Rosa,50’-11.00”,
A Clay Naha,Ramah,45’-09.00”,
,,,
Discus,,,
Class Name,School,Distance,
AAAAA Brandon McKinney,Rio Rancho,163’-03.00”,
AAAA  Randolph James,Kirtland,177’-01.00”,
AAA Blas Velgasquez,Lovington,167’-06.00”,
AA Josh Earle,Hope Christian,156’-06.00”,
A Oren Watson,Cliff,160’-09.00”,
,,,
,,,
Long Jump,,,
Class Name,School,Distance,
AAAAA Neil Valdez,Del Norte,22’-05.00”,
AAAA  Will Bernitsky,Academy,21’-11.25”,
AAA Gabe Trujillo,Pojoaque,22’-06.00”,
AA Aerel Rankin,Sandia Prep,21’-00.50”,
A Evan Burns,Desert Academy,20’-10.00”,
High Jump,,,
Class Name,,School,Distance
AAAAA Chris Williams,,Rio Rancho,6’-06.00”
AAAA  Roy Collins,,Los Alamos,6’-03.00”
AAA Tydree Lewis,,Lovington,6’-05.00”
AA Blake Harden,,Hope,6’-02.00”
A Jace Blea,,Ramah,6’-02.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
AAAAA Derond Jackson,,Clovis,45’-00.50”
AAAA  Will Bernitsky,,Academy,44’-04.00”
AAA Tydree Lewis,,Lovington,43’-10.50”
AA Aerel Rankin,,Sandia Prep,42’-01.00”
A Trevor Richins,,Animas,40’-06.25”
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAAA Zach Graham,,Carlsbad,15’-04.00”
AAAA  Martin Hernandez,,Artesia,13’-06.00”
AAA Robert Caldwell,,Socorro,15’-00.00”
AA Adrien Aletti,,Cimarron,12’-06.00”
A Lewis Meadows,,Fort Sumner,11’-06.00”
,,,
Javelin,,,
Class Name,,School,Distance
AAAAA Anthony Fairbanks,,Highland,176’-03.00”
AAAA  Sean Richardson,,Silver City,200’-08.00”
AAA Zachary Gerleve,,Hot Springs,174’-03.00”
AA Brandon Vaughn,,Texico,157’-07.00”
A Curtis Villarreal,,Springer,153’-05.00”
2002 Boys Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Brenton Laws  La Cueva 10.74,,,
AAAA  Dan Feltman Deming 10.64,,,
AAA Stan Montoya  Cobre 11.25,,,
AA Emmanuel Zupko Estancia 11.06,,,
A Quinten Henderson Magdalena 11.76,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Brenton Laws  La Cueva 22.91,,,
AAAA  Dan Feltman Deming 22.79,,,
AAA Joseph Castillo Grants  23.36,,,
AA Mark Lamb Cimarron 22.29,,,
A Quinten Henderson Magdalena 23.89,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Luke Brane La Cueva 48.42,,,
AAAA  Dan Feltman Deming 50.27,,,
AAA Aaron Trujillo  Pojoaque 49.05,,,
AA Robert Velasquez Coronado 49.93,,,
A Quinten Henderson Magdalena 52.04,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Michael Garcia Santa Fe 1:54.60,,,
AAAA  Pat Gutierrez St. Pius 1:55.71,,,
AAA Aaron Trujillo  Pojoaque 1: 58.91,,,
AA Roel Canales Fort Sumner 2:02.69,,,
A Chance Gainer Tatum  2:03.68,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Andrew Walquist Sandia  4:24.66,,,
AAAA  Andres Urbina Academy 4:28.14,,,
AAA Terrence Yesslith Shiprock 4:37.06,,,
AA Adam Miller Cimarron 4:37.53,,,
A Robert Martinez Tatum  4:51.71,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Jeremy Johnson,Manzano,09:55.4,
AAAA  John Bunting,Academy,09:57.9,
AAA Leonardo Jim,Fort Wingate,10:08.9,
AA Vernon Tosa,Jemez,,
A Lloyd Yazzie,Rehoboth,10:16.6,
,,,
110 M High Hurdles,,,
Class Name,School,Time,
AAAAA Abdul Foster,Valley,13.98,
AAAA  Jon-Paul Barabe,St. Pius,15.04,
AAA Joseph Castillo,Grants,15.27,
AA David Speed,Jal,15.08,
A Fidencio Davalos,Floyd,16.07,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Abdul Foster,Valley,38.29,
AAAA  Paul Porras,Deming,39.38,
AAA Joseph Castillo,Grants,40.49,
AA David Speed,Jal,39.36,
A Fidencio Davalos,Floyd,42.55,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,Highland,42.11,
AAAA,Academy,43.11,
AAA,Lovington,44.61,
AA,Tucumcari,44.52,
A,Floyd,46.02,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,Highland,01:27.9,
AAAA,Piedra Vista,01:31.7,
AAA,Raton,01:32.3,
AA,Tucumcari,01:31.9,
A,Springer,01:35.6,
1600 M Relay Medley,,,
Class,School,Time,
AAAAA,Eldorado,03:31.0,
AAAA,Academy,03:36.2,
AAA,West Las Vegas,03:44.0,
AA,Fort Sumner,03:45.7,
A,Rehoboth,03:46.4,
,,,
1600 M Relay,,,
Class,School,Time,
AAAAA,La Cueva,03:22.6,
AAAA,Adacemy,03:25.9,
AAA,Raton,03:32.4,
AA,Lordsburg,03:30.2,
A,Tatum,03:37.4,
,,,
Shot Put,,,
Class Name,School,Distance,
AAAAA Scott Witt,La Cueva,59’-06.00”,
AAAA  Jace Rivera,Belen,57’-07.00”,
AAA Mike Moreland,Cobre,50’-03.50”,
AA Matt Rotunno,Menaul,53’-08.00”,
A Oren Watson,Cliff,46’-07.50”,
,,,
Discus,,,
Class Name,School,Distance,
AAAAA Scott Witt,La Cueva,155’-06.00”,
AAAA  Jace Rivera,Belen,171’-08.00”,
AAA Blas Velasquez,Lovington,159’-01.00”,
AA Gary Hoodless,Cuba,154’-10.00”,
A Oren Watson,Cliff,146’-11.00”,
,,,
,,,
Long Jump,,,
Class Name,School,Distance,
AAAAA Matt Sanderson,Del Norte,22’-11.25”,
AAAA  Dan Feltman,Deming,22’-09.75”,
AAA Joseph Castillo,Grants,21’-08.25”,
AA Ruben Martinez,Menaul,21’-10.50”,
A Evan Burns,Desert Academy,20’-10.50”,
High Jump,,,
Class Name,,School,Distance
AAAAA Tyrone Trammel,,Manzano,6’-06.00”
AAAA  Nicholas Adamson,,Aztec,6’-06.00”
AAA Peter Parra,,Cobre,6’-08.00”
AA Blake Harden,,Hope,6’-02.00”
A Jace Blea,,Ramah,6’-07.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
AAAAA Matt Sanderson,,Del Norte,47’-09.00”
AAAA  Daniel Feltman,,Deming,46’-05.00”
AAA Tydree Lewis,,Lovington,45’-01.50”
AA Jimmy Gilooly,,Sandia Prep,43’-10.25”
A James Kezele,,Gallup Catholic,40’-09.50”
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAAA Chris Ashcraft,,La Cueva,14’-06.00”
AAAA  Josh Rivera,,Moriarty,14’-00.00”
AAA Phillip Darley,,Ruidoso,14’-00.00”
AA Ryan Kimbrell,,Capitan,14’-03.50”
A Pitak Holmann,,Hagerman,12’-00.00”
,,,
Javelin,,,
Class Name,,School,Distance
AAAAA Jeff Alba,,La Cueva,188’-07.00”
AAAA  Chris Manning,,Kirtland,181’-10.00”
AAA Stan Montoya,,Cobre,181’-05.00”
AA Ryan Kimbrell,,Capital,177’-00.00”
A Martin Schmidt,,Melrose,157’-10.00”
2001 Boys Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Antoine Echols Alamogordo 11.01,,,
AAAA  Dan Feltman Deming 10.64,,,
AAA Solomon Barnett Ruidoso 10.91,,,
AA Ray Roberts Cloudcroft 11.11,,,
A Matt Copeland Logan  11.48,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Antoine Echols Alamogordo 21.94,,,
AAAA  John D. Montoya Espanola 22.73,,,
AAA Solomon Barnett Ruidoso 22.12,,,
AA Ray Roberts Cloudcroft 22.33,,,
