2007 Girls Track & Field State Champions,x,x,x
AAAAA Kelsi Gonzales Alamogordo 58.99,,,
AAAA  Ciera Fuentes  St. Pius X 60.07,,,
AAA Amber Gardner Ruidoso 58.36,,,
AA Kiara Glover  Monte Del Sol  61.72,,,
A Laura PhariesRoy  58.64,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Caitlin Waters  Clovis  2:17.15,,,
AAAA  Aleona Reyes  Belen 2:19.86,,,
AAA Dionna Montoya Pojoaque 2:25.64,,,
AA Courtney Shultz Cloudcroft 2:24.01,,,
A Justyne McMath  Fort Sumner 2:31.18,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Rachel Velarde Eldorado 5:06.40,,,
AAAA  Julia Foster Albuquerque Academy 5:11.80,,,
AAA Kate Norskog  St. Michael’s 5:15.97,,,
AA Courtney Shultz Cloudcroft  5:10.13,,,
A Christa BoyleFort Sumner 5:47.84,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Rachel Velarde,Eldorado,11:14.8,
AAAA  Jackie Campos,Santa Teresa,11:21.9,
AAA Kate Norskog,St. Michael’s,11:48.5,
AA Courney Shultz,Cloudcroft,11:33.5,
A Christa Boyle,Fort Sumner,12:37.9,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAAA Lesley Torres,Los Lunas,15.42,
AAAA  Kendra Woodson,Piedra Vista,14.63,
AAA Jordan Miller,St. Michael’s,16.02,
AA Jennie Pearson,Eunice,16.05,
A Jaci Hatch,Animas,16.15,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Katie Thompson,Sandia,46.13,
AAAA  Kendra Woodson,Piedra Vista,46.06,
AAA Jordan Miller,St. Michael’s,45.78,
AA Traci Lopez,Santa Fe Prep,47.21,
A BreeAnna Lucero,Fort Sumner,48.86,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,Cibola,48.24,
AAAA,St. Pius X,49.63,
AAA,Ruidoso,50.62,
AA,Monte Del Sol,52.1,
A,Clovis Christian,53.28,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,Cibola,01:43.6,
AAAA,St. Pius X,01:45.8,
AAA,Ruidoso,01:47.5,
AA,Monte Del Sol,01:50.8,
A,Clovis Christian,01:53.1,
1600 M Relay Medley,,,
Class,School,Time,
AAAAA,Eldorado,04:14.6,
AAAA,Albuquerque Academy,04:18.9,
AAA,Robertson,04:30.6,
AA,Cloudcroft,04:29.9,
A,Fort Sumner,04:40.6,
,,,
1600 M Relay,,,
Class,School,Time,
AAAAA,Mayfield,04:01.4,
AAAA,Albuquerque Academy,04:05.5,
AAA,Ruidoso,04:05.8,
AA,Santa Fe Prep,04:16.6,
A,Fort Sumner,04:26.2,
,,,
Shot Put,,,
Class Name,School,Distance,
AAAAA Madison Bean,Valley,38’-06.00”,
AAAA  Melanie Heslop,Kirtland Central,37’-06.50”,
AAA Jordan Roehl,Portales,37’-09.00”,
AA Larissa Bookout,Tularosa,36’-07.00”,
A Rita Herrera,Fort Sumner,34’-00.00”,
,,,
Discus,,,
Class Name,School,Distance,
AAAAA Lashira Adams,Highland,116’-01”,
AAAA  Brittany Thompson,Roswell,116’-00”,
AAA Victoria Dominguez,Cuba,116’-11”,
AA Cassie Valdez,Tularosa,109’-06”,
A Rita Herrera,Fort Sumner,98’-03”,
,,,
,,,
Long Jump,,,
Class Name,School,Distance,
AAAAA Monquisha Coleman,Manzano,17’-11.50”,
AAAA  Chantelle Riddle,Roswell,18’-02.50”,
AAA Dionna Montoya,Pojoaque,17’-05.25”,
AA Victoria Richards,Texico,16’-01.00”,
A Laura Pharies,Roy,17’-06.00”,
High Jump,,,
Class Name,,School,Distance
AAAAA Lesly Torres,,Los Lunas,5’-05.00”
AAAA  Shanice Steenholdt,,Roswell,5’-02.00”
AAA Marin Schweigert,,Robertson,5’-02.00”
AA Traci Lopez,,Santa Fe Prep,5’-02.00”
A BreeAnna Lucero,,Fort Sumner,5’-03.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
AAAAA Leslie Smith,,Las Cruces,35’-01.00”
AAAA  Amanda Smith,,Piedra Vista,36’-04.25”
AAA Cecelia North,,Cobre,34’-00.50”
AA Traci Lopez,,Santa Fe Prep,35’-11.00”
A Laura Pharies,,Roy,36’-00.00”
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAAA Michaela Ross,,La Cueva,10’-03.00”
AAAA  Alicia Chavez,,Goddard,9’-06.00”
AAA Sunni Baird,,Bloomfield,9’-00.00”
AA Aleah Topper,,Capitan,9’-00.00”
A Lexy Pettis,,Magdalena,9’-00.00”
,,,
Javelin,,,
Class Name,,School,Distance
AAAAA Shayla Flores,,Cibola,128’-03”
AAAA  Alex Membreno,,St. Pius X,141’-06”
AAA Angela Gardner,,Ruidoso,121’-09”
AA Jennifer Miller,,Eunice,119’-01”
A Lauren Graham,,Melrose,118’-05”
2009 Girls Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Amber Battle Cibola  12.45,,,
AAAA  Chase Ealey Los Alamos 12.73,,,
AAA Krista Armstead Sandia Prep 12.65,,,
AA Tawsha Brazley Bosque School 12.63,,,
A Sarah Baca Menaul 12.91,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Amber Battle Cibola  25.39,,,
AAAA  Emily Weeks Los Alamos 26.76,,,
AAA Kimberly Babicke Pojoaque 25.61,,,
AA Tawsha Brazley Bosque School 26.10,,,
A Sarah Baca Menaul 27.26,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Tara DeWitt Clovis  59.16,,,
AAAA  Rachel Montoya St. Pius X 59.25,,,
AAA Amber Gardner Ruidoso 1:00.51,,,
AA Tawsha Brazley Bosque School 59.19,,,
A Taylor Huey Corona 1:00.41,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Caitlin Waters  Clovis  2:18.09,,,
AAAA  Paige Throckmorton ABQ. Academy 2:19.30,,,
AAA Dionna Montoya Pojoaque 2:24.13,,,
AA Tara Postma Rehoboth 2:24.61,,,
A Christa Boyle  Fort Sumner 2:29.50,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Allison Bedonie Eldorado 5:19.86,,,
AAAA  Julia Foster ABQ. Academy 5:12.08,,,
AAA Kate Norskog  St. Michael’s 5:29.25,,,
AA Caroline Kaufman East Mountain  5:24.92,,,
A Christa Boyle  Fort Sumner 5:42.45,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Jordan Brown,Gallup,11:36.5,
AAAA  Julia Foster,ABQ. Academy,11:28.7,
AAA Kate Norskog,St. Michael’s,11:45.4,
AA Caroline Kaufman,East Mountain,12:01.3,
A Christa Boyle,Fort Sumner,12:48.8,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAAA Natalie Castallenos,Gadsden,16.31,
AAAA  Jessica Stokes,Los Alamos,16.45,
AAA Sunni Baird,Bloomfield,17.13,
AA Jennie Pearson,Eunice,16.98,
A Jaci Hatch,Animas,16.23,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Katie Thompson,Sandia,45.86,
