2007 Boys Track & Field State Champions,x,x,x
AAA CJ Berryman Pojoaque 22.36,,,
AA Wendell Hayes Lordsburg 22.96,,,
A Kevin Naceanceno Clovis Christian 22.63,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Chris Kline West Mesa 48.42,,,
AAAA  Josh Gonzales  Artesia  49.66,,,
AAA Tyler Brooks Sandia Prep 49.46,,,
AA Josh Jaquez Estancia 51.14,,,
A Kevin Naceanceno Clovis Christian 49.40,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Randy Dias La Cueva 1:55.47,,,
AAAA  Jackson Thomas Del Norte 1:56.92,,,
AAA Andres Gonzales St. Michael’s 1:58.21,,,
AA Graham Thomas Dulce 2:01.59,,,
A Skylar McMath Fort Sumner 1:58.97,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Zachary Castillo Volcano Vista  4:27.18,,,
AAAA  Sean Reardon  Los Alamos 4:23.51,,,
AAA Andres Gonzales St. Michael’s 4:34.31,,,
AA Alonzo Chavez Mora 4:22.79,,,
A Jesus Martinez Hondo Valley  4:48.94,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Luis Martinez,Cleveland,09:41.7,
AAAA  JacksonThomas,Del Norte,09:46.9,
AAA Herbert Beyale III,Shiprock,10:19.5,
AA Alonzo Chavez,Mora,09:51.8,
A Jesus Martinez,Hondo Valley,10:39.0,
,,,
110 M Hurdles,,,
Class Name,School,Time,
AAAAA Mac Shoaf,Alamogordo,15.06,
AAAA  Seth Booker,Bloomfield,14.77,
AAA Andrew Little,Silver,15.98,
AA John Woods,Magdalena,15.27,
A Kolter West,Fort Sumner,15.04,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Mustafa Mudada,Highland,38.55,
AAAA  Seth Booker,Bloomfield,38.8,
AAA Anthony Gonzales,Hope Christian,40.61,
AA John Woods,Magdalena,40.3,
A Austin Vincent,Des Moines,39.82,
,,,
400 M Relay,,,
Class  Name,School,Time,
AAAAA,Cleveland,41.86,
AAAA,Piedra Vista,43.12,
AAA,Silver,43.64,
AA,Lordsburg,43.81,
A,Fort Sumner,45.16,
,,,
800 M Relay,,,
Class  Name,School,Time,
AAAAA,Cleveland,01:27.3,
AAAA,Farmington,01:30.3,
AAA,Silver,01:32.1,
AA,Texico,01:32.5,
A,Gateway Christian,01:36.1,
1600 M Relay Medley,,,
Class Name,School,Time,
AAAAA,La Cueva,03:35.3,
AAAA,Moriarty,03:36.4,
AAA,Sandia Prep,03:41.5,
AA,Texico,03:40.6,
A,Fort Sumner,03:52.8,
,,,
1600 M Relay,,,
Class Name,School,Time,
AAAAA,Clovis,03:22.2,
AAAA,Los Alamos,03:28.5,
AAA,Socorro,03:29.1,
AA,Lordsburg,03:31.9,
A,Fort Sumner,03:29.8,
,,,
Shot Put,,,
Class Name,School,Distance,
AAAAA Alex Oluyitan,Rio Rancho,53’-00.25”,
AAAA  Troy Young,Piedra Vista,50’-01.00”,
AAA Jonathan Millar,Hope Christian,52’-06.75”,
AA Dakota Petago,Dulce,45’-07.00”,
A Kenny Duong,Clovis Christian,45’-04.25”,
,,,
Discus,,,
Class Name,School,Distance,
AAAAA Kenneth Betts,Clovis,148’-09.00”,
AAAA  Andrew Torres,ABQ. Academy,150’-09.00”,
AAA Jonathan Millar,Hope Christian,155’-05.50”,
AA Chris Otero,N.M.M.I.,127’-08.00”,
A Leonard Arias,Springer,128’-09.00”,
,,,
,,,
Long Jump,,,
Class Name,School,Distance,
AAAAA Isaiah Lintz,Hobbs,23’-01.75”,
AAAA  Brett Moss,Aztec,22’-01.50”,
AAA CJ Berryman,Pojoaque,21’-09.75”,
AA Joseph Jackson,Lordsburg,22’-07.00”,
A Jacob Benally,San Jon,20’-08.75”,
High Jump,,,
Class Name,,School,Distance
AAAAA Javon Brown,,Sandia,6’-04.00”
AAAA  Jacob Martin,,Bernalillo,6’-02.00”
AAA Arren Wells,,Hope Christian,6’-02.00”
AA Joseph Jackson,,Lordsburg,6’-02.00”
A Joe Neal Harrison,,Mountainair,6’-02.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
AAAAA Isaiah Lintz,,Hobbs,45’-05.50”
AAAA  Brett Moss,,Aztec,45’-02.75”
AAA AdamPaz,,Socorro,43’-02.50”
AA Joseph Jackson,,Lordsburg,42’-07.00”
A Cordell Davis,,Cliff,42’-03.75”
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAAA Andrew Keppler,,Oñate,14’-00.00”
AAAA  Connor Schmidt,,ABQ. Academy,13’-06.00”
AAA E.J. Stock,,Lovington,13’-00.00”
AA Kenny Evans,,Lordsburg,12’-00.00”
A Colton Draper,,Melrose,13’-00.00”
,,,
Javelin,,,
Class Name,,School,Distance
AAAAA Jason Fitzpatrick,,Rio Rancho,196’-09.00”
AAAA  Michael Aragon,,Espanola Valley,166’-09.00”
AAA Brandon Reese,,Silver,166’-02.00”
AA Jesus Rivera,,Texico,178’-05.00”
A Godfrey Cordova,,Mescalero Apache,159’03.00”
2013 Boys Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Devin Enslen Alamogordo 10.82,,,
AAAA  Zach Johnson  Piedra Vista 10.97,,,
AAA Owen Harrison Hot Springs 11.28,,,
AA Wendell Hayes Lordsburg 11.36,,,
A Adam Gurule Escalante 11.80,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Devin Enslen Alamogordo 21.38,,,
AAAA  Zach Johnson  Piedra Vista 21.53,,,
AAA Isaac Gonzales Taos 22.39,,,
AA Wendell Hayes Lordsburg 22.83,,,
A Adam Gurule Escalante 23.02,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Brandon Lawrence Cleveland 49.09,,,
AAAA  Jaden Torres Los Lunas 50.06,,,
AAA Isaac Gonzales Taos 50.00,,,
AA Kai Werner N.M.M.I. 50.26,,,
A Immanuel Neubauer N.M.S.D. 49.81,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Randy Dias La Cueva 1:55.12,,,
AAAA  Steven Duran St. Pius X 1:56.66,,,
AAA AJ Beach Sandia Prep 1:59.17,,,
AA Alonzo Chavez Mora 1:58.24,,,
A Henry Sime Cimarron 2:00.13,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Luis Martinez  Cleveland 4:11.66,,,
AAAA  Sean Reardon  Los Alamos 4:17.58,,,
AAA AJ Beach Sandia Prep 4:29.23,,,
AA Alonzo Chavez Mora 4:25.96,,,
A Henry Sime Cimarron 4:40.86,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Luis Martinez,Cleveland,09:27.6,
AAAA  Nick Hill,Los Alamos,09:46.6,
AAA Jereme Santistevan,Pojoaque,09:56.0,
AA Alonzo Chavez,Mora,09:46.0,
A Larramy Roberts,Logan,10:51.4,
,,,
100 M Hurdles,,,
Class Name,School,Time,
AAAAA Parker Jones,Cleveland,14.22,
AAAA  Noah Weig-Pickering,ABQ. Academy,14.76,
AAA Travis Mosher,Ruidoso,15.38,
AA Adrian Gomez,Texico,15.13,
A Korey Reese,Mountainair,16.15,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Mustafa Mudada,Highland,38.09,
AAAA  Jeremy Klepac,Farmington,40.28,
AAA Adrian Vigil,Bloomfield,40.17,
AA Adrian Gomez,Texico,40.07,
A Stephen Hawks,Cimarron,41.49,
,,,
400 M Relay,,,
Class School,,Time,
AAAAA Clovis,,42.32,
AAAA  Piedra Vista,,42.94,
AAA Silver,,44,
AA Tucumcari,,43.63,
A Cimarron,,45.18,
,,,
800 M Relay,,,
Class School,,Time,
AAAAA Alamogordo,,01:28.0,
AAAA  Farmington,,01:28.8,
AAA Taos,,01:30.8,
AA Laguna Acoma,,01:34.3,
A Logan,,01:34.7,
1600 M Relay Medley,,,
Class School,,Time,
AAAAA Cibola,,03:34.0,
AAAA  Moriarty,,03:34.8,
AAA Sandia Prep,,03:39.0,
AA Dexter,,03:40.1,
A Cimarron,,03:48.2,
,,,
1600 M Relay,,,
Class School,,Time,
AAAAA Cleveland,,03:18.0,
AAAA  Piedra Vista,,03:24.2,
AAA Taos,,03:28.1,
AA Dexter,,03:31.4,
A Cimarron,,03:37.8,
,,,
Shot Put,,,
Class Name,School,Distance,
AAAAA Chris Loidolt,La Cueva,54’-02.00”,
AAAA  Christian Mackey,Kirtland Central,54’-01.00”,
AAA Jonathon Millar,Hope Christian,55’-10.00”,
AA Shane Ferreira,Estancia,49’-10.25”,
A Brandyn Monahan,Menaul,45’-06.00”,
,,,
Discus,,,
Class Name,School,Distance,
AAAAA Mike Budick,Volcano Vista,155’-06.00”,
AAAA  Christian Mackey,Kirtland Central,156’-06.00”,
AAA Jonathon Millar,Hope Christian,168’-10.00”,
AA James Marley,Eunice,135’-09.00”,
A Michael Giannini,Fort Sumner,134’-09.50”,
,,,
,,,
Long Jump,,,
Class Name,School,Distance,
AAAAA Nainoa Biggs,Cleveland,21’-09.50”,
AAAA  Jermey Klepac,Farmington,21’-10.75”,
AAA Adam Paz,Socorro,21’-10.00”,
AA Wendell Hayes,Lordsburg,21’-02.00”,
A Marquis Mashak,Animas,20’-00.50”,
High Jump,,,
Class Name,,School,Distance
AAAAA Davonte Brown,,Hobbs,6’-06.00”
AAAA  Noah Weig-Pickering,,ABQ. Academy,6’-06.00”
AAA Ryan Thomas,,Lovington,6’-02.00”
AA Chance Brill,,Tularosa,6’-02.00”
A Layne Keller,,Reserve,5’-10.00”
Triple Jump,,,
Class Name,,School,Distance
AAAAA Nainoa Biggs,,Cleveland,44’-02.00”
AAAA  Kale Brown,,ABQ. Academy,46’-11.00”
AAA Adam Paz,,Socorro,45’-00.75”
AA Adolfo Rodriguez,,Eunice,42'-11.75”
A Cordell Davis,,Cliff,42’-04.50”
Pole Vault,,,
Class Name,,School,Distance
AAAAA Anthony King,,Highland ABQ.,14’-00.00”
AAAA  Connor Schmidt,,Academy,13’-06.00”
AAA Ryan Thomas,,Lovington,14’-00.00”
AA Arnolfo DeAnda,,Texico,11’-06.00”
A Colton Draper,,Melrose,13’-03.00”
Javelin,,,
Class Name,,School,Distance
AAAAA Tanner,,Eldorado,167’-10”
AAAA  Kattenhorn Beau,,Piedra Vista,179’-04”
AAA Clafton  Dakota,,Silver,155’-06”
AA Bencomo Matt,,Zuni,160’-02”
A Kallestewa Justin,,Cliff,156’-05”
Jenkins,,,
2014 Boys Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Kamal Cass Clovis  10.89,,,
AAAA  Joshua Burbank Valencia 10.92,,,
AAA Owen Harrison Hot Springs 11.06,,,
AA Koy Geary Clayton 11.35,,,
A Kase Parker Gateway Christian 11.38,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Kamal Cass Clovis  21.99,,,
AAAA  Beau Clafton Piedra Vista 21.65,,,
AAA Isaac Gonzales Taos 22.23,,,
AA Koy Geary Clayton 22.88,,,
A Mark Chavez N.M.S.D. 22.03,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Tyler Chavez Cleveland 47.99,,,
AAAA  Devin Hull Farmington 49.30,,,
AAA Armando Blea  St. Michael’s50.30,,,
AA Justin Rucker Texico  50.18,,,
A Kase Parker Gateway Christian 50.49,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Samuel Carrasco Hobbs  1:53.39,,,
AAAA  Steven Duran St. Pius X 1:54.10,,,
AAA Roy Madrid Taos 1:58.27,,,
AA Alex Heffelfinger East Mountain  1:58.31,,,
A Jacob Subratie  Cimarron 1:59.47,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Jared Mayoral  Cleveland 4:20.76,,,
AAAA  Colin Hemez Los Alamos 4:24.33,,,
AAA Jereme Santistevan Pojoaque 4:30.47,,,
AA Alex Heffelfinger East Mountain  4:30.60,,,
A Henry Sime  Cimarron 4:37.49,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Jared Mayoral,Cleveland,09:42.1,
AAAA  Colin Hemez,Los Alamos,09:40.6,
AAA Jereme Santistevan,Pojoaque,09:44.2,
AA Isaiah Kelsey,Laguna Acoma,09:57.5,
A Henry Sime,Cimarron,10:29.3,
,,,
110 M Hurdles,,,
Class Name,School,Time,
AAAAA Nathan Munoz,Cleveland,14.49,
AAAA  Noah Weig-Pickering,ABQ. Academy,14.82,
AAA Andrew Little,Silver,15.35,
AA Adrian Gomez,Texico,14.94,
A Cordell Davis,Cliff,16.21,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Matthew Jackson,Rio Rancho,38.71,
AAAA  Jonathan Myrick,Moriarty,39.68,
AAA Andrew Little,Silver,39.45,
AA Adrian Gomez,Texico,40.43,
A Cordell Davis,Cliff,41.17,
,,,
400 M Relay,,,
Class School,,Time,
AAAAA Cleveland,,42.09,
AAAA  Valencia,,42.54,
AAA Bloomfield,,43.63,
AA Clayton,,43.91,
A Logan,,45.06,
,,,
800 M Relay,,,
Class School,,Time,
AAAAA Volcano Vista,,01:27.3,
AAAA  Farmington,,01:29.3,
AAA Taos,,01:30.5,
AA Santa Rosa,,01:33.1,
A Logan,,01:34.3,
1600 M Relay Medley,,,
Class School,,Time,
AAAAA Albuquerque,,03:33.6,
AAAA  St. Pius X,,03:34.6,
AAA Taos,,03:41.2,
AA Dexter,,03:38.2,
A Cimarron,,03:46.3,
,,,
1600 M Relay,,,
Class School,,Time,
AAAAA Cleveland,,03:16.7,
AAAA  Los Alamos,,03:24.0,
AAA Taos,,03:24.0,
AA N.M.M.I.,,03:29.7,
A Cimarron,,03:33.3,
,,,
Shot Put,,,
Class Name,School,Distance,
AAAAA Mike Budick,Volcano Vista,60’-00.50”,
AAAA  Christian Mackey,Kirtland Central,57’-04.75”,
AAA Matthew Carr,Ruidoso,52’-07.50”,
AA John Gibbons,Ramah,48’-06.75”,
A Kenyon Aguilar,Mountainair,46’-07.00”,
,,,
Discus,,,
Class Name,School,Distance,
AAAAA Mike Budick,Volcano Vista,168’-03”,
AAAA  Christian Mackey,Kirtland Central,162’-02”,
AAA Mathias Hochanadel,St. Michael’s,150’-07”,
AA Caleb Ortiz,Estancia,141’-01”,
A Michael Giannini,Fort Sumner,145’-10”,
,,,
,,,
Long Jump,,,
Class Name,School,Distance,
AAAAA Matthew Jackson,Rio Rancho,23’-04.00”,
AAAA  Daryl Wiggins,Del Norte,22’-00.75”,
AAA Isaac Gonzales,Taos,22’-11.75”,
AA Barak Stephens,Magdalena,21’-06.75,
A Cordell Davis,Cliff,21’-06.75”,
High Jump,,,
Class Name,,School,Distance
AAAAA Isaiah McIntyre,,Las Cruces,6’-02.00”
AAAA  Avery Rasher,,Farmington,6’-04.00”
AAA Iram Lara,,Lovington,6’-02.00”
AA Marcus Meairs,,Santa Rosa,6’-04.00”
A Cordell Davis,,Cliff,5’-11.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
AAAAA Kyle Petrey,,Cleveland,43’-08.00”
AAAA  Cassius Corley,,Grants,44’-04.50”
AAA Isiah Dominguez,,St. Michael’s,43’-10.50”
AA Dante Torello,,Santa Rosa,44’-05.50”
A Brendan Harlan,,Menaul,43’-11.25”
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAAA Hayden Walker,,Manzano,13’-00.00”
AAAA  Jonathan Myrick,,Moriarty,13’-06.00”
AAA Jason Atencio,,Hope Christian,14’-00.00”
AA Chase Caughron,,Capitan,13’-00.00”
A Colton Draper,,Melrose,12’-06.00”
,,,
Javelin,,,
Class Name,,School,Distance
AAAAA Malik Matthew-Gordon,,Sandia,185’-01.00”
AAAA  Beau Clafton,,Piedra Vista,202’-10.00”
AAA Nicholas Gurule,,West Las Vegas,161’-08.00”
AA Roberto Zamora,,Santa Rosa,163’-05.00”
A Michael Giannini,,Fort Sumner,145’-07.00”
2015 Boys Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
6A Jordan Byrd Manzano 11.05,,,
5A Joshua Burbank Valencia 11.28,,,
4A Gabriel ChiefBloomfield 11.38,,,
3A Koy Geary Clayton 10.89,,,
2A Emilo Sursa Ft. Sumner 11.56,,,
1A Cody Dalton  Lake Arthur 11.64,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
6A Jordan Byrd Manzano 21.60,,,
5A Joshua Burbank Valencia 22.61,,,
4A Isaac Martinez  Pojoaque 22.75,,,
3A Koy Geary Clayton 22.79,,,
2A Barak Stephens Magdalena 23.33,,,
1A Cody Dalton  Lake Arthur 23.70,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
6A Abram Schaap  Volcano Vista  48.10,,,
5A Augustine Larranaga Capital  49.88,,,
4A Brandon Chavez Silver50.86,,,
3A Zachary Lopez Dexter  50.38,,,
2A Barak Stephens Magdalena 50.57,,,
1A Jacob Subratie  Cimarron  52.31,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
6A Gilbert Ramirez Atrisco 1:54.10,,,
5A Steven Duran St. Pius X 1:55.13,,,
4A Alex Heffelfinger East Mountain  1:58.98,,,
3A Jakob Bernal Estancia 2:04.13,,,
2A James Espinoza Mesa Vista 2:05.83,,,
1A Jacob Subratie  Cimarron 2:01.91,,,
1600 M Run,,,
Class Name,School,Time,
6A Kevin Johnson,Carlsbad,04:33.3,
5A Niles Thomas,Miyamura,04:22.6,
4A Roy Madrid,Taos,04:30.5,
3A Ryan Sandoval,Pecos,04:43.6,
2A Isiah Rodarte,Penasco,04:46.9,
1A Thomas Gallegos,Cimarron,05:01.9,
,,,
,,,
3200 M Run,,,
Class Name,School,Time,
6A Thomas Salas,Onate,09:55.8,
5A Jordan Lesansee,ABQ. Academy,09:28.0,
4A Roy Madrid,Taos,09:57.5,
3A Jakob Bernal,Estancia,10:13.3,
2A James Espinoza,Mesa Vista,10:48.5,
1A Thomas Gallegos,Cimarron,10:53.1,
,,,
110 M Hurdles,,,
Class Name,School,Time,
6A Josh Foley,Cleveland,14.98,
5A Nick Slade,ABQ. Academy,15.03,
4A Stephen Moyer,Hope Christian,15.75,
3A Colby Bagwell,Clayton,16.31,
2A Barak Stephens,Magdalena,15.57,
1A Stefan Beauchamp,Quemado,15.81,
,,,
300 M Hurdles,,,
Class Name,School,Time,
6A Gus Swanson,La Cueva,38.13,
5A Avery Rasher,Farmington,38.68,
4A Adrian Vigil,Bloomfield,39.91,
3A Colby Bagwell,Clayton,41.6,
2A Raymond Drake,Ft. Sumner,42.46,
1A Stefan Beauchamp,Quemado,42.38,
400 M Relay,,,
Class School,,,Time
6A Volcano Vista,,,43.03
5A Artesia,,,42.87
4A Bloomfield,,,43.65
3A Clayton,,,45.43
2A Logan,,,46.41
1A Cimarron,,,47.14
,,,
800 M Relay,,,
Class School,,,Time
6A Volcano Vista,,,01:27.5
5A Farmington,,,01:30.6
4A Silver,,,01:32.7
3A Clayton,,,01:33.3
2A Logan,,,01:35.7
1A Grady,,,01:39.0
,,,
1600 M Relay Medley,,,
Class School,,,Time
6A Rio Rancho,,,03:38.9
5A Chaparral,,,03:35.8
4A Bloomfield,,,03:39.3
3A Pecos,,,03:48.2
2A Hagerman,,,03:51.8
1A Springer,,,03:55.8
,,,
1600 M Relay,,,
Class School,,,Time
6A Volcano Vista,,,03:23.5
5A Chaparral,,,03:28.8
4A St. Michael’s,,,03:31.7
3A Texico,,,03:34.8
2A Ft. Sumner,,,03:38.2
1A Cimarron,,,03:44.6
,,,
Shot Put,,,
Class Name,,School,Distance
6A Juan Pimentel,,Cibola,56’-07.50”
5A Jackson Morris,,ABQ. Academy,46’-01.25”
4A Gabriel Aguirre,,Bloomfield,48’-00.00”
3A James Moncayo,,Santa Rosa,45’-06.00”
2A Alfonso Arroyo,,McCurdy,41’-11.00”
1A Wade Cauzza,,Quemado,44’-06.25”
Discus,,,
Class Name,,School,Distance
6A Riley Finnegan,,Alamogordo,157’-08”
5A Jackson Morris,,ABQ. Academy,154’-02”
4A Gabriel Aguirre,,Bloomfield,134’-05”
3A Mark Thomas,,Lordsburg,135’-01”
2A Clay Adams,,Jal,129’-10”
1A Jace Jenkins,,Cliff,136’-10”
,,,
,,,
Long Jump,,,
Class Name,,School,Distance
6A Matthew Jackson,,Rio Rancho,23’-05.50”
5A Nick Slade,,ABQ. Academy,22’-07.75”
4A Daniel Isiah Babb,,Taos,21’-00.00”
3A Alexis Romo,,Academy Tech,22’-02.00”
2A Barak Stephens,,Magdalena,22’-01.00”
1A Heath Henderson,,Cliff,20’-03.75”
,,,
High Jump,,,
Class Name,,School,Distance
6A Zach Marshall,,Hobbs,6’-06.00”
5A Avery Rasher,,Farmington,6’-04.00”
4A Caleb Meyer-Hagen,,Hope Christian,6’-06.00”
3A Ian Anderson,,Santa Fe Prep,6’-02.00”
2A Brandal Padilla,,Magdalena,6’-00.00”
1A Tyger Parkey,,Cliff,6’-02.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
6A Nicholas Horton,,Highland,44’-05.25”
5A Elias Limon,,St.Pius,44’-04.25”
4A Ben Kocurek,,Hope Christian,44’-10.50”
3A Dante Torello,,Santa Rosa,44’-11.50”
2A Donavan Radcliff,,Tatum,41’-11.00”
1A Stefan Beauchamp,,Quemado,39’-04.00”
,,,
Pole Vault,,,
Class Name,,School,Distance
6A Kane Bender,,Clovis,13’-06.00”
5A Nathan Burnett,,Del Norte,14’-00.00”
4A Jason Atencio,,Hope Christian,14’-00.00”
3A Colby Bagwell,,Clayton,12’-00.00”
2A Mike Estrada,,Logan,13’-06.00”
1A Efrain Acosta,,Cimarron,12’-00.00”
,,,
Javelin,,,
Class,Name,School,Distance
6A,Malik Matthew-Gordon,Sandia,178’-09.00”
5A,Jackson Morris,ABQ. Academy,170’-01.00”
4A,Nicholas Gurule,West Las Vegas,178’-09.00”
3A,Robert Zamora Jr.,Santa Rosa,169’-11.00”
2A,Chris Lovato,Mountainair,152’-06.00”
1A,Ivan Davila,Santa Fe Waldorf,153’-07.00”
2016 Boys Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
6A Jordan Byrd Manzano 10.77,,,
5A Mister McGriff Del Norte 11.16,,,
4A Jeremiah Burke Silver 11.17,,,
3A Alexis Romero ATC 11.23,,,
2A Jace White Melrose 12.00,,,
1A Antonio Valdez Mosquero 11.92,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
6A Alejandro Goldston Volcano Vista  21.54,,,
5A Jacob Lash Belen 22.33,,,
4A Jonah Vigil Taos 22.57,,,
3A Alexis Romero ATC 22.48,,,
2A Damien Lowery Logan  23.65,,,
1A Antonio Valdez Mosquero 23.40,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
6A Abram Schaap Volcano Vista  47.43,,,
5A Augustine Larranaga Capital  48.28,,,
4A Brandon Chavez Silver 49.38,,,
3A Josh Haynes NACA  50.90,,,
2A Damien Lowery Logan  52.13,,,
1A Isaiah Garcia Springer 52.19,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
6A Gavin Sleeter Eldorado 1.52.87,,,
5A Steven Duran St. Pius X 1:53.67,,,
4A Christian Padilla NMMI  1:57.25,,,
3A Ryan Sandoval Pecos 1:59.62,,,
2A Isaiah Rodarte  Penasco 1:58.35,,,
1A Isaiah Garcia Springer 2:03.27,,,
1600 M Run,,,
Class Name,School,Time,
6A Harrison Smith III,Eldordao,04:31.1,
5A Jordan Lesansee,ABQ. Academy,04:20.1,
4A Alex Heffelfinger,East Mountain,04:24.2,
3A Ryan Sandoval,Pecos,04:36.1,
2A Isaiah Rodarte,Penasco,04:30.6,
1A Austin Luksich,Cimarron,05:01.2,
,,,
,,,
3200 M Run,,,
Class Name,School,Time,
6A Devin Paredes,Rio Rancho,09:40.8,
5A Jordan Lesansee,ABQ. Academy,09:36.5,
4A Alex Heffelfinger,East Mountain,09:38.9,
3A Josh DeHerrera,Pecos,10:25.5,
2A Isaiah Rodarte,Penasco,09:49.5,
1A Emmit Falcon,Elida,11:00.8,
,,,
110 M Hurdles,,,
Class Name,School,Time,
6A Josh Foley,Rio Rancho,14.84,
5A Lindsey Larabee,Aztec,15.99,
4A Adrian Gibson,Shiprock,15.79,
3A Gustavo Macias,Dexter,17.29,
2A Raymond Drake,Fort Sumner,15.89,
1A Levi Smith,Cimarron,15.85,
,,,
300 M Hurdles,,,
Class Name,School,Time,
6A Veto Virgin,Cleveland,37.53,
5A Justin Black,Aztec,40.5,
4A Daniel Isiah Babb,Taos,38.99,
3A Mason Cast,Santa Rosa,42.66,
2A Raymond Drake,Fort Sumner,42.53,
1A Christian Mendez,Vaughn,41.96,
400 M Relay,,,
Class School,,,Time
6A Cleveland,,,42.18
5A Farmington,,,43.16
4A Silver,,,43.72
3A Santa Fe Prep,,,45.24
2A Logan,,,45.65
1A Reserve,,,46.75
,,,
800 M Relay,,,
Class School,,,Time
6A Volcano Vista,,,01:27.5
5A Farmington,,,01:29.7
4A Taos,,,01:31.1
3A Dexter,,,01:34.3
2A Fort Sumner,,,01:35.0
1A Reserve,,,01:37.7
,,,
1600 M Relay Medley,,,
Class School,,,Time
6A Eldorado,,,03:30.3
5A St. Pius X,,,03:32.2
4A St. Michael’s,,,03:41.7
3A NACA,,,03:43.9
2A Melrose,,,03:49.4
1A Corona,,,04:05.2
,,,
1600 M Relay,,,
Class School,,,Time
6A Volcano Vista,,,03:18.3
5A Piedra Vista,,,03:25.4
4A Taos,,,03:25.9
3A Estancia,,,03:34.4
2A Logan,,,03:37.9
1A Reserve,,,03:39.3
,,,
Shot Put,,,
Class Name,,School,Distance
6A Demetry Rodriguez,,Cleveland,54’-04.75”
5A Jackson Morris,,ABQ. Academy,51’-03.75”
4A Gabriel Aguirre,,Bloomfield,52’-01.75”
3A Vidal Torres,,Texico,46’-07.50”
2A Joel Legg,,Cloudcroft,42’-11.75”
1A Wade Cauzza,,Quemado,47’-06.75”
Discus,,,
Class Name,,School,Distance
6A Riley Finnegan,,Alamogordo,176’-05”
5A Jackson Morris,,ABQ. Academy,169’-09”
4A Gabriel Aguirre,,Bloomfield,151’-07”
3A Caleb Ortiz,,Estancia,145’-03”
2A Chris Cooke-Lovato,,Mountainair,134’-11”
1A Ivan Davila,,SF Waldorf,131’-07”
,,,
,,,
Long Jump,,,
Class Name,,School,Distance
6A Alejandro Goldston,,Volcano Vista,23’-01.00”
5A Jacob Lash,,Belen,21’-08.00”
4A Jonah Vigil,,Taos,21’-07.25”
3A Alexis Romo,,ATC,21’-08.25”
2A Cade Barnard,,Melrose,20’-02.50”
1A Antonio Valdez,,Mosquero,20’-10.00”
,,,
High Jump,,,
Class Name,,School,Distance
6A Zach Marshall,,Hobbs,6’-08.00”
5A Trystan Baker,,Lovington,6’-02.00”
4A Dainel Isiah Babb,,Taos,6’-04.00”
3A Blane Ferbrache,,Eunice,6’-02.00”
2A Jonathan Hammons,,Jal,5’-10.00”
1A Antonio Valdez,,Mosquero,6’-00.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
6A Oscar Orozco,,Atrisco Heritage,45’-06.25”
5A Jake Flaming,,Moriarty,43’-06.00”
4A Daniel Isiah Babb,,Taos,46’-02.75”
3A Gabino Rodriguez,,Dexter,42’-09.00”
2A Kindell Kelly,,Magdalena,40’-05.00”
1A Jacob Thurman,,San Jon,40’-04.75”
,,,
Pole Vault,,,
Class Name,,School,Distance
6A Burgin Foster,,Clovis,14’-00.00”
5A Nathan Burnett,,Del Norte,15’-03.25”
4A Jeremiah Burke,,Silver,13’-09.00”
3A Stephen Sanchez,,Santa Rosa,12’-06.00”
2A Mike Estrada,,Logan,13’-00.00”
1A Oran Pierson,,Quemado,12’-00.00”
Javelin,,,
Class,Name,School,Distance
6A,Carter Phillips,Sandia,166’-05.00”
