2007 Boys Track & Field State Champions,x,x,x
AAAAA Gabe AragonValley  1:58.27,,,
AAAA  Kevin Burnett  St Pius X 2:00.30,,,
AAA Bronson Duran Sandia Prep 2:02.63,,,
AA Josh Wiklund  Cloudcroft 2:03.85,,,
A Skylar McMath Fort Sumner 2:01.96,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Myles Klorer Sandia  4:23.27,,,
AAAA  Ben Johnson Albuquerque Academy 4:21.76,,,
AAA Ryan Fenton Hope Christian 4:29.84,,,
AA Randy Nez Navajo Pine 4:41.73,,,
A Chris Ellefson  Gallup Catholic 4:47.84,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Bryce Palmer,Eldorado,09:40.6,
AAAA  Kevin Burnett,St. Pius X,,
AAA Dion Tony Sanchez,West Las Vegas,09:49.5,
AA Randy Nez,Navajo Pine,10:22.4,
A Chris Ellefson,Gallup Catholic,10:41.9,
,,,
110 M High Hurdles,,,
Class Name,School,Time,
AAAAA Rolando Trammel,Highland,14.84,
AAAA  Curtis Beach,Albuquerque Academy,14.31,
AAA Tyler Anderson,Portales,15.55,
AA Michael Krell,Santa Fe Prep,16.38,
A Jacob West,Fort Sumner,16.45,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Rolando Trammel,Highland,37.29,
AAAA  Curtis Beach,Albuquerque Academy,38.82,
AAA Lance Dettmer,Ruidoso,40.81,
AA Ryan Morgan,Texico,42.6,
A Vincent Zamora,Mountainair,41.63,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,Rio Rancho,42.24,
AAAA,Aztec,42.4,
AAA,Lovington,44.13,
AA,Santa Fe Prep,44.81,
A,Hagerman,46.04,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,Cibola,01:29.2,
AAAA,Los Alamos,01:30.9,
AAA,Hope Christian,01:33.2,
AA,Clayton,01:33.6,
A,Hagerman,01:34.9,
1600 M Relay Medley,,,
Class,School,Time,
AAAAA,Mayfield,03:37.4,
AAAA,Belen,03:39.0,
AAA,Ruidoso,03:47.3,
