"State","Year","Event","Gender","Mark"
"Rhode Island",2009,"High Jump","Boys","6'4"""
"Rhode Island",2009,"Pole Vault","Boys","14'0"""
"Rhode Island",2009,"100m","Boys","10.82"
"Rhode Island",2009,"800m","Boys","1:56.26"
"Rhode Island",2009,"1500m","Boys","3:54.02"
"Rhode Island",2010,"High Jump","Boys","6'8"""
"Rhode Island",2010,"Pole Vault","Boys","15'3"""
"Rhode Island",2010,"100m","Boys","10.59"
"Rhode Island",2010,"800m","Boys","1:54.40"
"Rhode Island",2010,"1500m","Boys","3:52.67"
"Rhode Island",2011,"High Jump","Boys","6'8"""
"Rhode Island",2011,"Pole Vault","Boys","12'6"""
"Rhode Island",2011,"100m","Boys","10.75"
"Rhode Island",2011,"800m","Boys","1:54.13"
"Rhode Island",2011,"1500m","Boys","3:51.17"
"Rhode Island",2012,"High Jump","Boys","6'8"""
"Rhode Island",2012,"Pole Vault","Boys","14'0"""
"Rhode Island",2012,"100m","Boys","10.99"
"Rhode Island",2012,"800m","Boys","1:55.94"
"Rhode Island",2012,"1500m","Boys","4:02.54"
"Rhode Island",2013,"High Jump","Boys","6'4"""
"Rhode Island",2013,"Pole Vault","Boys","13'6"""
"Rhode Island",2013,"100m","Boys","10.98"
"Rhode Island",2013,"800m","Boys","1:57.50"
"Rhode Island",2013,"1500m","Boys","4:00.74"
"Rhode Island",2014,"High Jump","Boys","6'4"""
"Rhode Island",2014,"Pole Vault","Boys","13'6"""
"Rhode Island",2014,"100m","Boys","11.16"
"Rhode Island",2014,"800m","Boys","1:56.02"
"Rhode Island",2014,"1500m","Boys","4:04.49"
"Rhode Island",2015,"High Jump","Boys","6'4"""
"Rhode Island",2015,"Pole Vault","Boys","13'6"""
"Rhode Island",2015,"100m","Boys","10.98"
"Rhode Island",2015,"800m","Boys","1:55.25"
"Rhode Island",2015,"1500m","Boys","3:58.24"
"Rhode Island",2016,"High Jump","Boys","6'2"""
"Rhode Island",2016,"Pole Vault","Boys","13'6"""
"Rhode Island",2016,"100m","Boys","10.81"
"Rhode Island",2016,"800m","Boys","1:56.70"
"Rhode Island",2016,"1500m","Boys","3:53.91"
"Rhode Island",2017,"High Jump","Boys","6'8"""
"Rhode Island",2017,"Pole Vault","Boys","14'0"""
"Rhode Island",2017,"100m","Boys","10.75"
"Rhode Island",2017,"800m","Boys","1:53.75"
"Rhode Island",2017,"1500m","Boys","3:59.80"
"Rhode Island",2018,"High Jump","Boys","6'6"""
"Rhode Island",2018,"Pole Vault","Boys","13'0"""
"Rhode Island",2018,"100m","Boys","10.81"
"Rhode Island",2018,"800m","Boys","1:53.21"
"Rhode Island",2018,"1500m","Boys","3:53.39"
"Rhode Island",2019,"High Jump","Boys","6'2"""
"Rhode Island",2019,"Pole Vault","Boys","13'6"""
"Rhode Island",2019,"100m","Boys","10.72"
"Rhode Island",2019,"800m","Boys","1:52.17"
"Rhode Island",2019,"1500m","Boys","4:02.11"
"Rhode Island",2021,"High Jump","Boys","6'2"""
"Rhode Island",2021,"Pole Vault","Boys","12'0"""
"Rhode Island",2021,"100m","Boys","10.93"
"Rhode Island",2021,"800m","Boys","1:54.04"
"Rhode Island",2021,"1500m","Boys","3:56.44"
"Rhode Island",2022,"High Jump","Boys","6'4"""
"Rhode Island",2022,"Pole Vault","Boys","13'0"""
"Rhode Island",2022,"100m","Boys","10.85"
"Rhode Island",2022,"800m","Boys","1:51.32"
"Rhode Island",2022,"1500m","Boys","3:57.88"
"Rhode Island",2023,"High Jump","Boys","6'4"""
"Rhode Island",2023,"Pole Vault","Boys","12'0"""
"Rhode Island",2023,"100m","Boys","11.21"
"Rhode Island",2023,"800m","Boys","1:54.20"
"Rhode Island",2023,"1500m","Boys","3:58.47"
